n_requested	molecular_progression_hr	post_switch_progression_hr	switch_mechanism	estimand	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	positive_call_probability	negative_call_probability	median_score_z	median_one_step_log_hr	median_events	median_switches	seed
180	1.0	0.5	none	treatment_policy	400	400	1.0	24	0.06	0.040647970113724695	0.0877228489004562	0.04	0.02	0.033469865758486074	0.005549791124489138	48.0	0.0	54101
180	1.0	0.5	none	censor_at_switch	400	400	1.0	24	0.06	0.040647970113724695	0.0877228489004562	0.04	0.02	0.033469865758486074	0.005549791124489138	48.0	0.0	54101
180	1.0	0.5	independent	treatment_policy	400	400	1.0	21	0.0525	0.034591528357920405	0.07892197507127496	0.035	0.0175	-0.03111215807814555	-0.004487481909693454	46.0	35.0	54101
180	1.0	0.5	independent	censor_at_switch	400	400	1.0	24	0.06	0.040647970113724695	0.0877228489004562	0.035	0.025	-0.02466098780743973	-0.003648719100706595	42.0	35.0	54101
180	1.0	0.5	score_dependent	treatment_policy	400	400	1.0	17	0.0425	0.026701694991131116	0.06700205432475019	0.005	0.0375	-0.35078063261895404	-0.054855141699912756	46.0	35.0	54101
180	1.0	0.5	score_dependent	censor_at_switch	400	400	1.0	17	0.0425	0.026701694991131116	0.06700205432475019	0.025	0.0175	-0.03401954930902346	-0.005462919008313756	42.0	35.0	54101
180	1.0	0.5	progression_risk_dependent	treatment_policy	400	400	1.0	19	0.0475	0.030617076962711882	0.07299154940982647	0.0225	0.025	0.0125171060848678	0.001843259728981016	45.0	31.0	54101
180	1.0	0.5	progression_risk_dependent	censor_at_switch	400	400	1.0	20	0.05	0.03259742983714726	0.07596363506371961	0.0275	0.0225	0.053398246938977045	0.008877184403131086	39.0	31.0	54101
180	1.0	0.5	joint_score_progression_risk	treatment_policy	400	400	1.0	20	0.05	0.03259742983714726	0.07596363506371961	0.015	0.035	-0.413743061280592	-0.0650742759115332	44.0	34.0	54101
180	1.0	0.5	joint_score_progression_risk	censor_at_switch	400	400	1.0	33	0.0825	0.05934587622971528	0.1135968895394223	0.01	0.0725	-0.5460962270899526	-0.09015484041191991	38.5	34.0	54101
180	1.0	1.0	none	treatment_policy	400	400	1.0	21	0.0525	0.034591528357920405	0.07892197507127496	0.02	0.0325	0.03326941858226341	0.004893839716480735	49.0	0.0	54101
180	1.0	1.0	none	censor_at_switch	400	400	1.0	21	0.0525	0.034591528357920405	0.07892197507127496	0.02	0.0325	0.03326941858226341	0.004893839716480735	49.0	0.0	54101
180	1.0	1.0	independent	treatment_policy	400	400	1.0	18	0.045	0.028651458653886006	0.07000472919032381	0.02	0.025	0.030988910684505617	0.004402581022567156	48.0	34.0	54101
