n_requested	post_switch_progression_hr	switch_mechanism	censor_at_switch	treatment_policy	absolute_estimand_difference
180	0.5	independent	0.735	0.7633333333333333	0.02833333333333332
180	0.5	joint_score_progression_risk	0.39416666666666667	0.5516666666666666	0.15749999999999997
180	0.5	none	0.7791666666666667	0.7791666666666667	0.0
180	0.5	progression_risk_dependent	0.7233333333333334	0.765	0.04166666666666663
180	0.5	score_dependent	0.6508333333333334	0.6283333333333333	0.022500000000000075
180	1.0	independent	0.7558333333333334	0.7908333333333334	0.03500000000000003
180	1.0	joint_score_progression_risk	0.4266666666666667	0.7841666666666667	0.3575
180	1.0	none	0.7791666666666667	0.7791666666666667	0.0
180	1.0	progression_risk_dependent	0.7225	0.7858333333333334	0.06333333333333335
180	1.0	score_dependent	0.6708333333333333	0.7966666666666666	0.12583333333333335
180	1.5	independent	0.7283333333333334	0.7858333333333334	0.057499999999999996
180	1.5	joint_score_progression_risk	0.41583333333333333	0.8733333333333333	0.45749999999999996
180	1.5	none	0.8033333333333333	0.8033333333333333	0.0
180	1.5	progression_risk_dependent	0.7225	0.7916666666666666	0.0691666666666666
180	1.5	score_dependent	0.66	0.8691666666666666	0.2091666666666666
320	0.5	independent	0.93	0.9441666666666667	0.01416666666666666
320	0.5	joint_score_progression_risk	0.655	0.8366666666666667	0.18166666666666664
320	0.5	none	0.9616666666666667	0.9616666666666667	0.0
320	0.5	progression_risk_dependent	0.9275	0.9566666666666667	0.029166666666666674
320	0.5	score_dependent	0.8733333333333333	0.8633333333333333	0.010000000000000009
320	1.0	independent	0.9241666666666667	0.9491666666666667	0.025000000000000022
320	1.0	joint_score_progression_risk	0.6491666666666667	0.9541666666666667	0.30500000000000005
320	1.0	none	0.9541666666666667	0.9541666666666667	0.0
320	1.0	progression_risk_dependent	0.9416666666666667	0.9608333333333333	0.019166666666666665
320	1.0	score_dependent	0.885	0.9566666666666667	0.07166666666666666
320	1.5	independent	0.9433333333333334	0.965	0.021666666666666612
320	1.5	joint_score_progression_risk	0.6383333333333333	0.9833333333333333	0.345
320	1.5	none	0.9466666666666667	0.9466666666666667	0.0
320	1.5	progression_risk_dependent	0.9416666666666667	0.9625	0.02083333333333337
320	1.5	score_dependent	0.8916666666666667	0.9775	0.08583333333333332
