n_requested	molecular_progression_hr	post_switch_progression_hr	switch_mechanism	estimand	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	minimum_seed_probability	maximum_seed_probability	positive_call_probability	negative_call_probability	median_score_z_across_seeds	median_one_step_log_hr_across_seeds	median_events_across_seeds	median_switches_across_seeds
180	1.0	0.5	independent	censor_at_switch	1200	1200	1.0	75	0.0625	0.050151184342747165	0.07764094118464589	0.055	0.0725	0.03	0.0325	-0.051133542017410036	-0.008216757064831649	43.0	34.0
180	1.0	0.5	independent	treatment_policy	1200	1200	1.0	76	0.06333333333333334	0.050897824447329904	0.07855564941239193	0.0525	0.07	0.03166666666666667	0.03166666666666667	-0.03111215807814555	-0.004487481909693454	46.0	34.0
180	1.0	0.5	joint_score_progression_risk	censor_at_switch	1200	1200	1.0	98	0.08166666666666667	0.06747423319116715	0.09852890397978771	0.0625	0.1	0.0075	0.07416666666666667	-0.5460962270899526	-0.09015484041191991	38.5	34.0
180	1.0	0.5	joint_score_progression_risk	treatment_policy	1200	1200	1.0	83	0.06916666666666667	0.056142321206953394	0.08494059097906986	0.05	0.0925	0.008333333333333333	0.060833333333333336	-0.48335430310479915	-0.07198739094671915	44.0	34.0
180	1.0	0.5	none	censor_at_switch	1200	1200	1.0	64	0.05333333333333334	0.04198595756592827	0.06753133630584826	0.045	0.06	0.028333333333333332	0.025	0.020646645117958586	0.0028806067681427456	48.0	0.0
180	1.0	0.5	none	treatment_policy	1200	1200	1.0	64	0.05333333333333334	0.04198595756592827	0.06753133630584826	0.045	0.06	0.028333333333333332	0.025	0.020646645117958586	0.0028806067681427456	48.0	0.0
180	1.0	0.5	progression_risk_dependent	censor_at_switch	1200	1200	1.0	56	0.04666666666666667	0.03611089196253996	0.060115615250606366	0.0275	0.0625	0.02666666666666667	0.02	0.005345681688137784	0.0008177097522582247	39.0	32.0
180	1.0	0.5	progression_risk_dependent	treatment_policy	1200	1200	1.0	50	0.041666666666666664	0.03174687775074607	0.0545115394684276	0.02	0.0575	0.0225	0.019166666666666665	-0.0050817630498983446	-0.000664344011414676	45.0	32.0
180	1.0	0.5	score_dependent	censor_at_switch	1200	1200	1.0	67	0.05583333333333333	0.04420361839753011	0.07029772047123273	0.0425	0.0625	0.028333333333333332	0.0275	0.018438883034425767	0.002903144068531407	42.0	35.0
180	1.0	0.5	score_dependent	treatment_policy	1200	1200	1.0	70	0.058333333333333334	0.0464284241141606	0.07305695975158857	0.0425	0.0675	0.01	0.04833333333333333	-0.32768846420518155	-0.04731453711774543	46.0	35.0
180	1.0	1.0	independent	censor_at_switch	1200	1200	1.0	57	0.0475	0.03684195434139706	0.06104590120407803	0.0425	0.0525	0.025	0.0225	0.05664310326562555	0.008280989512636403	43.0	34.0
