gene	ot_rows	ot_max_score	ot_evidence_count_sum	ot_n_diseases_any	ot_diseases_any	ot_n_diseases_score_ge_0_5	ot_diseases_score_ge_0_5	ot_n_diseases_score_ge_0_8	ot_diseases_score_ge_0_8
ATG16L1	12	0.8641783595085144	24	8	AITD;AS;Celiac;Crohn;Psoriasis;SLE;T1D;UC	8	AITD;AS;Celiac;Crohn;Psoriasis;SLE;T1D;UC	8	AITD;AS;Celiac;Crohn;Psoriasis;SLE;T1D;UC
AXL	12	0.0	0	0		0		0	
C1QA	0	0.0	0	0		0		0	
C1QB	0	0.0	0	0		0		0	
C1QC	0	0.0	0	0		0		0	
CARD9	12	0.8789491653442383	11	4	AS;Crohn;Psoriasis;UC	4	AS;Crohn;Psoriasis;UC	4	AS;Crohn;Psoriasis;UC
CD274	0	0.0	0	0		0		0	
CD44	0	0.0	0	0		0		0	
CFH	12	0.8059473037719727	1	1	SLE	1	SLE	1	SLE
CLEC16A	12	0.7454372644424438	31	7	Crohn;MS;PBC;Psoriasis;RA;SLE;T1D	7	Crohn;MS;PBC;Psoriasis;RA;SLE;T1D	0	
CTSH	0	0.0	0	0		0		0	
CTSS	12	0.0620631612837314	1	1	Crohn	0		0	
CXCL10	0	0.0	0	0		0		0	
CXorf21	0	0.0	0	0		0		0	
FCGR2A	0	0.0	0	0		0		0	
FCGR3A	0	0.0	0	0		0		0	
GPR65	12	0.904011845588684	17	6	AS;Crohn;MS;Psoriasis;SLE;UC	5	AS;Crohn;MS;Psoriasis;UC	2	Crohn;UC
GSK3B	0	0.0	0	0		0		0	
IFNGR1	0	0.0	0	0		0		0	
IFNGR2	0	0.0	0	0		0		0	
IL10	12	0.9671173095703124	34	7	AS;Crohn;Psoriasis;RA;SLE;T1D;UC	7	AS;Crohn;Psoriasis;RA;SLE;T1D;UC	7	AS;Crohn;Psoriasis;RA;SLE;T1D;UC
IL6R	12	0.901661455631256	10	6	AS;Crohn;Psoriasis;RA;T1D;UC	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC
IRF1	0	0.0	0	0		0		0	
IRF5	12	0.9188385009765624	76	9	AS;Crohn;MS;PBC;Psoriasis;RA;SLE;Sjogren;UC	9	AS;Crohn;MS;PBC;Psoriasis;RA;SLE;Sjogren;UC	9	AS;Crohn;MS;PBC;Psoriasis;RA;SLE;Sjogren;UC
JAK1	0	0.0	0	0		0		0	
JAK2	0	0.0	0	0		0		0	
JAK3	0	0.0	0	0		0		0	
LGALS3	0	0.0	0	0		0		0	
LGALS9	0	0.0	0	0		0		0	
MERTK	12	0.6307776570320129	3	2	Crohn;MS	1	MS	0	
NAMPT	12	0.0	0	0		0		0	
OSMR	12	0.8531019687652588	6	4	AS;Crohn;Psoriasis;UC	4	AS;Crohn;Psoriasis;UC	4	AS;Crohn;Psoriasis;UC
PTPN2	12	0.900806963443756	57	9	AITD;AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	8	AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	4	Crohn;Psoriasis;RA;T1D
SH2B3	12	0.9461422562599182	56	11	AITD;AS;Celiac;Crohn;MS;PBC;Psoriasis;RA;SLE;T1D;UC	10	AITD;AS;Celiac;Crohn;MS;PBC;Psoriasis;RA;T1D;UC	9	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;T1D;UC
SLC15A4	12	0.8919162750244141	8	1	SLE	1	SLE	1	SLE
SPP1	0	0.0	0	0		0		0	
STAT1	0	0.0	0	0		0		0	
STAT2	0	0.0	0	0		0		0	
TASL	12	0.8853315114974976	2	2	RA;SLE	2	RA;SLE	2	RA;SLE
TNFAIP3	12	0.953155279159546	105	11	AS;Celiac;Crohn;MS;PBC;Psoriasis;RA;SLE;Sjogren;T1D;UC	7	AS;Crohn;Psoriasis;RA;SLE;Sjogren;UC	7	AS;Crohn;Psoriasis;RA;SLE;Sjogren;UC
TREM1	0	0.0	0	0		0		0	
TREM2	0	0.0	0	0		0		0	
TYK2	12	0.9417080283164978	86	9	AITD;AS;Crohn;PBC;Psoriasis;RA;SLE;T1D;UC	7	AITD;Crohn;PBC;Psoriasis;RA;SLE;T1D	7	AITD;Crohn;PBC;Psoriasis;RA;SLE;T1D
TYROBP	0	0.0	0	0		0		0	
