contrast	module	omitted_donor	estimate	same_sign_as_full
brl_vs_mixed	receptor_cd44_cxcr4	MS16	1.2344304497411267	True
brl_vs_mixed	receptor_cd44_cxcr4	MS17	1.4486030880300773	True
brl_vs_mixed	receptor_cd44_cxcr4	MS2	1.3707099931318636	True
brl_vs_mixed	receptor_cd44_cxcr4	MS21	1.1944463556191358	True
brl_vs_mixed	receptor_cd44_cxcr4	MS3	1.4206109766420076	True
brl_vs_mixed	receptor_cd44_cxcr4	MS4	1.4159759428752334	True
brl_vs_mixed	receptor_cd44_cxcr4	MS5	1.3240389190531963	True
brl_vs_mixed	receptor_cd44_cxcr4	MS9	1.344021763321848	True
brl_vs_mixed	receptor_cd44_cxcr4	MS1	1.3008649848863982	True
brl_vs_mixed	receptor_cd44_cxcr4	MS19	1.2625587169212695	True
brl_vs_mixed	receptor_cd44_cxcr4	MS24	1.3795221616755662	True
brl_vs_mixed	receptor_cd44_cxcr4	MS25	1.3699112732276064	True
brl_vs_mixed	receptor_cd44_cxcr4	MS26	1.3235275558869755	True
brl_vs_mixed	receptor_cd44_cxcr4	MS27	1.3574220943542166	True
brl_vs_mixed	receptor_cd44_cxcr4	MS28	1.4149260154106447	True
brl_vs_mixed	hla_regulatory	MS16	-0.2170525889682549	True
brl_vs_mixed	hla_regulatory	MS17	-0.19980738325911374	True
brl_vs_mixed	hla_regulatory	MS2	-0.19307361801408307	True
brl_vs_mixed	hla_regulatory	MS21	-0.43810345673301637	True
brl_vs_mixed	hla_regulatory	MS3	-0.1722360438477485	True
brl_vs_mixed	hla_regulatory	MS4	-0.16641697835481295	True
brl_vs_mixed	hla_regulatory	MS5	-0.16586238427723213	True
brl_vs_mixed	hla_regulatory	MS9	-0.02433092659513522	True
brl_vs_mixed	hla_regulatory	MS1	-0.21030892714612315	True
brl_vs_mixed	hla_regulatory	MS19	-0.1451311255255784	True
brl_vs_mixed	hla_regulatory	MS24	-0.18584344411417444	True
brl_vs_mixed	hla_regulatory	MS25	-0.35788650338232675	True
brl_vs_mixed	hla_regulatory	MS26	-0.17326746903947154	True
brl_vs_mixed	hla_regulatory	MS27	-0.17939743836843566	True
brl_vs_mixed	hla_regulatory	MS28	-0.12793804996711217	True
brl_vs_mixed	mif_ligand	MS16	1.1952876847794054	True
brl_vs_mixed	mif_ligand	MS17	1.1749553663455696	True
brl_vs_mixed	mif_ligand	MS2	1.1141903130505733	True
brl_vs_mixed	mif_ligand	MS21	1.3942572113458551	True
brl_vs_mixed	mif_ligand	MS3	1.0294083414975619	True
brl_vs_mixed	mif_ligand	MS4	1.171315811973962	True
brl_vs_mixed	mif_ligand	MS5	1.090266775699149	True
brl_vs_mixed	mif_ligand	MS9	1.1127762964483212	True
brl_vs_mixed	mif_ligand	MS1	1.2415529471722078	True
brl_vs_mixed	mif_ligand	MS19	1.1820160776864532	True
brl_vs_mixed	mif_ligand	MS24	1.1581542199256818	True
brl_vs_mixed	mif_ligand	MS25	1.0295299294880746	True
brl_vs_mixed	mif_ligand	MS26	1.145060608253201	True
brl_vs_mixed	mif_ligand	MS27	1.0964221459071557	True
brl_vs_mixed	mif_ligand	MS28	1.2694146475650747	True
brl_vs_mixed	lysosomal_unique	MS16	0.7155850255213597	True
brl_vs_mixed	lysosomal_unique	MS17	0.7164449563506305	True
brl_vs_mixed	lysosomal_unique	MS2	0.7650793320371556	True
brl_vs_mixed	lysosomal_unique	MS21	0.7175876976523542	True
brl_vs_mixed	lysosomal_unique	MS3	0.7308141867289596	True
brl_vs_mixed	lysosomal_unique	MS4	0.8074459666393092	True
brl_vs_mixed	lysosomal_unique	MS5	0.7472490055977304	True
brl_vs_mixed	lysosomal_unique	MS9	0.7279459046535769	True
brl_vs_mixed	lysosomal_unique	MS1	0.7322639477535464	True
brl_vs_mixed	lysosomal_unique	MS19	0.6929650950397593	True
brl_vs_mixed	lysosomal_unique	MS24	0.8441061723551937	True
brl_vs_mixed	lysosomal_unique	MS25	0.7453505967710725	True
brl_vs_mixed	lysosomal_unique	MS26	0.6495492875627642	True
brl_vs_mixed	lysosomal_unique	MS27	0.8144391469513663	True
brl_vs_mixed	lysosomal_unique	MS28	0.7084588193497392	True
brl_vs_mixed	oxphos	MS16	-0.027328446941502493	True
brl_vs_mixed	oxphos	MS17	-0.0976627562574635	True
brl_vs_mixed	oxphos	MS2	-0.04951502282217894	True
brl_vs_mixed	oxphos	MS21	-0.16596776980075167	True
brl_vs_mixed	oxphos	MS3	-0.05470428552373843	True
brl_vs_mixed	oxphos	MS4	-0.012256545071515981	True
brl_vs_mixed	oxphos	MS5	-0.06732576765471851	True
brl_vs_mixed	oxphos	MS9	-0.04553314819405255	True
brl_vs_mixed	oxphos	MS1	-0.09810301070699119	True
brl_vs_mixed	oxphos	MS19	-0.057450561980497125	True
brl_vs_mixed	oxphos	MS24	-0.06872744738981539	True
brl_vs_mixed	oxphos	MS25	-0.05867901622768943	True
brl_vs_mixed	oxphos	MS26	-0.05968231482836793	True
brl_vs_mixed	oxphos	MS27	-0.030245781787855808	True
brl_vs_mixed	oxphos	MS28	-0.08236889156146485	True
brl_vs_mixed	lipid_repair	MS16	0.15006666418361425	True
brl_vs_mixed	lipid_repair	MS17	0.03777125221490435	True
brl_vs_mixed	lipid_repair	MS2	0.07018646608515491	True
brl_vs_mixed	lipid_repair	MS21	0.05155367845754513	True
brl_vs_mixed	lipid_repair	MS3	0.05980015266222047	True
brl_vs_mixed	lipid_repair	MS4	0.0870386875756902	True
brl_vs_mixed	lipid_repair	MS5	0.1223780670902502	True
brl_vs_mixed	lipid_repair	MS9	0.1003058728091594	True
brl_vs_mixed	lipid_repair	MS1	0.16704974611626194	True
brl_vs_mixed	lipid_repair	MS19	0.07214844252141459	True
brl_vs_mixed	lipid_repair	MS24	0.11871320287829179	True
brl_vs_mixed	lipid_repair	MS25	-0.011642216646870485	False
brl_vs_mixed	lipid_repair	MS26	-0.020992972789280778	False
brl_vs_mixed	lipid_repair	MS27	0.1337601082174858	True
brl_vs_mixed	lipid_repair	MS28	0.13517692564641876	True
brl_vs_mixed	resolution_efferocytosis_proxy	MS16	0.4448061602045998	True
brl_vs_mixed	resolution_efferocytosis_proxy	MS17	0.4038456438048843	True
brl_vs_mixed	resolution_efferocytosis_proxy	MS2	0.4538537988190809	True
brl_vs_mixed	resolution_efferocytosis_proxy	MS21	0.4110203120260918	True
brl_vs_mixed	resolution_efferocytosis_proxy	MS3	0.40879239685411367	True
brl_vs_mixed	resolution_efferocytosis_proxy	MS4	0.355061835311446	True
brl_vs_mixed	resolution_efferocytosis_proxy	MS5	0.44579308525610506	True
brl_vs_mixed	resolution_efferocytosis_proxy	MS9	0.4305537467651775	True
brl_vs_mixed	resolution_efferocytosis_proxy	MS1	0.4326674777490688	True
brl_vs_mixed	resolution_efferocytosis_proxy	MS19	0.42395516144312945	True
brl_vs_mixed	resolution_efferocytosis_proxy	MS24	0.45065050386261235	True
brl_vs_mixed	resolution_efferocytosis_proxy	MS25	0.3788555875367143	True
brl_vs_mixed	resolution_efferocytosis_proxy	MS26	0.40109702359588434	True
brl_vs_mixed	resolution_efferocytosis_proxy	MS27	0.4168712976564083	True
brl_vs_mixed	resolution_efferocytosis_proxy	MS28	0.4304140548174939	True
brl_vs_mixed	mocci_inflammatory_switch	MS16	1.0658683194627585	True
brl_vs_mixed	mocci_inflammatory_switch	MS17	1.3026559401370148	True
brl_vs_mixed	mocci_inflammatory_switch	MS2	1.006086848664437	True
brl_vs_mixed	mocci_inflammatory_switch	MS21	1.1494314111873756	True
brl_vs_mixed	mocci_inflammatory_switch	MS3	1.1352243788501004	True
brl_vs_mixed	mocci_inflammatory_switch	MS4	1.1082286367623553	True
brl_vs_mixed	mocci_inflammatory_switch	MS5	1.274625058126071	True
brl_vs_mixed	mocci_inflammatory_switch	MS9	1.2111863266484622	True
brl_vs_mixed	mocci_inflammatory_switch	MS1	1.5254375547206314	True
brl_vs_mixed	mocci_inflammatory_switch	MS19	1.254541835596835	True
brl_vs_mixed	mocci_inflammatory_switch	MS24	1.1029351278293016	True
brl_vs_mixed	mocci_inflammatory_switch	MS25	1.1159959304500997	True
brl_vs_mixed	mocci_inflammatory_switch	MS26	1.1524678799405517	True
brl_vs_mixed	mocci_inflammatory_switch	MS27	0.9241841190857079	True
brl_vs_mixed	mocci_inflammatory_switch	MS28	1.0210811072356258	True
brl_vs_active	receptor_cd44_cxcr4	MS16	-0.4093798111535333	True
brl_vs_active	receptor_cd44_cxcr4	MS17	-0.10953811754900233	True
brl_vs_active	receptor_cd44_cxcr4	MS21	-0.4653575429243204	True
brl_vs_active	receptor_cd44_cxcr4	MS3	-0.14872707349229963	True
