gene	status	http_status	error	pages_queried	url
SLC15A4	ok	200		1	https://www.ebi.ac.uk/gwas/rest/api/v2/associations?mappedGene=SLC15A4&size=50&page=0
TASL	ok	200		1	https://www.ebi.ac.uk/gwas/rest/api/v2/associations?mappedGene=TASL&size=50&page=0
IRF5	ok	200		3	https://www.ebi.ac.uk/gwas/rest/api/v2/associations?mappedGene=IRF5&size=50&page=2
PTPN2	ok	200		3	https://www.ebi.ac.uk/gwas/rest/api/v2/associations?mappedGene=PTPN2&size=50&page=2
TNFAIP3	ok	200		2	https://www.ebi.ac.uk/gwas/rest/api/v2/associations?mappedGene=TNFAIP3&size=50&page=1
CLEC16A	ok	200		3	https://www.ebi.ac.uk/gwas/rest/api/v2/associations?mappedGene=CLEC16A&size=50&page=2
SH2B3	ok	200		3	https://www.ebi.ac.uk/gwas/rest/api/v2/associations?mappedGene=SH2B3&size=50&page=2
GPR65	ok	200		1	https://www.ebi.ac.uk/gwas/rest/api/v2/associations?mappedGene=GPR65&size=50&page=0
CIITA	ok	200		2	https://www.ebi.ac.uk/gwas/rest/api/v2/associations?mappedGene=CIITA&size=50&page=1
RFX5	ok	200		1	https://www.ebi.ac.uk/gwas/rest/api/v2/associations?mappedGene=RFX5&size=50&page=0
GSK3B	ok	200		2	https://www.ebi.ac.uk/gwas/rest/api/v2/associations?mappedGene=GSK3B&size=50&page=1
CD74	ok	200		1	https://www.ebi.ac.uk/gwas/rest/api/v2/associations?mappedGene=CD74&size=50&page=0
