gene	ot_rows	ot_max_locus_score	ot_total_evidence_count	ot_diseases_any	ot_n_diseases_any	ot_diseases_score_ge_0_5	ot_n_diseases_score_ge_0_5	ot_diseases_score_ge_0_8	ot_n_diseases_score_ge_0_8	ot_pmids	ot_interpretation
SLC15A4	12	0.891916	8	SLE	1	SLE	1	SLE	1	19838193;26502338;28714469;29967481;33272962;33536424;36750564	locus-level triage only; not target-level coloc/MR
TASL	12	0.885332	2	RA;SLE	2	RA;SLE	2	RA;SLE	2	26502338;36653562	locus-level triage only; not target-level coloc/MR
IRF5	12	0.918839	76	AS;Crohn;MS;PBC;Psoriasis;RA;SLE;Sjogren;UC	9	AS;Crohn;MS;PBC;Psoriasis;RA;SLE;Sjogren;UC	9	AS;Crohn;MS;PBC;Psoriasis;RA;SLE;Sjogren;UC	9	18204098;19838193;19838195;21408207;22936693;22961000;23053960;23128233;23143596;23273568;23740937;24097067;24390342;24532676;24871463;26394269;26502338;26606652;26974007;27193031;27399966;28067908;28076899;28714469;30423114;30573655;31604244;32514122;33272962;33310728;33536424;34033851;34594039;35167971;35470158;36327221;36333501;36653562;36750564;36762574;37156999;38368726;39024449;40021644;40262193	locus-level triage only; not target-level coloc/MR
PTPN2	12	0.900807	57	AITD;AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	9	AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	8	Crohn;Psoriasis;RA;T1D	4	17554260;18587394;19430480;21102463;21829393;22057235;24390342;25751624;26974007;28067908;28537254;30423114;30572963;32581359;33310728;33830302;34127860;34278373;34594039;34927100;36333501;36653562;36750564;37002690;37156999;37377963;38368726;39024449;39749473;39885523;40021644;40262193;40770095	locus-level triage only; not target-level coloc/MR
TNFAIP3	12	0.953155	105	AS;Celiac;Crohn;MS;PBC;Psoriasis;RA;SLE;Sjogren;T1D;UC	11	AS;Crohn;Psoriasis;RA;SLE;Sjogren;UC	7	AS;Crohn;Psoriasis;RA;SLE;Sjogren;UC	7	17982456;18794853;19165918;19169254;19838193;19838195;20190752;20453842;21297633;22057235;23143594;23143596;23273568;23740937;24097066;24390342;24532676;25574825;25903422;26502338;26546613;26626624;26663301;26974007;27193031;27399966;28067908;28714469;30104761;30423114;30572963;30573655;31604244;32723749;33272962;33310728;33385400;33536424;34033851;34127860;34278373;34927100;35470158;36327221;36333501;36653562;36750564;36762574;37156999;37219871;39024449;39883516;39885523;40021644;40262193;40770095	locus-level triage only; not target-level coloc/MR
CLEC16A	12	0.745437	31	Crohn;MS;PBC;Psoriasis;RA;SLE;T1D	7	Crohn;MS;PBC;Psoriasis;RA;SLE;T1D	7		0	17554260;17632545;18978792;19430480;21829393;21833088;23143594;24076602;25751624;26394269;26502338;27386562;28714469;32005708;33272962;33536424;33830302;34033851;34127860;36653562;36750564;37377963;39749473;40262193	locus-level triage only; not target-level coloc/MR
SH2B3	12	0.946142	56	AITD;AS;Celiac;Crohn;MS;PBC;Psoriasis;RA;SLE;T1D;UC	11	AITD;AS;Celiac;Crohn;MS;PBC;Psoriasis;RA;T1D;UC	10	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;T1D;UC	9	19430480;20190752;21829393;22057235;22293688;22961000;25751624;26502338;26974007;28714469;30104761;30572963;31604244;32005708;32581359;32723749;33272962;33310728;33830302;34033851;34127860;34278373;34594039;35470158;36327221;36333501;36653562;36750564;37002690;37156999;37377963;38368726;38453145;39749473;39883516;40021644;40262193	locus-level triage only; not target-level coloc/MR
GPR65	12	0.904012	17	AS;Crohn;MS;Psoriasis;SLE;UC	6	AS;Crohn;MS;Psoriasis;UC	5	Crohn;UC	2	21102463;21833088;23749187;24076602;26974007;28067908;28714469;37156999;40262193	locus-level triage only; not target-level coloc/MR
CIITA	0	0	0		0		0		0		locus-level triage only; not target-level coloc/MR
RFX5	0	0	0		0		0		0		locus-level triage only; not target-level coloc/MR
GSK3B	0	0	0		0		0		0		locus-level triage only; not target-level coloc/MR
CD74	12	0	0		0		0		0		locus-level triage only; not target-level coloc/MR
