gene	n_contexts_compared	c15_trend_contexts_tested	c15_trend_positive_context_count	c15_trend_positive_disease_count	c15_trend_negative_context_count	c15_strict_positive_context_count	c15_strict_positive_disease_count	c15_myeloid_positive_context_count	c15_state_pearson_r	c15_state_pearson_p	c15_state_spearman_r	c15_state_spearman_p	best_c15_context_delta	best_c15_context	positive_c15_contexts	negative_c15_contexts	contrast_state_score
AL669831.5	9	2	0	0	0	0	0	0	-0.13037457202377611	0.7381364612704918	-0.31666666666666665	0.406397014486386					-0.26074914404755223
FAM41C	17	7	0	0	1	0	0	0	-0.10545853546474106	0.6870782402106189	0.18382352941176472	0.4800344013399135				ibd_uc_myeloid	-1.710917070929482
NOC2L	17	7	1	1	0	1	1	0	-0.30615979186756725	0.23203048103582355	-0.27450980392156865	0.286298378658792	0.9621094628571836	t1d_endothelial_cell	t1d_endothelial_cell		1.8876804162648655
KLHL17	17	7	1	1	1	1	1	0	-0.38043545107900034	0.13196112065582033	-0.34558823529411764	0.17425156925857005	1.2158682806061347	t1d_stellate_cell	t1d_stellate_cell	ibd_crohn_myeloid	0.23912909784199932
PLEKHN1	16	6	1	1	0	1	1	0	0.23790449467095118	0.37493769804044147	0.12058823529411765	0.6564245147485953	2.172576554591266	t1d_endothelial_cell	t1d_endothelial_cell		2.9758089893419024
AL645608.8	6	2	0	0	0	0	0	0	-0.6026989643162477	0.2054155600541237	-0.48571428571428577	0.3287230320699708					-1.2053979286324954
HES4	17	7	0	0	0	0	0	0	-0.07073522600021903	0.78733609625549	-0.12500000000000003	0.6326406085600336					-0.14147045200043806
ISG15	17	7	3	3	0	2	2	2	-0.2647411514963528	0.3044753781575781	-0.11519607843137256	0.659750043107423	1.2451397780764326	ibd_crohn_myeloid	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_acinar_cell		7.470517697007295
AGRN	17	7	1	1	0	1	1	1	0.008543627727308552	0.9740387010867021	-0.09803921568627452	0.7081513097186048	1.2960415424601266	ibd_uc_myeloid	ibd_uc_myeloid		3.517087255454617
C1ORF159	17	7	0	0	0	0	0	0	-0.5050583673255177	0.03865090259424203	-0.5784313725490197	0.014996936854650129					-1.0101167346510354
AL390719.2	6	1	0	0	0	0	0	0	-0.4352686388377832	0.3883297761179912	-0.4285714285714286	0.3965014577259473					-0.8705372776755664
TNFRSF18	17	7	0	0	2	0	0	0	0.5813913476126417	0.014370490590472056	0.5294117647058825	0.028855722586286218				t1d_ductal_cell;t1d_acinar_cell	-1.8372173047747167
TNFRSF4	17	7	1	1	0	0	0	1	0.2945865662018474	0.2510537128261392	0.43137254901960786	0.08383073912478922	1.5574994473903936	sjogren_gland_apc	sjogren_gland_apc		2.589173132403695
SDF4	17	7	0	0	0	0	0	0	-0.3366555948351952	0.18639996014567198	-0.43627450980392163	0.07998887245986519					-0.6733111896703904
B3GALT6	17	7	0	0	0	0	0	0	-0.08532352981736839	0.7447301200201611	-0.10294117647058824	0.6942047830993175					-0.17064705963473678
C1QTNF12	16	6	0	0	0	0	0	0	-0.31267952685789113	0.23835019169846303	-0.39999999999999997	0.12475042359840005					-0.6253590537157823
UBE2J2	17	7	1	1	0	0	0	1	-0.4232620600265387	0.0904781458724135	-0.5147058823529412	0.03450769883204253	0.3088280344308316	sjogren_gland_apc	sjogren_gland_apc		1.1534758799469227
ACAP3	17	7	0	0	0	0	0	0	-0.015262951996781876	0.9536369344700532	-0.08088235294117649	0.7576329086921563					-0.030525903993563752
PUSL1	17	7	0	0	1	0	0	0	-0.6311429702259916	0.006587977983044728	-0.4534313725490197	0.06754818013371677				ibd_uc_myeloid	-2.7622859404519833
INTS11	17	7	1	1	0	1	1	0	0.25064728787399576	0.3318783935540562	0.19117647058823534	0.46232612062451384	0.8027283405663876	t1d_endothelial_cell	t1d_endothelial_cell		3.0012945757479916
CPTP	17	7	0	0	0	0	0	0	-0.21228640594889847	0.41335970442242875	-0.1936274509803922	0.4564969285487544					-0.42457281189779694
DVL1	17	7	0	0	3	0	0	0	-0.5756495731914938	0.015605088062633598	-0.5514705882352942	0.0217465796864236				ibd_uc_myeloid;t1d_ductal_cell;t1d_stellate_cell	-5.651299146382987
AURKAIP1	17	7	0	0	0	0	0	0	-0.3869361096902405	0.12494368485603793	-0.4436274509803922	0.07446849073261598					-0.773872219380481
CCNL2	17	7	0	0	1	0	0	0	-0.08118840372540162	0.7567417648621907	-0.232843137254902	0.368459654854376				t1d_ductal_cell	-1.6623768074508032
MRPL20	17	7	2	2	0	0	0	1	-0.6970709997081701	0.0018713503860532193	-0.7083333333333334	0.0014610497738465633	0.3785787932117639	t1d_acinar_cell	sjogren_gland_apc;t1d_acinar_cell		1.6058580005836598
