gene	donor_case_contexts_tested	donor_case_positive_context_count	donor_case_positive_disease_count	donor_case_median_spearman	donor_all_positive_context_count	donor_all_positive_disease_count	donor_all_median_spearman	best_donor_context	best_donor_spearman
ABCA1	7	1	1	-0.028571428571428574	1	1	0.14822112659881387	ibd_uc_myeloid	0.8857142857142858
ABCG1	7	1	1	-0.6571428571428573	0	0	-0.21394386286403788	t1d_acinar_cell	0.5909090909090909
ACAP1	7	1	1	0.19999999999999998	4	2	0.41958041958041964	sjogren_gland_apc	0.4601378680539873
ACOX2	7	0	0	0.3142857142857143	2	2	0.11553534187980172	t1d_acinar_cell	0.6
ACTB	7	3	2	0.49999999999999994	6	3	0.47043478260869553	ibd_crohn_myeloid	1.0
ACTG1	7	2	1	0.49999999999999994	4	3	0.46956521739130425	t1d_stellate_cell	0.7999999999999999
ACTR3	7	6	3	0.7999999999999999	6	3	0.6895652173913043	ibd_crohn_myeloid	0.942857142857143
ACTR3C	7	2	1	0.3370999312316211	6	3	0.4756521739130434	t1d_ductal_cell	0.9999999999999999
ADAM19	7	2	2	0.2568915451961508	3	3	0.19835717895081179	ibd_uc_myeloid	0.8285714285714287
ADCY3	7	2	2	-0.09999999999999999	0	0	-0.18881118881118883	sjogren_gland_apc	0.7
ADGRL2	7	2	2	0.5696799449852968	2	1	-0.006314125824603882	t1d_acinar_cell	0.7
ADORA2A-AS1	7	2	2	-0.16187405152200812	4	3	0.34126615689706136	ibd_crohn_myeloid	0.8285714285714287
AFF3	7	0	0	0.07184707110273192	1	1	0.07182902170576963	t1d_acinar_cell	0.35355339059327373
AGER	7	0	0	0.19999999999999998	4	3	0.30287217737005	t1d_endothelial_cell	0.6668859288553501
AGRN	7	2	2	0.49999999999999994	3	1	0.3182608695652174	sjogren_gland_apc	0.7
AHR	7	2	2	0.19999999999999998	2	1	0.21219699884570986	t1d_ductal_cell	0.8999999999999998
AK4	7	3	3	0.3	4	3	0.43364455316903516	t1d_ductal_cell	0.8999999999999998
ANPEP	7	3	3	0.49999999999999994	2	2	0.2042451833787227	t1d_stellate_cell	0.7999999999999999
ANXA3	7	3	1	0.5428571428571429	7	4	0.4991304347826086	t1d_acinar_cell	0.9999999999999999
APBB1IP	7	1	1	0.35355339059327373	4	3	0.32020976616922714	t1d_stellate_cell	0.7999999999999999
APEH	7	3	1	0.39999999999999997	3	1	0.28565933540772676	t1d_endothelial_cell	0.9999999999999999
APOBEC3A	7	1	1	0.3	4	3	0.41148080695657585	ibd_uc_myeloid	1.0
APOL2	7	3	2	0.6	7	4	0.46173913043478254	t1d_endothelial_cell	0.9999999999999999
ARHGAP31	7	3	2	0.4000000000000001	5	4	0.35996156146391445	t1d_acinar_cell	0.7
ARHGEF3	7	2	2	0.6	2	2	0.25478260869565217	ibd_crohn_myeloid	0.7999999999999999
ARID5B	7	1	1	-0.09999999999999999	2	2	-0.11004356827080382	t1d_acinar_cell	0.6
ASAP2	7	2	1	0.0858116330321033	5	2	0.44826178529832855	t1d_endothelial_cell	0.7999999999999999
ATG16L1	7	0	0	0.09999999999999999	0	0	0.034782608695652174	t1d_acinar_cell	0.49999999999999994
ATG5	7	1	1	0.3	3	1	0.21652173913043476	t1d_endothelial_cell	0.8999999999999998
ATG7	7	3	1	0.41818181818181827	5	2	0.43224879954108986	t1d_ductal_cell	0.9999999999999999
ATP2B1	7	1	1	0.49999999999999994	4	3	0.3776695263053987	ibd_uc_myeloid	1.0
B3GNT2	7	0	0	-0.49999999999999994	0	0	0.034782608695652174	t1d_ductal_cell	0.08571428571428573
BBIP1	7	5	2	0.7156264473321344	6	3	0.4921148373070347	sjogren_gland_apc	0.8999999999999998
BCKDK	7	4	2	0.7	5	3	0.46686553528106545	sjogren_gland_apc	0.8090909090909091
BCL10	7	3	1	0.48571428571428577	5	2	0.3916083916083916	t1d_ductal_cell	0.8999999999999998
BCL2A1	7	4	3	0.8720815992723809	4	3	0.41545500013723596	ibd_crohn_myeloid	1.0
BCL2L11	7	0	0	-0.49999999999999994	0	0	-0.20357814466960558	t1d_acinar_cell	0.14285714285714288
BCL2L14	7	0	0	0.0	3	3	0.2807765733766839	sjogren_gland_apc	0.35355339059327373
BEST1	7	1	1	0.19999999999999998	6	4	0.46968246522564244	ibd_uc_myeloid	0.942857142857143
BTLA	7	1	1	0.2898855178262242	3	3	0.13599655622223744	t1d_stellate_cell	0.7071067811865475
C2ORF74	7	2	2	0.5363636363636364	2	1	0.13130434782608694	sjogren_gland_apc	0.7
C4ORF3	7	5	2	0.7	5	2	0.4730667852753111	t1d_endothelial_cell	0.8999999999999998
C4ORF46	7	1	1	0.25512594664379495	5	4	0.5025952672971663	t1d_ductal_cell	0.8999999999999998
CA2	7	0	0	0.19999999999999998	4	2	0.31478210932691014	sjogren_gland_apc	0.6
CARD16	7	4	2	0.7999999999999999	5	3	0.45623468363248226	ibd_uc_myeloid	0.942857142857143
CASP10	7	3	2	0.6668859288553501	4	1	0.3539130434782608	ibd_uc_myeloid	0.8285714285714287
CASP4	7	2	2	0.6	5	3	0.46199312457130104	t1d_ductal_cell	0.9999999999999999
CASP8	7	1	1	0.3	4	2	0.32803867986661644	t1d_ductal_cell	0.9999999999999999
CBX3	7	2	1	0.3	5	2	0.3913043478260869	t1d_endothelial_cell	0.7999999999999999
CCL19	7	0	0	-0.41039134083406165	3	3	0.26257338307473055	t1d_ductal_cell	0.19069251784911848
CCL20	7	3	1	0.6	6	3	0.5029797669753129	t1d_ductal_cell	0.8999999999999998
CCL22	7	0	0	0.3142857142857143	3	3	0.3735806847447327	sjogren_gland_apc	0.5642880936468347
CCL5	7	1	1	-0.14285714285714288	4	4	0.31666211986153564	ibd_crohn_myeloid	0.7714285714285715
CCR2	7	0	0	-0.08571428571428572	1	1	0.2920720608950733	t1d_stellate_cell	0.23854214911071148
CCRL2	7	1	1	0.3272727272727273	5	4	0.37238743502840005	ibd_crohn_myeloid	0.942857142857143
CD1C	7	2	2	0.262987012987013	4	4	0.49200254702410634	sjogren_gland_apc	0.7071067811865475
CD2	7	0	0	0.014285714285714287	1	1	0.25604229329279055	t1d_stellate_cell	0.44721359549995787
CD200	7	2	2	0.40583972495671394	5	3	0.540859734982456	t1d_endothelial_cell	0.7999999999999999
CD244	7	0	0	0.014494275891311212	1	1	0.10542917959114904	ibd_uc_myeloid	0.07627700713964738
CD274	7	0	0	0.09999999999999999	2	2	0.08794209787270174	t1d_acinar_cell	0.6
CD28	7	0	0	-0.5768179036829705	0	0	-0.12793622388960743	ibd_uc_myeloid	-0.21058465757133066
CD40	7	3	1	0.6	6	3	0.4706486239678161	t1d_acinar_cell	0.8999999999999998
CD58	7	1	1	0.5428571428571429	3	3	0.29718224619109057	t1d_endothelial_cell	0.7
CD70	7	1	1	0.19999999999999998	4	3	0.4586630867729955	ibd_crohn_myeloid	0.6571428571428573
CD80	7	1	1	0.4559372630952508	3	3	0.32540039388049014	sjogren_gland_apc	0.6708203932499368
CEACAM1	7	2	1	0.2527015890855968	4	2	0.33488162611668504	t1d_ductal_cell	0.9999999999999999
CFP	7	1	1	-0.20909090909090913	2	2	0.1124707319787662	ibd_uc_myeloid	0.7714285714285715
CHD1L	7	1	1	0.3	3	1	0.2302952008959259	t1d_stellate_cell	0.9999999999999999
CHI3L1	7	1	1	0.5408987230262506	3	2	0.2829112459908231	t1d_ductal_cell	0.9999999999999999
CISH	7	2	2	0.39999999999999997	5	3	0.35814066853315646	ibd_crohn_myeloid	0.942857142857143
CLEC4D	7	1	1	0.48571428571428577	2	2	0.4755167271822498	ibd_uc_myeloid	0.7142857142857143
CLEC6A	7	0	0	0.20000000000000004	2	2	0.42313059886452614	ibd_crohn_myeloid	0.6
COCH	7	0	0	0.21251185925162072	5	3	0.5117952727609375	t1d_stellate_cell	0.49999999999999994
COX4I1	7	0	0	-0.29090909090909095	0	0	0.03609429039282365	ibd_crohn_myeloid	0.6
COX4I2	7	0	0	-0.5499999999999999	0	0	-0.041655088452846455	t1d_acinar_cell	0.4000000000000001
CRADD	7	4	2	0.7142857142857143	4	3	0.5043790572036093	t1d_stellate_cell	0.8999999999999998
CRTAP	7	0	0	0.09999999999999999	3	1	0.17166796650245392	ibd_crohn_myeloid	0.49999999999999994
CTLA4	7	1	1	0.0157938493178498	1	1	0.25482060127253275	ibd_uc_myeloid	0.9411239481143202
CXCL2	7	2	1	0.49999999999999994	4	3	0.4306060299057742	t1d_stellate_cell	0.7999999999999999
CXCL3	7	2	1	0.5428571428571429	5	3	0.5026086956521739	sjogren_gland_apc	0.7
CXCL9	7	0	0	-0.3354101966249684	2	2	0.2889300074396647	t1d_endothelial_cell	0.028603877677367773
CXCR2	7	2	2	0.44721359549995787	3	3	0.43703427878821616	sjogren_gland_apc	0.8285714285714287
CYTOR	7	2	2	0.4601378680539873	6	4	0.4884570988841862	ibd_uc_myeloid	0.7714285714285715
DBI	7	3	1	0.39999999999999997	4	1	0.43137078762155096	t1d_acinar_cell	0.8999999999999998
DCLRE1B	7	1	1	0.3714285714285715	2	1	0.1617825354526657	t1d_stellate_cell	0.8999999999999998
DDAH1	7	1	1	0.39279220242478635	3	1	0.16126701708793165	ibd_crohn_myeloid	0.7
DEFB1	7	2	2	0.3	5	3	0.4547826086956522	t1d_acinar_cell	0.6982532518267538
DENND1B	7	0	0	-0.6	1	1	-0.1469565217391304	t1d_ductal_cell	0.3727272727272728
DNMT3A	7	1	1	0.41818181818181827	0	0	0.06450831540467755	ibd_crohn_myeloid	0.7
DRC3	7	0	0	-0.3	4	3	0.3083505316498925	ibd_crohn_myeloid	0.11595420713048969
EAF1-AS1	7	2	2	-0.39999999999999997	3	3	0.2674682339986323	sjogren_gland_apc	0.8528678631638891
EIF4E2	7	4	2	0.5818181818181819	6	3	0.477391304347826	t1d_ductal_cell	0.8999999999999998
EPB41	7	1	1	0.09090909090909091	2	2	0.1252173913043478	ibd_uc_myeloid	0.7999999999999999
EPSTI1	7	3	2	0.6	5	3	0.41958041958041964	ibd_uc_myeloid	0.942857142857143
F3	7	1	1	0.3142857142857143	4	3	0.31478260869565217	t1d_endothelial_cell	0.8999999999999998
FADS1	7	3	2	0.6	4	2	0.34725703576518807	sjogren_gland_apc	0.7
