check	status	return_code	detail
provenance_gate	PASS	0	"  ""root"": ""/Users/soeren.leibach/Projects/ms-auto-research"", |   ""synthetic"": false | }"
structural_prediction_gate	PASS	0	"  ""root"": ""/Users/soeren.leibach/Projects/ms-auto-research"", |   ""synthetic"": false | }"
status_freshness	PASS	0	"  ""purpose"": ""V50 status freshness lint; navigation/status only; no biological claim"", |   ""synthetic"": false | }"
matrix_semantic_contract	PASS	0	"  ""overall_status"": ""PASS"", |   ""purpose"": ""V53 V26 matrix semantic-contract audit"" | }"
matrix_semantic_synthetic	PASS	0	"  ""purpose"": ""V53 matrix semantic-contract synthetic check"", |   ""requests"": 2 | }"
microglia_source_lineage_rebuild	PASS	0	-
macnair_source_influence_rebuild	PASS	0	-
macnair_context_discovery_rebuild	PASS	0	"  ""spms_vs_ppms_difference_supported"": false, |   ""verdict"": ""STATE_NOT_SEPARABLE_FROM_LESION_CONTEXT"" | }"
macnair_context_validation_rebuild	PASS	0	"  ""spms_vs_ppms_difference_supported"": false, |   ""verdict"": ""NORMAL_APPEARING_TISSUE_TEST_NOT_ESTIMABLE_AFTER_SOURCE_ADJUSTMENT"" | }"
microglia_meta_rebuild	PASS	0	-
outcome_ledger_rebuild	PASS	0	-
microglia_source_balance_preflight	PASS	0	-
git_diff_check	PASS	0	-
source_count_boundary	PASS	0	NO_EXACT_TOKEN_OVERLAP_BUT_PERSON_LEVEL_INDEPENDENCE_NOT_FULLY_VERIFIABLE
meta_heterogeneity_boundary	PASS	0	POSITIVE_CROSS_SOURCE_EFFECT_WITH_HETEROGENEITY_AND_LOW_SOURCE_FAMILY_COUNT
macnair_discovery_source_boundary	PASS	0	MACNAIR_STATE_ASSOCIATION_SOURCE_FAMILY_SENSITIVE
gse301908_not_counted	PASS	0	LOW_CONTROL_SENSITIVITY_NOT_SUPPORTED
source_adjusted_context_boundary	PASS	0	SOURCE_ADJUSTMENT_REMOVES_PRIOR_CROSS_PARTITION_CONTEXT_LOCALIZATION
v22_locked_boundary	PASS	0	6373857789e3a538481cebe313ef041792740e4779c7bc705d86494c830e152a
source_balance_synthetic_behavior	PASS	0	balanced synthetic passes; source-confounded synthetic fails
outcome_ledger_complete	PASS	0	entries=35
retired_independence_wording_absent	PASS	0	current navigation uses package-aware replication wording
no_target_promotion_wording	PASS	0	current navigation retains non-target boundary
