gene	foundation_files	foundation_rows	foundation_supportive_text_hits	foundation_do_not_promote_text_hits
APOC1	results_v3/geneformer_pivot_panel_delete/geneformer_pivot_panel_context_metrics_ranked.tsv	13	0	0
APOE	results_v3/geneformer_pivot_panel_delete/geneformer_pivot_panel_context_metrics_ranked.tsv	13	0	0
CCL20	results_v3/wave57_intervention_first_geneformer_screen/wave57_geneformer_gene_summary.tsv	1	0	0
CHI3L1	results_v3/geneformer_pivot_panel_delete/geneformer_pivot_panel_context_metrics_ranked.tsv	13	0	0
FABP5	results_v3/geneformer_pivot_panel_delete/geneformer_pivot_panel_context_metrics_ranked.tsv	13	0	0
GPNMB	results_v3/geneformer_pivot_panel_delete/geneformer_pivot_panel_context_metrics_ranked.tsv	13	0	0
LPL	results_v3/geneformer_pivot_panel_delete/geneformer_pivot_panel_context_metrics_ranked.tsv	13	0	0
SEL1L3	results_v3/wave79_targetability_shortlist_audit/targetability_foundation_rank_rows.tsv	1	2	1
