system	gene	n_contexts	nonresponse_high_contexts	responder_high_contexts	nominal_nonresponse_contexts_p_lt_0_10	weighted_mean_hedges_g_responder_minus_non	median_auc_high_expression_nonresponse	min_p
IBD_external_antitnf	ABHD13	4	2	2	0	0.004947939188617958	0.4779761904761905	0.13164147790889633
RA_GSE198520_baseline_synovium	ABHD13	1	1	0	0	-0.2969400214059242	0.578125	0.38728382216333457
psoriasis_GSE85034_baseline_skin	ABHD13	1	0	1	0	0.3270520518434799	0.4	0.52718589365093
IBD_external_antitnf	ADM	4	4	0	1	-0.5746544100216568	0.6335565476190477	0.08025856239565413
RA_GSE198520_baseline_synovium	ADM	1	1	0	0	-0.2861969055207325	0.5892857142857143	0.4270612844112971
psoriasis_GSE85034_baseline_skin	ADM	1	0	1	0	0.9029283046558166	0.19999999999999996	0.07193555534085887
IBD_external_antitnf	APOC1	4	2	2	0	-0.2751046082284916	0.61953125	0.17049079566288874
RA_GSE198520_baseline_synovium	APOC1	1	1	0	1	-0.5203117713905946	0.6696428571428572	0.0717806967648246
psoriasis_GSE85034_baseline_skin	APOC1	1	0	1	0	0.7158251876625493	0.28888888888888886	0.10709503594408382
IBD_external_antitnf	APOE	4	3	1	1	-0.47444093945970656	0.625	0.024946099541531475
RA_GSE198520_baseline_synovium	APOE	1	1	0	0	-0.2777389332211223	0.5848214285714286	0.35078624774549255
psoriasis_GSE85034_baseline_skin	APOE	1	0	1	0	0.7924492941076007	0.2222222222222222	0.08557674575156887
IBD_external_antitnf	BTN2A2	4	3	1	0	-0.3345257976312571	0.5921875	0.11068170572189277
RA_GSE198520_baseline_synovium	BTN2A2	1	1	0	1	-0.8263073241288995	0.7299107142857143	0.003572901199027158
psoriasis_GSE85034_baseline_skin	BTN2A2	1	0	1	0	0.9305232301700035	0.2666666666666667	0.0731357865277182
IBD_external_antitnf	BTN3A1	4	4	0	1	-0.4302571961239034	0.5576636904761905	0.018256682443637227
RA_GSE198520_baseline_synovium	BTN3A1	1	1	0	1	-0.5691779369975849	0.6607142857142857	0.08627819913507886
psoriasis_GSE85034_baseline_skin	BTN3A1	1	0	1	0	0.5829171439850166	0.33333333333333337	0.21384673107417632
IBD_external_antitnf	C15ORF48	4	0	4	0	0.5474184376035727	0.36328125	0.03458219657839717
RA_GSE198520_baseline_synovium	C15ORF48	1	0	1	0	0.28863436475741105	0.4040178571428571	0.2797859039764499
psoriasis_GSE85034_baseline_skin	C15ORF48	1	1	0	0	-0.373994754288628	0.5777777777777777	0.5465373442685846
IBD_external_antitnf	CCL20	4	1	3	0	0.21753277718192138	0.428125	0.19879217010362957
RA_GSE198520_baseline_synovium	CCL20	1	1	0	1	-0.5829617680724587	0.6584821428571428	0.036089357965529645
psoriasis_GSE85034_baseline_skin	CCL20	1	0	1	0	0.35892068432934	0.4	0.40159237315617885
IBD_external_antitnf	CD200	4	4	0	2	-0.736350957913828	0.7125	0.019935440402175854
RA_GSE198520_baseline_synovium	CD200	1	1	0	1	-0.8153369254037557	0.7232142857142857	0.010016993110532032
psoriasis_GSE85034_baseline_skin	CD200	1	0	1	0	0.8109673931189776	0.28888888888888886	0.16465647604058564
IBD_external_antitnf	CD74	4	3	1	0	-0.3013469828903419	0.5924479166666666	0.21759697107271075
RA_GSE198520_baseline_synovium	CD74	1	0	1	0	0.8722031483028401	0.2700892857142857	0.02165847184821524
psoriasis_GSE85034_baseline_skin	CD74	1	0	1	0	0.16426201232477716	0.5111111111111111	0.7026149340937561
IBD_external_antitnf	CD82	4	4	0	2	-1.079272591107946	0.7473958333333333	5.867470218637578e-05
RA_GSE198520_baseline_synovium	CD82	1	1	0	0	-0.1694107325324431	0.5491071428571428	0.6029759761771611
psoriasis_GSE85034_baseline_skin	CD82	1	1	0	0	-0.796902261979789	0.7333333333333334	0.14634832245708174
IBD_external_antitnf	CHI3L1	4	4	0	4	-1.6110871488112497	0.8885416666666667	2.136664467046997e-06
RA_GSE198520_baseline_synovium	CHI3L1	1	0	1	0	0.82430845075918	0.2834821428571429	0.0032625892767870887
psoriasis_GSE85034_baseline_skin	CHI3L1	1	1	0	0	-0.5895174779444039	0.7333333333333334	0.20539616270284408
IBD_external_antitnf	CRTAP	4	4	0	1	-0.4982809482041053	0.6523809523809524	0.02758583530481197
RA_GSE198520_baseline_synovium	CRTAP	1	0	1	0	1.0285268179449423	0.2321428571428571	0.0018292427172141939
psoriasis_GSE85034_baseline_skin	CRTAP	1	0	1	0	0.2658909634393091	0.4222222222222223	0.6706315746816354
IBD_external_antitnf	CXCL1	4	4	0	4	-1.2318868937153789	0.8005208333333333	0.007364425124608331
RA_GSE198520_baseline_synovium	CXCL1	1	0	1	0	0.2798770656827864	0.4107142857142857	0.35438657477849894
psoriasis_GSE85034_baseline_skin	CXCL1	1	1	0	0	-0.07684943352376997	0.5111111111111111	0.8843998410290369
IBD_external_antitnf	CXCL11	4	4	0	3	-1.0246971599998198	0.7046130952380952	0.00010237174203157086
RA_GSE198520_baseline_synovium	CXCL11	1	1	0	1	-0.8994710835043922	0.8080357142857143	0.0022906104681435393
psoriasis_GSE85034_baseline_skin	CXCL11	1	0	1	0	0.041841187157575	0.6222222222222222	0.9335970922076511
IBD_external_antitnf	CXCL9	4	4	0	1	-0.5891340068187558	0.6166666666666667	0.007590786663719715
RA_GSE198520_baseline_synovium	CXCL9	1	0	1	0	0.17990766074471817	0.4352678571428571	0.5100251741637484
psoriasis_GSE85034_baseline_skin	CXCL9	1	0	1	0	0.20728502422900377	0.48888888888888893	0.655604554310403
IBD_external_antitnf	FABP5	4	2	2	0	0.19222297051060655	0.43333333333333335	0.13669843150896538
RA_GSE198520_baseline_synovium	FABP5	1	1	0	0	-0.40812865900826223	0.6071428571428572	0.20102419037506208
psoriasis_GSE85034_baseline_skin	FABP5	1	1	0	0	-0.17821677675361916	0.5333333333333333	0.7058869342534636
IBD_external_antitnf	FNDC3B	4	4	0	0	-0.34130805893671395	0.611904761904762	0.16680871556187257
RA_GSE198520_baseline_synovium	FNDC3B	1	0	1	0	0.982814887388467	0.2321428571428571	0.0035781468348588725
psoriasis_GSE85034_baseline_skin	FNDC3B	1	1	0	0	-0.7646984005408438	0.7555555555555555	0.19637392718460558
IBD_external_antitnf	FXYD5	4	4	0	2	-0.7829690345284026	0.7013020833333333	0.013984481584950553
RA_GSE198520_baseline_synovium	FXYD5	1	0	1	0	0.8089656095319484	0.2790178571428571	0.01967302296511334
psoriasis_GSE85034_baseline_skin	FXYD5	1	0	1	0	0.34952336539149914	0.4444444444444444	0.4909301737767015
IBD_external_antitnf	GBP1	4	4	0	2	-0.8449835988760043	0.7319568452380952	0.007832560124890486
RA_GSE198520_baseline_synovium	GBP1	1	0	1	0	0.3464803376930525	0.3683035714285714	0.16893323377658692
psoriasis_GSE85034_baseline_skin	GBP1	1	0	1	0	0.1207778752023947	0.4	0.8546732819420805
IBD_external_antitnf	GPNMB	4	4	0	1	-0.4940102664867415	0.6546875	0.05939929254290574
RA_GSE198520_baseline_synovium	GPNMB	1	0	1	0	0.7697284758520732	0.2879464285714286	0.01402287379398626
psoriasis_GSE85034_baseline_skin	GPNMB	1	0	1	0	0.31270964893828496	0.4222222222222223	0.5054725225116155
IBD_external_antitnf	HLA-DRA	4	3	1	0	-0.5248950736751484	0.7089285714285714	0.11236255905754046
psoriasis_GSE85034_baseline_skin	HLA-DRA	1	1	0	0	-0.0608410407570356	0.6222222222222222	0.8884148665636814
IBD_external_antitnf	HLA-DRB1	4	4	0	1	-0.5088992011453852	0.6981770833333334	0.04318104929709319
RA_GSE198520_baseline_synovium	HLA-DRB1	1	0	1	0	0.5470463843151552	0.3549107142857143	0.09625157439936581
psoriasis_GSE85034_baseline_skin	HLA-DRB1	1	1	0	0	-0.42053086338512935	0.6222222222222222	0.4534764828303065
IBD_external_antitnf	IL15	4	3	1	0	-0.4647893938275334	0.6575520833333334	0.18274211306942345
RA_GSE198520_baseline_synovium	IL15	1	1	0	1	-0.6750582761980817	0.6986607142857143	0.03956725849443792
psoriasis_GSE85034_baseline_skin	IL15	1	0	1	0	1.088615435309196	0.2222222222222222	0.025167890599620393
IBD_external_antitnf	IL23A	4	2	2	1	-0.20329421267928768	0.5113095238095238	0.024590286148417646
RA_GSE198520_baseline_synovium	IL23A	1	1	0	0	-0.25941819930214466	0.5848214285714286	0.44444166257418316
psoriasis_GSE85034_baseline_skin	IL23A	1	1	0	0	-0.6806742566537054	0.6666666666666667	0.22783218010778675
IBD_external_antitnf	IL32	4	2	2	0	0.11701712729232812	0.5359002976190477	0.052206259593417875
RA_GSE198520_baseline_synovium	IL32	1	0	1	0	0.2572805086875287	0.4352678571428571	0.45793342243652585
psoriasis_GSE85034_baseline_skin	IL32	1	0	1	0	0.7012037992172533	0.33333333333333337	0.13374203185270792
IBD_external_antitnf	LAPTM5	4	4	0	3	-1.0666872244278602	0.7541666666666667	0.0011478737508947004
RA_GSE198520_baseline_synovium	LAPTM5	1	0	1	0	1.0261393232264382	0.2321428571428571	0.006407145305719359
psoriasis_GSE85034_baseline_skin	LAPTM5	1	1	0	0	-0.09188755878657467	0.5111111111111111	0.8517288041499541
IBD_external_antitnf	LITAF	4	3	1	2	-0.6943682288096056	0.70625	0.011569856227383764
RA_GSE198520_baseline_synovium	LITAF	1	0	1	0	0.7285162311511548	0.3058035714285714	0.04002927258048558
psoriasis_GSE85034_baseline_skin	LITAF	1	1	0	1	-1.0161219899106086	0.8666666666666667	0.02874781092094838
IBD_external_antitnf	LPL	4	3	1	0	-0.2044930888200467	0.5470238095238096	0.25080455283827324
RA_GSE198520_baseline_synovium	LPL	1	1	0	0	-0.3945944269012455	0.6361607142857143	0.15776007776894857
psoriasis_GSE85034_baseline_skin	LPL	1	1	0	1	-2.208896818102851	0.9555555555555556	0.011107701824316356
IBD_external_antitnf	LRIG3	4	0	4	0	0.6460937695109571	0.29583333333333334	0.03244324909139202
RA_GSE198520_baseline_synovium	LRIG3	1	1	0	0	-0.19462807758673772	0.609375	0.4903694523984738
psoriasis_GSE85034_baseline_skin	LRIG3	1	0	1	0	0.09789037439007135	0.48888888888888893	0.8282369690445787
IBD_external_antitnf	LY6E	4	4	0	2	-0.8460640624389704	0.7428571428571429	0.02015196330753024
RA_GSE198520_baseline_synovium	LY6E	1	0	1	0	0.4119159067601607	0.40625	0.08433646565716577
psoriasis_GSE85034_baseline_skin	LY6E	1	0	1	0	0.8711043199117533	0.24444444444444446	0.07405853440533651
IBD_external_antitnf	MMP7	4	3	1	1	-0.41394790103941387	0.6238095238095238	0.04921270531693842
RA_GSE198520_baseline_synovium	MMP7	1	1	0	0	-0.08266999012910485	0.5714285714285714	0.7873105601225676
psoriasis_GSE85034_baseline_skin	MMP7	1	1	0	0	-0.01266299068031497	0.48888888888888893	0.982279233046636
IBD_external_antitnf	NDUFA11	4	2	2	0	0.0687252941428341	0.48828125	0.4097389321356327
RA_GSE198520_baseline_synovium	NDUFA11	1	1	0	0	-0.27957152793118223	0.6607142857142857	0.45101409630916445
psoriasis_GSE85034_baseline_skin	NDUFA11	1	1	0	0	-0.8489884814151745	0.7333333333333334	0.26040434497594406
IBD_external_antitnf	NRCAM	4	4	0	3	-1.2295481641288684	0.8190104166666667	0.0036724740048767407
RA_GSE198520_baseline_synovium	NRCAM	1	1	0	1	-0.7143234664490771	0.7321428571428572	0.009550747276709551
psoriasis_GSE85034_baseline_skin	NRCAM	1	1	0	0	-0.8404582547666236	0.7333333333333334	0.13297213093610644
IBD_external_antitnf	NUCB2	4	4	0	0	-0.38958320947740127	0.611904761904762	0.11688305423773841
RA_GSE198520_baseline_synovium	NUCB2	1	0	1	0	0.39108566605792383	0.4174107142857143	0.2375277460574726
psoriasis_GSE85034_baseline_skin	NUCB2	1	0	1	0	1.453485315372508	0.1333333333333333	0.028127770408330352
IBD_external_antitnf	PLEK2	4	2	2	0	-0.0658437241899376	0.5264880952380953	0.19507083612288154
RA_GSE198520_baseline_synovium	PLEK2	1	1	0	0	-0.32310269537865477	0.59375	0.3058335158286277
psoriasis_GSE85034_baseline_skin	PLEK2	1	0	1	0	0.14281683748291113	0.48888888888888893	0.8047176674342259
IBD_external_antitnf	PPP3CA	4	4	0	0	-0.4185318803602768	0.6160714285714286	0.19283851517431194
RA_GSE198520_baseline_synovium	PPP3CA	1	0	1	0	1.1838509028620652	0.2053571428571429	0.0009480263673374028
psoriasis_GSE85034_baseline_skin	PPP3CA	1	1	0	0	-0.35754458149571616	0.5555555555555556	0.5146278603600701
IBD_external_antitnf	RHOF	4	3	1	0	-0.31069406320764537	0.5767857142857142	0.21094224279570517
RA_GSE198520_baseline_synovium	RHOF	1	1	0	1	-0.7644295959331638	0.703125	0.03673307519822117
psoriasis_GSE85034_baseline_skin	RHOF	1	1	0	0	-0.1077930658941907	0.5333333333333333	0.872462182245507
IBD_external_antitnf	ROMO1	4	1	3	0	0.16120935334467193	0.44717261904761907	0.4246490770401727
RA_GSE198520_baseline_synovium	ROMO1	1	0	1	0	1.1494128427412433	0.2098214285714286	0.0015598660549158885
psoriasis_GSE85034_baseline_skin	ROMO1	1	0	1	0	0.505325566488388	0.3555555555555555	0.4202754301624001
IBD_external_antitnf	RYR2	4	2	2	0	-0.07152221680206709	0.5166666666666666	0.3120402998156491
RA_GSE198520_baseline_synovium	RYR2	1	1	0	1	-0.7923588884306184	0.734375	0.007305993832994389
psoriasis_GSE85034_baseline_skin	RYR2	1	1	0	0	-0.375284653580153	0.6888888888888889	0.5580712301108839
IBD_external_antitnf	SCD	4	1	3	0	0.48378711394947826	0.4289434523809524	0.0009766541210028598
RA_GSE198520_baseline_synovium	SCD	1	0	1	0	0.35651652482628426	0.4241071428571429	0.16868612528104557
psoriasis_GSE85034_baseline_skin	SCD	1	1	0	0	-0.1891586391630397	0.5555555555555556	0.6778073678528269
IBD_external_antitnf	SEL1L3	4	3	1	0	-0.28821154925659903	0.6208333333333333	0.1280022456294191
RA_GSE198520_baseline_synovium	SEL1L3	1	1	0	1	-0.6035523789654254	0.6852678571428572	0.07309097424520805
psoriasis_GSE85034_baseline_skin	SEL1L3	1	1	0	0	-0.057423760687104156	0.48888888888888893	0.9229772416500343
IBD_external_antitnf	SPNS1	4	2	2	0	0.005936714383275871	0.5	0.6135951549257703
RA_GSE198520_baseline_synovium	SPNS1	1	1	0	0	-0.4250548989580295	0.6339285714285714	0.1790383233559156
psoriasis_GSE85034_baseline_skin	SPNS1	1	0	1	0	0.6927376355352994	0.3555555555555555	0.2967641318171043
IBD_external_antitnf	SRPRB	4	3	1	1	-0.3376131433948148	0.671875	0.05130288369366676
RA_GSE198520_baseline_synovium	SRPRB	1	0	1	0	0.2555943726656881	0.4129464285714286	0.48266800159177936
psoriasis_GSE85034_baseline_skin	SRPRB	1	1	0	0	-0.14539073932085644	0.5555555555555556	0.7434941832832429
IBD_external_antitnf	STARD3NL	4	3	1	0	-0.2861997410708979	0.6461309523809524	0.20338886533719958
