source	gene	target_id	approved_name	wave55_score	closed_axis	n_diseases_genetic_ge_0_25	diseases_genetic_ge_0_25	n_diseases_genetic_ge_0_5	diseases_genetic_ge_0_5	n_diseases_overall_ge_0_3	ms_genetic_association	ms_overall_score	max_overall_score	max_clinical_score	max_literature_score	local_positive_disease_count	local_negative_disease_count	local_positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	strict_residual_disease_count	in_lipid_lysosomal_myeloid_neighborhood	best_direct_selectivity_score	best_direct_target_suppression	direct_evidence_calls	foundation_recommendation	wave62_score	wave62_call	manual_blocker	prior_context_blocker	max_l2g_score	best_l2g_disease	strong_l2g_disease_count	strong_l2g_diseases	supporting_l2g_disease_count	supporting_l2g_diseases	ms_max_l2g_score	ms_l2g_study_loci	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	relevant_qtl_coloc_disease_count	relevant_qtl_coloc_diseases	myeloid_qtl_coloc_disease_count	max_qtl_h4	ms_max_qtl_h4	ms_max_relevant_qtl_h4	ms_relevant_qtl_biosamples	direction_proxy_values	residual_retained_disease_count	strict_core_covariate_surviving_disease_count	wave34_call	gwas_catalog_trait_count	chembl_target_id	druggable_activity_count	wave34a_call	wave34a_direction	wave34a_route_reason	wave55_genetic_diseases_ge_0_25	wave61_best_call	wave61_best_manual_blocker	wave61_best_target_suppression	wave61_best_selectivity
wave55	LPL	ENSG00000175445	lipoprotein lipase	2.0	False	0.0		0.0		0.0	0.0	0.0	0.0156328172088799	0.0	0.1285739863015378	1.0	2.0	Crohn disease	1.7595984466157422	0.0006219963760009	0.7144250374746858	0.0	True																																								
wave55	APOE	ENSG00000130203	apolipoprotein E	0.0	True	1.0	Crohn	1.0	Crohn	1.0	0.0	0.0	0.3575912585741725	0.0	0.2591582625872525	0.0	1.0		0.3729255468001433	0.120208663256457	0.8989378106274888	0.0	True				do_not_promote																																				
wave55	HLA-DRB1	ENSG00000196126	major histocompatibility complex, class II, DR beta 1	0.0	True	0.0		0.0		2.0	0.0	0.4038101711530044	0.4038101711530044	0.1519826994029052	0.986686548643034	4.0	0.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0.5468677387854282	0.057765674762618	0.8989378106274888	0.0	False				triage_only_no_direct_candidate_perturbation																																				
wave62	CCL20		C-C motif chemokine ligand 20	22.0												4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.1469018183892334	0.0611072952242856	0.8989378106274888		False					3.370962635930428	NO_GO_WAVE62_TARGET_RESOLUTION			0.871002733707428	UC	1.0	UC	1.0	UC	0.0		1.0	UC	1.0	UC	1.0	0.999959902223	0.0	0.0		UC:CD14-positive, CD16-negative classical monocyte:-0.0259;UC:CD4-positive, alpha-beta T cell:-0.0259;UC:T cell:-0.0259;UC:T-helper 17 cell:-0.0259;UC:blood:-0.0259;UC:fibroblast:-0.0259;UC:lymphoblastoid cell line:-0.0259;UC:naive regulatory T cell:-0.0259;UC:thyroid gland:-0.0259	3.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	5.0		0.0				AS;Crohn;Psoriasis;RA;UC			0.0	0.0
wave62	IL23A		interleukin 23 subunit alpha	6.5												4.0	0.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0.6573316951945598	0.0916123649390088	0.8989378106274888		False					2.8804084161745664	NO_GO_WAVE62_TARGET_RESOLUTION			0.494150847196579	Psoriasis	0.0		1.0	Psoriasis	0.0		1.0	Psoriasis	1.0	Psoriasis	0.0	0.8862575689779874	0.0	0.0		Psoriasis:thyroid gland:0.00889	1.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	2.0		0.0				Psoriasis			0.0	0.0
wave62	APOE		apolipoprotein E	0.0												0.0	1.0		0.3729255468001433	0.120208663256457	0.8989378106274888		True					1.961044430732727	NO_GO_WAVE62_TARGET_RESOLUTION			0.961044430732727	Crohn	1.0	Crohn	1.0	Crohn	0.0		0.0		0.0		0.0	0.0	0.0	0.0			0.0	0.0		0.0		0.0				Crohn			0.0	0.0
wave62	LRIG3		leucine rich repeats and immunoglobulin like domains 3	5.0												3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	1.4284885080798049	0.0537582280326119	0.8904676266102052		False					1.468044489622116	NO_GO_WAVE62_TARGET_RESOLUTION			0.4680444896221161	Celiac	0.0		1.0	Celiac	0.0		0.0		0.0		0.0	0.0	0.0	0.0			0.0	0.0		0.0		0.0				Celiac			0.0	0.0
wave62	SEL1L3		SEL1L family member 3	4.0												3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.922501683138024	0.0181382735511015	0.8372898579012464		False					1.3175021708011627	NO_GO_WAVE62_TARGET_RESOLUTION			0.3175021708011627	RA	0.0		1.0	RA	0.0		0.0		0.0		0.0	0.0	0.0	0.0			1.0	0.0		0.0		0.0							0.0	0.0
wave62	APOC1		apolipoprotein C1	0.0												3.0	1.0	Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	0.8063088065414767	0.0333487255864159	0.8506970233122761		True					1.089642994105816	NO_GO_WAVE62_TARGET_RESOLUTION			0.0896429941058158	Crohn	0.0		0.0		0.0		0.0		0.0		0.0	0.0	0.0	0.0			0.0	0.0		0.0		0.0							0.0	0.0
wave62	SPNS1		SPNS lysolipid transporter 1, lysophospholipid	0.0												4.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus	-0.1044989193858096	0.4834570887940685	0.926038761164836		False					1.0555326528847218	NO_GO_WAVE62_TARGET_RESOLUTION			0.0555326528847217	RA	0.0		0.0		0.0		0.0		0.0		0.0	0.0	0.0	0.0			1.0	0.0		0.0		0.0							0.0	0.0
