gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	opentargets_max_overall	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_channels_present	existing_priority_score	existing_weighted_evidence_score	existing_ms_anchor_score	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	existing_prior_flag	ms_positive_nominal	ms_positive_trend_x	genetic_or_target_db_breadth	discovery_priority_score	has_ms_anchor	broad_pool_reason	uniprot_status	uniprot_accession	protein_name	sequence_length	uniprot_locations	uniprot_keywords	uniprot_accessible	uniprot_enzymatic_or_catalytic	uniprot_transmembrane_feature_count	uniprot_active_or_binding_features	function_excerpt	family	n_delta_fdr10_positive_diseases	n_delta_trend_or_better_diseases	n_delta_negative_trend_diseases	n_state_resid_non_ifn_r_ge_0_35_diseases	n_confounder_dominant_diseases	rank_score	go_no_go	demotion_or_support_reason	chembl_status	chembl_target_chembl_id	chembl_target_pref_name	chembl_target_type	chembl_target_organism	chembl_target_accessions	chembl_search_hit_count	chembl_url	chembl_activity_count	chembl_activity_values_nM_count	chembl_unique_molecules_returned	chembl_best_standard_value_nM_returned	chembl_median_standard_value_nM_returned	europepmc_query	europepmc_hit_count	europepmc_examples_json	europepmc_url	clinicaltrials_query	clinicaltrials_hit_count	clinicaltrials_examples_json	clinicaltrials_url	prior_flags	google_patents_url	wave39_call	wave39_reason	wave39_score	broad_tested_contexts	broad_positive_contexts	broad_negative_contexts	broad_positive_disease_count	broad_negative_disease_count	myeloid_positive_contexts	myeloid_positive_disease_count	tissue_resident_positive_contexts	positive_diseases_broad	negative_diseases_broad	best_positive_context	best_negative_context	ms_delta_log2_direct	ms_hedges_g_direct	ms_p_direct	ms_fdr_direct	ms_positive_anchor	ms_positive_trend_y	genetic_disease_count_max	genetic_disease_text	target_resolution_sources	chembl_or_druggable_activity_count_max	foundation_files	foundation_rows	foundation_supportive_text_hits	foundation_do_not_promote_text_hits	response_systems_tested	response_nonresponse_high_systems_p20	response_responder_high_systems_p20	response_direction_conflict	response_best_min_p	response_summary	ms_positive_trend	known_closed_or_saturated	generic_immune_marker_symbol	prior_saturation_penalty	targetability_score	biology_score	support_score	wave94_score	wave94_failures	wave94_call
SEL1L3	17.0	3.0	0.0	1.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0010368895881306	0.0851932372069878	2.092734190002885	1.807884168162816			ibd_uc_stromal:2.09,p=0.001;ibd_crohn_stromal:1.46,p=0.007;t1d_endothelial_cell:1.55,p=0.0076	False	0.922501683138024	1.11834180243498	0.0181382735511015	0.8372898579012464															True	True	0.0	21.0	True	positive_disease_count>=3_with_MS_anchor	found	Q68CR1	Protein sel-1 homolog 3	1132.0	Membrane	Alternative splicing;Glycoprotein;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Transmembrane;Transmembrane helix	True	False	1.0																																		https://patents.google.com/?q=SEL1L3+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0	17	7	0	4	0	0	0	7	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		ibd_uc_stromal|ulcerative colitis|colon stromal|role=tissue_resident|delta=2.09|p=0.00104		0.922501683138024	1.11834180243498	0.0181382735511015	0.8372898579012464	True	True	1.0	RA	wave55;wave62	0.0	results_v3/wave79_targetability_shortlist_audit/targetability_foundation_rank_rows.tsv	1.0	2.0	1.0	3	2	0	False	0.07309097424520805	IBD_external_antitnf:g=-0.288,p=0.128,nonctx=3,respctx=1; RA_GSE198520_baseline_synovium:g=-0.604,p=0.0731,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=-0.0574,p=0.923,nonctx=1,respctx=0	False	False	False	1.0	1.75	7.922501683138024	3.5	12.172501683138023	weak_genetic_target_resolution	PARK_FOR_NEXT_FORCING_TEST
NRCAM	16.0	3.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis		0.0116823782091635	0.2247148482463899	3.1005603437118165	2.065973036842883			ibd_uc_stromal:2.93,p=0.012;ibd_crohn_stromal:3.1,p=0.015;psoriasis_skin_stromal:1.35,p=0.018	False	1.2982290374792624	0.7616213365350446	0.0812547813304489	0.8989378106274888							1.3125944439296318	-0.1874055560703682	1.5	0.0	0.0				False	True	0.0	14.065629722196482	True	positive_disease_count>=3_with_MS_anchor	found	Q92823	Neuronal cell adhesion molecule	1304.0	Cell membrane;Cell projection, axon;Secreted	3D-structure;Alternative splicing;Cell adhesion;Cell membrane;Cell projection;Disease variant;Disulfide bond;Glycoprotein;Immunoglobulin domain;Intellectual disability;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Secreted;Signal;Transmembrane;Transmembrane helix	True	False	1.0		Cell adhesion protein that is required for normal responses to cell-cell contacts in brain and in the peripheral nervous system. Plays a role in neurite outgrowth in response to contactin binding. Plays a role in mediating cell-cell contacts between Schwann cells and axons. Plays a role in the formation and maintenance of the nodes of Ranvier on myelinated axons. Nodes of Ranvier contain clustered sodium channels that are crucial for the saltatory propagation of action potentials along myelinated axons. During development, nodes of Ranvier are formed by the fusion of two heminodes. Required for normal clustering of sodium channels at heminodes; not required for the formation of mature nodes 																																https://patents.google.com/?q=NRCAM+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0	16	3	0	3	0	0	0	3	Crohn disease;psoriasis;ulcerative colitis		ibd_crohn_stromal|Crohn disease|colon stromal|role=tissue_resident|delta=3.1|p=0.0146		1.2982290374792624	0.7616213365350446	0.0812547813304489	0.8989378106274888	True	True	0.0			0.0		0.0	0.0	0.0	3	3	0	False	0.0036724740048767407	IBD_external_antitnf:g=-1.23,p=0.00367,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=-0.714,p=0.00955,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=-0.84,p=0.133,nonctx=1,respctx=0	False	False	False	0.0	1.75	7.298229037479262	3.0	12.048229037479263	limited_cross_disease_breadth;weak_genetic_target_resolution	PARK_FOR_NEXT_FORCING_TEST
PLEK2	17.0	4.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0035862606451553	0.1257467403941624	1.610603687157833	1.6466752659795816			ibd_uc_epithelial:1.27,p=0.0036;ibd_crohn_epithelial:1.02,p=0.0082;ibd_crohn_myeloid:1.61,p=0.019;t1d_stellate_cell:1.53,p=0.028	False	3.0459958234208124	1.3647899640433525	0.0073786076112192	0.8344760564031432															True	True	0.0	20.0	True	positive_disease_count>=3_with_MS_anchor	found	Q9NYT0	Pleckstrin-2	353.0	Cell projection, lamellipodium membrane;Cytoplasm, cytoskeleton	3D-structure;Acetylation;Cell membrane;Cell projection;Cytoplasm;Cytoskeleton;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat	True	False	0.0		May help orchestrate cytoskeletal arrangement. Contribute to lamellipodia formation																																https://patents.google.com/?q=PLEK2+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0	17	6	0	4	0	2	2	4	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		ibd_crohn_myeloid|Crohn disease|colon myeloid|role=myeloid_apc|delta=1.61|p=0.0186		3.0459958234208124	1.3647899640433525	0.0073786076112192	0.8344760564031432	True	True	0.0			0.0		0.0	0.0	0.0	3	0	0	False	0.19507083612288154	IBD_external_antitnf:g=-0.0658,p=0.195,nonctx=2,respctx=2; RA_GSE198520_baseline_synovium:g=-0.323,p=0.306,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=0.143,p=0.805,nonctx=0,respctx=1	False	False	False	0.0	1.0	10.5	0.0	11.5	weak_genetic_target_resolution;no_response_or_perturbation_support	PARK_FOR_NEXT_FORCING_TEST
C15ORF48	17.0	4.0	0.0	2.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		2.9480144785423246e-05	0.0287473526150427	4.446094548919012	2.192391202215459			ibd_uc_myeloid:4.45,p=2.9e-05;ibd_crohn_myeloid:3.88,p=0.00061;t1d_endothelial_cell:3.21,p=0.0014;t1d_stellate_cell:3.09,p=0.015	False	1.223015588579818	1.4379284490095372	0.0037534871126623	0.8344760564031432															True	True	0.0	24.0	True	positive_disease_count>=3_with_MS_anchor	found	Q9C002	Cytochrome c oxidase associated subunit FA4L3	83.0	Mitochondrion inner membrane	Membrane;Mitochondrion;Mitochondrion inner membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix	True	False	1.0		Mitochondrial small peptide that orchestrates a two-pronged immunoregulatory mechanism in response to inflammatory stimuli. Replaces the canonical cytochrome c oxidase subunit COXFA4 in mitochondrial complex IV and targets it to degradation, attenuating mitochondrial respiration, reducing membrane potential as well as ROS generation and modulates innate immune signaling (PubMed:33837217, PubMed:34878835). Additionally, initiates stress-independent autophagy by lowering ATP levels, activating AMPK-ULK1 signaling, boosting glutathione production, and thereby mitigating oxidative stress and supporting immune tolerance (PubMed:38296961)																																https://patents.google.com/?q=C15ORF48+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0	17	7	0	4	0	3	3	4	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis		ibd_uc_myeloid|ulcerative colitis|colon myeloid|role=myeloid_apc|delta=4.45|p=2.95e-05		1.223015588579818	1.4379284490095372	0.0037534871126623	0.8344760564031432	True	True	0.0			0.0		0.0	0.0	0.0	3	0	1	False	0.03458219657839717	IBD_external_antitnf:g=0.547,p=0.0346,nonctx=0,respctx=4; RA_GSE198520_baseline_synovium:g=0.289,p=0.28,nonctx=0,respctx=1; psoriasis_GSE85034_baseline_skin:g=-0.374,p=0.547,nonctx=1,respctx=0	False	False	False	0.0	1.75	10.473015588579818	-0.75	11.473015588579818	weak_genetic_target_resolution	PARK_FOR_NEXT_FORCING_TEST
CD200	17.0	4.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0190851289907581	0.3202498069060335	2.2207972497357824	1.1109489774715031			t1d_endothelial_cell:2.22,p=0.019;ibd_crohn_myeloid:2.18,p=0.026;ibd_uc_stromal:1.91,p=0.043;t1d_stellate_cell:1.16,p=0.048	False	1.8384397244159705	0.7376907573992674	0.0908591902171466	0.8989378106274888															False	True	0.0	15.0	True	positive_disease_count>=3_with_MS_anchor	found	P41217	OX-2 membrane glycoprotein	278.0	Cell membrane	Alternative splicing;Cell membrane;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Proteomics identification;Reference proteome;Signal;Transmembrane;Transmembrane helix	True	False	1.0		Costimulates T-cell proliferation. May regulate myeloid cell activity in a variety of tissues																															Wave34 genetics/druggability: NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY; nan	https://patents.google.com/?q=CD200+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; prior_demoted_or_class_blocked; reachable protein class by UniProt location/features	7.0	17	7	1	4	1	3	3	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	Sjogren syndrome	t1d_endothelial_cell|type 1 diabetes mellitus|pancreatic endothelial cell|role=tissue_resident|delta=2.22|p=0.0191	sjogren_gland_stromal|Sjogren syndrome|salivary gland stromal/endothelial|role=tissue_resident|delta=-0.564|p=0.064	1.8384397244159705	0.7376907573992674	0.0908591902171466	0.8989378106274888	True	True	2.0	Crohn;UC	wave55	0.0		0.0	0.0	0.0	3	2	1	True	0.010016993110532032	IBD_external_antitnf:g=-0.736,p=0.0199,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=-0.815,p=0.01,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=0.811,p=0.165,nonctx=0,respctx=1	False	False	False	1.0	1.75	9.58843972441597	0.25	10.58843972441597	directional_negative_context;response_direction_conflict	PARK_FOR_NEXT_FORCING_TEST
CHI3L1	16.0	4.0	0.0	1.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0005617189029733	0.0626560483677375	5.935692735666803	1.7017607091962836			ibd_uc_stromal:5.94,p=0.00056;ibd_crohn_stromal:4.7,p=0.011;t1d_endothelial_cell:2.71,p=0.038;t1d_stellate_cell:1.53,p=0.043	True	2.006853151074319	1.3467454734949036	0.0046126032857275	0.8344760564031432							4.938511651385653	1.7192558256928263	3.2192558256928265	1.0	0.0	MS			True	True	0.0	23.246925582569283	True	positive_disease_count>=3_with_MS_anchor	found	P36222	Chitinase-3-like protein 1	383.0	Cytoplasm;Cytoplasm, perinuclear region;Endoplasmic reticulum;Secreted, extracellular space	3D-structure;Antimicrobial;Apoptosis;Asthma;Cytoplasm;Direct protein sequencing;Disulfide bond;Endoplasmic reticulum;Glycoprotein;Inflammatory response;Lectin;Proteomics identification;Reference proteome;Schizophrenia;Secreted;Signal	True	False	0.0	Binding site;Binding site;Binding site;Binding site;Binding site;Binding site	Carbohydrate-binding lectin with a preference for chitin. Has no chitinase activity. May play a role in tissue remodeling and in the capacity of cells to respond to and cope with changes in their environment. Plays a role in T-helper cell type 2 (Th2) inflammatory response and IL-13-induced inflammation, regulating allergen sensitization, inflammatory cell apoptosis, dendritic cell accumulation and M2 macrophage differentiation. Facilitates invasion of pathogenic enteric bacteria into colonic mucosa and lymphoid organs. Mediates activation of AKT1 signaling pathway and subsequent IL8 production in colonic epithelial cells. Regulates antibacterial responses in lung by contributing to macropha																															secreted biomarker-dominated route; prior Wave18 parked | Wave18 accessible-target rescue: PARK; local recurrence below promotion threshold (3<4 disease union); state-coupled support below threshold (0<4 disease union); prior-art saturation high (EuropePMC=1833, ClinicalTrials=9)	https://patents.google.com/?q=CHI3L1+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; prior_demoted_or_class_blocked; reachable protein class by UniProt location/features	7.0	16	8	0	4	0	0	0	8	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		ibd_uc_stromal|ulcerative colitis|colon stromal|role=tissue_resident|delta=5.94|p=0.000562		2.006853151074319	1.3467454734949036	0.0046126032857275	0.8344760564031432	True	True	0.0			0.0	results_v3/geneformer_pivot_panel_delete/geneformer_pivot_panel_context_metrics_ranked.tsv	13.0	0.0	0.0	3	1	1	True	2.136664467046997e-06	IBD_external_antitnf:g=-1.61,p=2.14e-06,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=0.824,p=0.00326,nonctx=0,respctx=1; psoriasis_GSE85034_baseline_skin:g=-0.59,p=0.205,nonctx=1,respctx=0	False	False	False	1.0	2.5	9.0	-1.75	8.75	weak_genetic_target_resolution;response_direction_conflict	PARK_FOR_NEXT_FORCING_TEST
ROMO1	17.0	4.0	0.0	1.0	0.0	3.0	0.0	Sjogren syndrome;psoriasis;type 1 diabetes mellitus		5.5843759745480903e-05	0.022900027624409	0.888403312950981	1.2476693173815911			t1d_beta_cell:0.716,p=5.6e-05;psoriasis_keratinocyte:0.888,p=0.0082;t1d_acinar_cell:0.767,p=0.012;sjogren_gland_stromal:0.531,p=0.049	False	0.4378196442775728	0.8060766004973745	0.0660650677266765	0.8989378106274888															False	True	0.0	17.0	True	positive_disease_count>=3_with_MS_anchor	found	P60602	Reactive oxygen species modulator 1	79.0	Mitochondrion inner membrane	Alternative splicing;Antibiotic;Antimicrobial;Membrane;Mitochondrion;Mitochondrion inner membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix	True	False	1.0		Induces production of reactive oxygen species (ROS) which are necessary for cell proliferation. May play a role in inducing oxidative DNA damage and replicative senescence. May play a role in the coordination of mitochondrial morphology and cell proliferation Has antibacterial activity against a variety of bacteria including S.aureus, P.aeruginosa and M.tuberculosis. Acts by inducing bacterial membrane breakage																																https://patents.google.com/?q=ROMO1+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0	17	5	0	3	0	1	1	4	Sjogren syndrome;psoriasis;type 1 diabetes mellitus		psoriasis_keratinocyte|psoriasis|skin keratinocyte|role=tissue_resident|delta=0.888|p=0.00819		0.4378196442775728	0.8060766004973745	0.0660650677266765	0.8989378106274888	True	True	0.0			0.0		0.0	0.0	0.0	3	0	1	False	0.0015598660549158885	IBD_external_antitnf:g=0.161,p=0.425,nonctx=1,respctx=3; RA_GSE198520_baseline_synovium:g=1.15,p=0.00156,nonctx=0,respctx=1; psoriasis_GSE85034_baseline_skin:g=0.505,p=0.42,nonctx=0,respctx=1	False	False	False	0.0	1.75	7.187819644277573	-0.75	8.187819644277573	limited_cross_disease_breadth;weak_genetic_target_resolution	PARK_FOR_NEXT_FORCING_TEST
CD82	17.0	6.0	0.0	0.0	0.0	5.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0022868359631754	0.1044115756286818	1.5051228695127117	1.546146889675453			ibd_uc_epithelial:1.24,p=0.0023;sjogren_gland_stromal:0.693,p=0.01;ibd_uc_stromal:1.51,p=0.014;t1d_ductal_cell:0.526,p=0.025;ibd_crohn_epithelial:0.726,p=0.025;psoriasis_keratinocyte:0.372,p=0.037	False	0.5036946542270737	0.6132148315417044	0.1728910748647989	0.8993702893651148															False	False	0.0	21.0	True	positive_disease_count>=4	found	P27701	CD82 antigen	267.0	Cell membrane;Cytoplasmic vesicle, phagosome	Alternative splicing;Cell membrane;Cytoplasmic vesicle;Glycoprotein;Lipoprotein;Membrane;Palmitate;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix	True	True	4.0		Structural component of specialized membrane microdomains known as tetraspanin-enriched microdomains (TERMs), which act as platforms for receptor clustering and signaling (PubMed:19497983). Participates thereby in diverse biological functions such as cell signal transduction, adhesion, migration and protein trafficking. Acts as a attenuator of EGF signaling, facilitating ligand-induced endocytosis of the receptor and its subsequent desensitization (PubMed:10985391, PubMed:35538033). Mechanistically, modulates ligand-induced ubiquitination and trafficking of EGFR via E3 ligase CBL phosphorylation by PKC (PubMed:23897813). Increases cell-matrix adhesion by regulating the membrane organization 										not_found_exact						0.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CD82	0.0	0.0				"""CD82"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	941.0	"[{""doi"": ""10.1016/j.xcrm.2026.102703"", ""id"": ""41895287"", ""source"": ""MED"", ""title"": ""Multi-omics reveal vitamin D regulation of immune-gut microbiome interactions and tolerogenic pathways in inflammatory bowel disease."", ""year"": ""2026""}, {""doi"": ""10.3390/ijms26199365"", ""id"": ""41096634"", ""source"": ""MED"", ""title"": ""Special Issue: Autoimmune Diseases: A Swing Dance of Immune Cells."", ""year"": ""2025""}, {""doi"": ""10.1016/j.stemcr.2026.102868"", ""id"": ""41932339"", ""source"": ""MED"", ""title"": ""Discovery of kidney disease targets using multimodal human podocyte injury models."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22CD82%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29	CD82 autoimmune	0.0	[]	https://clinicaltrials.gov/search?term=CD82+autoimmune	prior Wave21 demotion: broad raw state marker, no strict residual or direction | Wave21 prior-art review: Do not follow up. | Wave25 causal proxy: MODULE_MARKER_NOT_GENETICALLY_ANCHORED	https://patents.google.com/?q=CD82+autoimmune+antibody+inhibitor+agonist	PARK_REVIEW	prior_demoted_or_class_blocked; reachable protein class by UniProt location/features	11.0	17	7	0	5	0	0	0	7	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		ibd_uc_stromal|ulcerative colitis|colon stromal|role=tissue_resident|delta=1.51|p=0.0136		0.5036946542270737	0.6132148315417044	0.1728910748647989	0.8993702893651148	False	True	0.0			0.0		0.0	0.0	0.0	3	2	0	False	5.867470218637578e-05	IBD_external_antitnf:g=-1.08,p=5.87e-05,nonctx=4,respctx=0; RA_GSE198520_baseline_synovium:g=-0.169,p=0.603,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=-0.797,p=0.146,nonctx=1,respctx=0	False	False	False	1.0	1.75	5.503694654227074	2.0	8.253694654227074	weak_ms_anchor;weak_genetic_target_resolution	PARK_ACCESSIBLE_MARKER_OR_WEAK_ROUTE
SPNS1	17.0	5.0	0.0	0.0	0.0	4.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus		0.002552579203456	0.1202095769864437	1.0736029438716854	1.3712897843397718			ibd_crohn_epithelial:1.07,p=0.0026;sjogren_gland_apc:0.892,p=0.022;ibd_crohn_myeloid:0.469,p=0.035;psoriasis_skin_stromal:0.635,p=0.037;t1d_ductal_cell:0.325,p=0.045	False	-0.1044989193858096	-0.3036219395843364	0.4834570887940685	0.926038761164836															False	False	0.0	17.0	False	positive_disease_count>=4	found	Q9H2V7	Protein spinster homolog 1	528.0	Lysosome membrane;Mitochondrion inner membrane	3D-structure;Acetylation;Alternative splicing;Lipid transport;Lysosome;Membrane;Mitochondrion;Mitochondrion inner membrane;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport	True	False	12.0		Plays a critical role in the phospholipid salvage pathway from lysosomes to the cytosol (PubMed:36161949, PubMed:37075117). Mediates the rate-limiting, proton-dependent, lysosomal efflux of lysophospholipids, which can then be reacylated by acyltransferases in the endoplasmic reticulum to form phospholipids (PubMed:36161949, PubMed:37075117). Selective for zwitterionic headgroups such as lysophosphatidylcholine (LPC) and lysophosphatidylethanolamine (LPE), can also transport lysophosphatidylglycerol (LPG), but not other anionic lysophospholipids, sphingosine, nor sphingomyelin (PubMed:36161949). Transports lysophospholipids with saturated, monounsaturated, and polyunsaturated fatty acids, su										not_found_exact						0.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=SPNS1	0.0	0.0				"""SPNS1"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	55.0	"[{""doi"": ""10.1038/s41531-025-01148-z"", ""id"": ""41120349"", ""source"": ""MED"", ""title"": ""Peripheral immune cell-specific genes in Parkinson's disease uncovered by multi-omics with therapeutic implications."", ""year"": ""2025""}, {""doi"": ""10.1007/s10067-025-07693-5"", ""id"": ""41203929"", ""source"": ""MED"", ""title"": ""Inflammatory cytokines mediate the common genetic and immunological background between rheumatoid arthritis and osteoporosis."", ""year"": ""2026""}, {""doi"": ""10.3389/fmed.2025.1693787"", ""id"": ""41384115"", ""source"": ""MED"", ""title"": ""SPP1, LYZ, and MCM5: potential diagnostic biomarkers for rheumatoid arthritis and cervical cancer comorbidity."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22SPNS1%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29	SPNS1 autoimmune	0.0	[]	https://clinicaltrials.gov/search?term=SPNS1+autoimmune		https://patents.google.com/?q=SPNS1+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; no_ms_anchor; reachable protein class by UniProt location/features	10.0	17	6	0	4	0	2	2	4	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus		ibd_crohn_epithelial|Crohn disease|colon epithelial|role=tissue_resident|delta=1.07|p=0.00255		-0.1044989193858096	-0.3036219395843364	0.4834570887940685	0.926038761164836	False	False	0.0		wave62	0.0		0.0	0.0	0.0	3	1	0	False	0.1790383233559156	IBD_external_antitnf:g=0.00594,p=0.614,nonctx=2,respctx=2; RA_GSE198520_baseline_synovium:g=-0.425,p=0.179,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=0.693,p=0.297,nonctx=0,respctx=1	False	False	False	0.0	1.75	5.5	1.0	8.25	weak_ms_anchor;weak_genetic_target_resolution	PARK_ACCESSIBLE_MARKER_OR_WEAK_ROUTE
STARD3NL	17.0	3.0	0.0	0.0	0.0	3.0	0.0	psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0156824190828098	0.2869120920854114	0.7110203178341314	1.4615997254682802			psoriasis_keratinocyte:0.711,p=0.016;ibd_uc_stromal:0.547,p=0.022;t1d_stellate_cell:0.494,p=0.026	False	0.390165879492395	0.6653790243297889	0.123344185153865	0.8989378106274888															False	True	0.0	14.0	True	positive_disease_count>=3_with_MS_anchor	found	O95772	STARD3 N-terminal-like protein	234.0	Late endosome membrane	Acetylation;Alternative initiation;Endosome;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix	True	False	4.0		Tethering protein that creates contact site between the endoplasmic reticulum and late endosomes: localizes to late endosome membranes and contacts the endoplasmic reticulum via interaction with VAPA and VAPB (PubMed:24105263)																																https://patents.google.com/?q=STARD3NL+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0	17	4	0	4	0	0	0	4	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		psoriasis_keratinocyte|psoriasis|skin keratinocyte|role=tissue_resident|delta=0.711|p=0.0157		0.390165879492395	0.6653790243297889	0.123344185153865	0.8989378106274888	False	True	0.0			0.0		0.0	0.0	0.0	3	2	0	False	0.11744014371058754	IBD_external_antitnf:g=-0.286,p=0.203,nonctx=3,respctx=1; RA_GSE198520_baseline_synovium:g=-0.401,p=0.117,nonctx=1,respctx=0; psoriasis_GSE85034_baseline_skin:g=-0.746,p=0.173,nonctx=1,respctx=0	False	False	False	0.0	1.75	4.390165879492395	2.0	8.140165879492395	weak_ms_anchor;weak_genetic_target_resolution	PARK_ACCESSIBLE_MARKER_OR_WEAK_ROUTE
