gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	opentargets_max_overall	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_channels_present	existing_priority_score	existing_weighted_evidence_score	existing_ms_anchor_score	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	existing_prior_flag	ms_positive_nominal	ms_positive_trend	genetic_or_target_db_breadth	discovery_priority_score	has_ms_anchor	broad_pool_reason	uniprot_status	uniprot_accession	protein_name	sequence_length	uniprot_locations	uniprot_keywords	uniprot_accessible	uniprot_enzymatic_or_catalytic	uniprot_transmembrane_feature_count	uniprot_active_or_binding_features	function_excerpt	family	n_delta_fdr10_positive_diseases	n_delta_trend_or_better_diseases	n_delta_negative_trend_diseases	n_state_resid_non_ifn_r_ge_0_35_diseases	n_confounder_dominant_diseases	rank_score	go_no_go	demotion_or_support_reason	chembl_status	chembl_target_chembl_id	chembl_target_pref_name	chembl_target_type	chembl_target_organism	chembl_target_accessions	chembl_search_hit_count	chembl_url	chembl_activity_count	chembl_activity_values_nM_count	chembl_unique_molecules_returned	chembl_best_standard_value_nM_returned	chembl_median_standard_value_nM_returned	europepmc_query	europepmc_hit_count	europepmc_examples_json	europepmc_url	clinicaltrials_query	clinicaltrials_hit_count	clinicaltrials_examples_json	clinicaltrials_url	prior_flags	google_patents_url	wave39_call	wave39_reason	wave39_score
ABHD13	17.0	3.0	1.0	0.0	0.0	3.0	1.0	Crohn disease;psoriasis;ulcerative colitis	type 1 diabetes mellitus	0.0164921394636003	0.2424874251669218	0.947309447277212	1.5348108953104085	0.0407966899954278	-0.6217224402171997	ibd_uc_myeloid:0.947,p=0.016;psoriasis_skin_stromal:0.458,p=0.019;ibd_crohn_epithelial:0.543,p=0.031	False	0.2523206566289371	0.8151546140958147	0.0675857913143448	0.8989378106274888															False	True	0.0	10.0	True	positive_disease_count>=3_with_MS_anchor	found	Q7L211	Protein ABHD13	337.0	Membrane	Glycoprotein;Hydrolase;Membrane;Proteomics identification;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix	True	True	1.0	Active site:Charge relay system;Active site:Charge relay system;Active site:Charge relay system																																	https://patents.google.com/?q=ABHD13+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; directional_negative_disease_signal; reachable protein class by UniProt location/features	10.0
ADM	17.0	3.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;Sjogren syndrome;ulcerative colitis		0.0165039809203659	0.2718898511008051	2.446026161182271	1.393061937626414			ibd_crohn_myeloid:2.45,p=0.017;ibd_uc_myeloid:2.04,p=0.034;sjogren_gland_stromal:0.537,p=0.039	False	0.4472306428657475	0.5238764707784727	0.2265084165897911	0.8993702893651148															False	False	0.0	12.0	True	positive_disease_count>=3_with_MS_anchor	found	P35318	Pro-adrenomedullin	185.0	Secreted	3D-structure;Amidation;Cleavage on pair of basic residues;Direct protein sequencing;Disulfide bond;Hormone;Proteomics identification;Reference proteome;Secreted;Signal	True	False	0.0		Adrenomedullin/ADM and proadrenomedullin N-20 terminal peptide/PAMP are peptide hormones that act as potent hypotensive and vasodilatator agents (PubMed:8387282, PubMed:9620797). Numerous actions have been reported most related to the physiologic control of fluid and electrolyte homeostasis. In the kidney, ADM is diuretic and natriuretic, and both ADM and PAMP inhibit aldosterone secretion by direct adrenal actions. In pituitary gland, both peptides at physiologically relevant doses inhibit basal ACTH secretion. Both peptides appear to act in brain and pituitary gland to facilitate the loss of plasma volume, actions which complement their hypotensive effects in blood vessels Peptide hormone 																																https://patents.google.com/?q=ADM+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0
APOC1	17.0	3.0	1.0	0.0	0.0	3.0	1.0	Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	ulcerative colitis	0.0077478315751561	0.3353996556026541	1.507336097479321	1.2341409625104072	0.0467552080895481	-1.567049625672901	t1d_acinar_cell:1.51,p=0.0077;sjogren_gland_epithelial:1.18,p=0.0097;ibd_uc_epithelial:1.28,p=0.047	True	0.8063088065414767	0.960873317311374	0.0333487255864159	0.8506970233122761															True	True	0.0	16.0	True	positive_disease_count>=3_with_MS_anchor	found	P02654	Apolipoprotein C-I	83.0	Secreted	3D-structure;Direct protein sequencing;Lipid transport;Proteomics identification;Reference proteome;Secreted;Signal;Transport;VLDL	True	False	0.0		Inhibitor of lipoprotein binding to the low density lipoprotein (LDL) receptor, LDL receptor-related protein, and very low density lipoprotein (VLDL) receptor. Associates with high density lipoproteins (HDL) and the triacylglycerol-rich lipoproteins in the plasma and makes up about 10% of the protein of the VLDL and 2% of that of HDL. Appears to interfere directly with fatty acid uptake and is also the major plasma inhibitor of cholesteryl ester transfer protein (CETP). Binds free fatty acids and reduces their intracellular esterification. Modulates the interaction of APOE with beta-migrating VLDL and inhibits binding of beta-VLDL to the LDL receptor-related protein																																https://patents.google.com/?q=APOC1+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; directional_negative_disease_signal; reachable protein class by UniProt location/features	8.5
APOE																	True																							False								False																																					NOT_IN_W39_MANUAL_LIPID_INCLUDE	manual_include_from_wave91_or_lipid_axis	
BTN2A2	17.0	4.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis		0.0102124579961972	0.1912903007943069	1.74439708065408	1.5295423781082156			ibd_uc_epithelial:1.74,p=0.01;ibd_crohn_epithelial:0.839,p=0.047;ibd_uc_stromal:1.22,p=0.047;psoriasis_skin_apc:1.17,p=0.048	False	0.2667644858023408	0.5647469973944027	0.1863670669301857	0.8993702893651148															False	False	0.0	13.0	True	positive_disease_count>=3_with_MS_anchor	found	Q8WVV5	Butyrophilin subfamily 2 member A2	523.0	Membrane	3D-structure;Alternative splicing;Coiled coil;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Proteomics identification;Reference proteome;Signal;Transmembrane;Transmembrane helix	True	False	1.0		Inhibits the proliferation of CD4 and CD8 T-cells activated by anti-CD3 antibodies, T-cell metabolism and IL2 and IFNG secretion																															Wave34 genetics/druggability: NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY; nan	https://patents.google.com/?q=BTN2A2+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; prior_demoted_or_class_blocked; reachable protein class by UniProt location/features	7.0
BTN3A1	17.0	4.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0070705127839726	0.1516184326881906	1.747964187869783	1.323701601461098			ibd_crohn_epithelial:1.15,p=0.0071;ibd_uc_epithelial:1.16,p=0.029;t1d_ductal_cell:1.75,p=0.032;t1d_stellate_cell:1.25,p=0.049	False	0.332851918626238	0.5824156142884032	0.180138895914588	0.8993702893651148															False	False	0.0	13.0	True	positive_disease_count>=3_with_MS_anchor	found	O00481	Butyrophilin subfamily 3 member A1	513.0	Cell membrane	3D-structure;Adaptive immunity;Alternative splicing;Cell membrane;Disulfide bond;Glycoprotein;Immunity;Immunoglobulin domain;Membrane;Proteomics identification;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix	True	False	1.0		Plays a role in T-cell activation and in the adaptive immune response. Regulates the proliferation of activated T-cells. Regulates the release of cytokines and IFNG by activated T-cells. Mediates the response of T-cells toward infected and transformed cells that are characterized by high levels of phosphorylated metabolites, such as isopentenyl pyrophosphate																																https://patents.google.com/?q=BTN3A1+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0
C15ORF48	17.0	4.0	0.0	2.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		2.9480144785423246e-05	0.0287473526150427	4.446094548919012	2.192391202215459			ibd_uc_myeloid:4.45,p=2.9e-05;ibd_crohn_myeloid:3.88,p=0.00061;t1d_endothelial_cell:3.21,p=0.0014;t1d_stellate_cell:3.09,p=0.015	False	1.223015588579818	1.4379284490095372	0.0037534871126623	0.8344760564031432															True	True	0.0	24.0	True	positive_disease_count>=3_with_MS_anchor	found	Q9C002	Cytochrome c oxidase associated subunit FA4L3	83.0	Mitochondrion inner membrane	Membrane;Mitochondrion;Mitochondrion inner membrane;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix	True	False	1.0		Mitochondrial small peptide that orchestrates a two-pronged immunoregulatory mechanism in response to inflammatory stimuli. Replaces the canonical cytochrome c oxidase subunit COXFA4 in mitochondrial complex IV and targets it to degradation, attenuating mitochondrial respiration, reducing membrane potential as well as ROS generation and modulates innate immune signaling (PubMed:33837217, PubMed:34878835). Additionally, initiates stress-independent autophagy by lowering ATP levels, activating AMPK-ULK1 signaling, boosting glutathione production, and thereby mitigating oxidative stress and supporting immune tolerance (PubMed:38296961)																																https://patents.google.com/?q=C15ORF48+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; reachable protein class by UniProt location/features	10.0
CCL20	16.0	8.0	0.0	0.0	0.0	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.0016712706999653	0.1217290766431793	6.085702345455086	2.0089339263285684			ibd_uc_myeloid:6.09,p=0.0017;ibd_crohn_epithelial:1.79,p=0.0035;ibd_crohn_myeloid:5.13,p=0.0043;ibd_uc_epithelial:2.07,p=0.0099;t1d_ductal_cell:3.36,p=0.012;t1d_acinar_cell:3.14,p=0.021;t1d_endothelial_cell:3.8,p=0.023;psoriasis_skin_stromal:1.64,p=0.046	False	1.1469018183892334	0.8573650161165193	0.0611072952242856	0.8989378106274888															False	True	0.0	22.0	True	positive_disease_count>=4	found	P78556	C-C motif chemokine 20	96.0	Secreted	3D-structure;Alternative splicing;Antibiotic;Antimicrobial;Chemotaxis;Cytokine;Direct protein sequencing;Disulfide bond;Inflammatory response;Proteomics identification;Reference proteome;Secreted;Signal	True	False	0.0		Acts as a ligand for C-C chemokine receptor CCR6. Signals through binding and activation of CCR6 and induces a strong chemotactic response and mobilization of intracellular calcium ions (PubMed:11035086, PubMed:11352563, PubMed:20068036). The ligand-receptor pair CCL20-CCR6 is responsible for the chemotaxis of dendritic cells (DC), effector/memory T-cells and B-cells and plays an important role at skin and mucosal surfaces under homeostatic and inflammatory conditions, as well as in pathology, including cancer and various autoimmune diseases (PubMed:21376174). CCL20 acts as a chemotactic factor that attracts lymphocytes and, slightly, neutrophils, but not monocytes (PubMed:11352563, PubMed:9										not_found_exact						0.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CCL20	0.0	0.0				"""CCL20"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	8790.0	"[{""doi"": ""10.1097/md.0000000000044022"", ""id"": ""40859509"", ""source"": ""MED"", ""title"": ""Chemotaxis-related molecular markers underlying the immune disorder of psoriasis and ulcerative colitis: Preliminary analysis and verification."", ""year"": ""2025""}, {""doi"": ""10.1097/md.0000000000045735"", ""id"": ""41239614"", ""source"": ""MED"", ""title"": ""Causality relationship between 91 inflammatory factors and 5 intestinal diseases: A two-sample bidirectional Mendelian randomized study."", ""year"": ""2025""}, {""doi"": ""10.3390/biomedicines13102472"", ""id"": ""41153754"", ""source"": ""MED"", ""title"": ""Interferons in Autoimmunity: From Loss of Tolerance to Chronic Inflammation."", ""year"": ""2025""}]"	https://europepmc.org/search?query=%22CCL20%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29	CCL20 autoimmune	5.0	"[{""conditions"": [""Pemphigus Vulgaris"", ""Bullous Dermatoses"", ""Autoimmune Diseases""], ""nct_id"": ""NCT04096222"", ""status"": ""UNKNOWN"", ""title"": ""Comparative Analysis of the Th17 Cellular Response in Active and Inactive Pemphigus Vulgaris Patients""}, {""conditions"": [""Hepatitis B""], ""nct_id"": ""NCT01777295"", ""status"": ""COMPLETED"", ""title"": ""Development of Read-outs in Healthy, Hepatitis B Virus Naive Adults Vaccinated With the Hepatitis B Surface Antigen (HBsAg) in Combination With a GlaxoSmithKline (GSK) Biologicals' Adjuvant System""}, {""conditions"": [""Rheumatoid Arthritis""], ""nct_id"": ""NCT01123655"", ""status"": ""COMPLETED"", ""title"": ""Phase 1 Trial of Type II Collagen (CII) APL A12 in Rheumatoid Arthritis Patients""}, {""conditions"": [""Rheumatoid Arthritis"", ""Interstitial Lung Disease Due to Systemic Disease (Disorder)"", ""RA"", ""ILD""], ""nct_id"": ""NCT04311567"", ""status"": ""TERMINATED"", ""title"": ""Effects of Tofacitinib vs Methotrexate on Rheumatoid Arthritis Interstitial Lung Disease""}, {""conditions"": [""Rheumatoid Arthritis""], ""nct_id"": ""NCT00996606"", ""status"": ""COMPLETED"", ""title"": ""A Study of Tocilizumab in Combination With Disease-Modifying Anti-Rheumatic Drugs (DMARDs) in Participants With Moderate to Severe Active Rheumatoid Arthritis With an Inadequate Response to DMARDs""}]"	https://clinicaltrials.gov/search?term=CCL20+autoimmune		https://patents.google.com/?q=CCL20+autoimmune+antibody+inhibitor+agonist	PARK_REVIEW	generic_ifn_cytokine_or_chemokine_axis; prior_art_or_trial_saturation; reachable protein class by UniProt location/features	7.0
CD200	17.0	4.0	0.0	0.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0190851289907581	0.3202498069060335	2.2207972497357824	1.1109489774715031			t1d_endothelial_cell:2.22,p=0.019;ibd_crohn_myeloid:2.18,p=0.026;ibd_uc_stromal:1.91,p=0.043;t1d_stellate_cell:1.16,p=0.048	False	1.8384397244159705	0.7376907573992674	0.0908591902171466	0.8989378106274888															False	True	0.0	15.0	True	positive_disease_count>=3_with_MS_anchor	found	P41217	OX-2 membrane glycoprotein	278.0	Cell membrane	Alternative splicing;Cell membrane;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Proteomics identification;Reference proteome;Signal;Transmembrane;Transmembrane helix	True	False	1.0		Costimulates T-cell proliferation. May regulate myeloid cell activity in a variety of tissues																															Wave34 genetics/druggability: NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY; nan	https://patents.google.com/?q=CD200+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	insufficient_breadth; prior_demoted_or_class_blocked; reachable protein class by UniProt location/features	7.0
CD74	17.0	6.0	1.0	0.0	0.0	4.0	1.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	ulcerative colitis	0.0001493188557005	0.1521083558094026	3.4924642000814563	1.6610284278730123	0.0286731100130888	-0.8457538295667728	sjogren_gland_epithelial:1.5,p=0.00015;t1d_ductal_cell:0.993,p=0.00077;t1d_stellate_cell:2.15,p=0.0027;ibd_uc_epithelial:3.49,p=0.0052;ibd_crohn_epithelial:3.09,p=0.0091;t1d_acinar_cell:1.63,p=0.015	False	0.2553907019006836	0.5415320486815584	0.2187160729350419	0.8993702893651148	1.0	AS	0.0209243668686555			datatype_literature									False	False	1.0	14.5	True	positive_disease_count>=4	found	P04233	HLA class II histocompatibility antigen gamma chain	296.0	Cell membrane;Endoplasmic reticulum membrane;Endosome;Golgi apparatus, trans-Golgi network;Late endosome;Lysosome;Secreted	3D-structure;Adaptive immunity;Alternative initiation;Alternative splicing;Cell membrane;Chaperone;Direct protein sequencing;Disulfide bond;Endoplasmic reticulum;Endosome;Glycoprotein;Golgi apparatus;Immunity;Lysosome;Membrane;Phosphoprotein;Proteoglycan;Proteomics identification;Reference proteome;Secreted;Signal-anchor;Transmembrane;Transmembrane helix	True	True	1.0		Plays a critical role in MHC class II antigen processing by stabilizing peptide-free class II alpha/beta heterodimers in a complex soon after their synthesis and directing transport of the complex from the endoplasmic reticulum to the endosomal/lysosomal system where the antigen processing and binding of antigenic peptides to MHC class II takes place. Serves as cell surface receptor for the cytokine MIF Binds to the peptide-binding site of MHC class II alpha/beta heterodimers forming an alpha-beta-CLIP complex, thereby preventing the loading of antigenic peptides to the MHC class II complex until its release by HLA-DM in the endosome Stabilizes the conformation of mature CTSL by binding to i	state_positive_control	2.0	6.0	0.0	8.0	0.0	15.0	NO_GO	state-definition positive control, not dependency nomination	found	CHEMBL4692	HLA class II histocompatibility antigen gamma chain	SINGLE PROTEIN	Homo sapiens	P04233	4.0	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=CD74	25.0	25.0	25.0	410.0	1400.0	"""CD74"" AND (autoimmune OR ""multiple sclerosis"" OR lupus OR psoriasis OR Crohn OR ""ulcerative colitis"")"	4629.0	"[{""doi"": ""10.3390/ijms27062829"", ""id"": ""41898690"", ""source"": ""MED"", ""title"": ""Bridging Inflammation and Oncology: The Role and Therapeutic Potential of Macrophage Migration Inhibitory Factor in Lung Cancer."", ""year"": ""2026""}, {""doi"": ""10.1007/s00210-026-05175-2"", ""id"": ""41814035"", ""source"": ""MED"", ""title"": ""Constructing a protein-protein interaction network for autoimmune liver diseases by integrating pQTL, rQTL, and mediation analyses."", ""year"": ""2026""}, {""doi"": ""10.1021/acs.jproteome.6c00089"", ""id"": ""42059822"", ""source"": ""MED"", ""title"": ""Proteomic Biomarker Discovery in Cerebrospinal Fluid Identifies CD74 and CD14 for Differentiating Multiple Sclerosis from Neuromyelitis Optica."", ""year"": ""2026""}]"	https://europepmc.org/search?query=%22CD74%22+AND+%28autoimmune+OR+%22multiple+sclerosis%22+OR+lupus+OR+psoriasis+OR+Crohn+OR+%22ulcerative+colitis%22%29	CD74 autoimmune	4.0	"[{""conditions"": [""Lupus Erythematosus, Cutaneous"", ""Lupus Erythematosus, Discoid"", ""Lupus Erythematosus, Systemic"", ""Lupus Vasculitis, Central Nervous System"", ""Lupus Nephritis""], ""nct_id"": ""NCT01845740"", ""status"": ""COMPLETED"", ""title"": ""Phase Ib Study of SC Milatuzumab in SLE""}, {""conditions"": [""Autoimmune Hepatitis""], ""nct_id"": ""NCT02950077"", ""status"": ""COMPLETED"", ""title"": ""Mindfulness - Based Stress Reduction and the Relationship on Inflammation in Autoimmune Hepatitis""}, {""conditions"": [""Non-Hodgkin's Lymphoma"", ""Chronic Lymphocytic Leukemia""], ""nct_id"": ""NCT00504972"", ""status"": ""COMPLETED"", ""title"": ""Phase I Trial of Anti-CD74 (hLL1) Antibody Therapy in B Cell Malignancies""}, {""conditions"": [""Autoimmune Hepatitis""], ""nct_id"": ""NCT03711669"", ""status"": ""UNKNOWN"", ""title"": ""Biomarkers to Predict the Success of Immunosuppression Withdrawal in Autoimmune Hepatitis""}]"	https://clinicaltrials.gov/search?term=CD74+autoimmune	HLA-II/CD74 state marker and crowded CD74/MIF biology | Wave34 genetics/druggability: NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY; no_target_resolved_coloc_or_mr | Wave38 CRISPR rescue: NO_GO_CRISPR_RESCUE; screen_direction_unresolved;insufficient_directional_cross_disease_state_support;no_ms_directional_anchor;no_chembl_target;no_chembl_activity;screen_wilcoxon_fdr_not_significant	https://patents.google.com/?q=CD74+autoimmune+antibody+inhibitor+agonist	NO_GO_SURFACEOME_RESCUE	prior_demoted_or_class_blocked; directional_negative_disease_signal; prior_art_or_trial_saturation; reachable protein class by UniProt location/features; ChEMBL exact target found; ChEMBL activity records: 25; Wave15 residual state support in 8 diseases	8.0
