pathway	perturbation	cell_type	gene	log2fc	p	fdr
IFNB	IFNAR1	A549	STAT1	-0.399883275857936	1.9947813074227502e-52	2.2401394082357485e-49
IFNB	IFNAR1	A549	B2M	-0.477334397234742	1.39008821164272e-10	5.938849691154034e-09
IFNB	IFNAR1	A549	TAP2	-0.36470187083471	3.6751883659518e-11	1.7509488330149757e-09
IFNB	IFNAR1	A549	NLRC5	-0.630063940602992	1.2356640412592501e-20	1.832746231762069e-18
IFNB	IFNAR1	A549	GBP1	-0.565719012277925	5.118988835731871e-09	1.6357874486865136e-07
IFNB	IFNAR1	A549	IRF1	-0.508237541986694	9.33555659614111e-12	4.84093996305105e-10
IFNB	IFNAR1	A549	LAMP3	-1.00986386429495	3.5844208027553e-11	1.718117800637769e-09
IFNB	IFNAR1	A549	TAP1	-0.598427047109635	4.39172745102339e-10	1.692322033945827e-08
IFNB	IFNAR1	A549	CTSS	-0.831144984712778	3.46712897999872e-17	3.683121744833776e-15
IFNB	IFNAR1	A549	CD44	0.340824264230522	1.0191548674988e-13	7.630072774674349e-12
IFNB	IFNAR1	A549	CTSD	-0.118848638955706	0.107926814500372	0.2530309241835444
IFNB	IFNAR1	A549	CTSL	-0.386481167505564	6.16006971142469e-06	9.068222472192788e-05
IFNB	IFNAR1	A549	CTSB	-0.0899192045062511	0.000132380035292	0.001241813195024358
IFNB	IFNAR1	A549	RFX5	0.149695112425751	0.32679090959303	0.5248014995527699
IFNB	IFNAR1	A549	LAMP1	-0.0293289040751161	0.838987591710482	0.9146139867474828
IFNB	IFNAR1	A549	LAMP2	-0.0212802517995054	0.456346155714527	0.6464488910032854
IFNB	IFNAR1	BXPC3	STAT1	-0.465793196057054	1.5701190866123698e-278	6.171353069929919e-275
IFNB	IFNAR1	BXPC3	B2M	-0.499385768713922	5.74229442850751e-72	1.2200047703377712e-69
IFNB	IFNAR1	BXPC3	TAP2	-0.362661239918208	2.05917670987129e-20	1.3377841418428274e-18
IFNB	IFNAR1	BXPC3	NLRC5	-0.626836709804293	3.79054321250626e-59	7.09463337940755e-57
IFNB	IFNAR1	BXPC3	GBP1	-0.57036399416	2.96889130609412e-49	4.403481991925637e-47
IFNB	IFNAR1	BXPC3	IRF1	-0.464184522758908	5.46365157058895e-15	2.651220061506157e-13
IFNB	IFNAR1	BXPC3	LAMP3	-0.771514792319155	1.55700433327102e-26	1.3908648936185784e-24
IFNB	IFNAR1	BXPC3	TAP1	-0.6411876926383	1.30304284007212e-23	1.01418017483237e-21
IFNB	IFNAR1	BXPC3	CTSS	-0.806030950769472	2.8186425634264204e-20	1.8161761632045155e-18
IFNB	IFNAR1	BXPC3	CD44	0.382257055681535	3.3552318081903203e-15	1.6693340027964626e-13
IFNB	IFNAR1	BXPC3	CTSD	-0.33030652701993	6.24444270326657e-08	1.2031265708426104e-06
IFNB	IFNAR1	BXPC3	CTSL	-0.220038866372024	0.0002895517448568	0.0022922117485592195
IFNB	IFNAR1	BXPC3	CTSB	-0.157740321338274	0.0001976400285036	0.001645813839053813
IFNB	IFNAR1	BXPC3	RFX5		0.378961635308306	0.5871470872638946
IFNB	IFNAR1	BXPC3	LAMP1	-0.0675337014390189	0.0968779682821669	0.2375413938447018
IFNB	IFNAR1	BXPC3	LAMP2	0.192669065545063	0.226578900274453	0.42713111152457434
IFNB	IFNAR1	HAP1	STAT1	-2.05611215526138	0.0	0.0
IFNB	IFNAR1	HAP1	B2M	-1.62872554793441	9.880728286050299e-104	4.315133614257856e-101
IFNB	IFNAR1	HAP1	TAP2	-0.953255839679025	2.0661689159709302e-25	2.537836538819919e-23
IFNB	IFNAR1	HAP1	NLRC5	-1.77255300024133	1.3584466110881801e-61	3.3371090030513073e-59
IFNB	IFNAR1	HAP1	GBP1		0.0002403022406794	0.0058123566584023486
IFNB	IFNAR1	HAP1	IRF1		3.16440380101005e-06	0.00014214501874137145
IFNB	IFNAR1	HAP1	LAMP3		2.4393373368783102e-09	1.5589943744065363e-07
IFNB	IFNAR1	HAP1	TAP1	-1.71814014237955	2.15398030189537e-26	2.731038573096694e-24
IFNB	IFNAR1	HAP1	CTSS		0.400569229196356	0.719494991305911
IFNB	IFNAR1	HAP1	CD44		0.52809283616935	0.7996511389946258
IFNB	IFNAR1	HAP1	CTSD		0.389235241103631	0.7105848189307113
IFNB	IFNAR1	HAP1	CTSL		0.421467364150105	0.7336256384267594
IFNB	IFNAR1	HAP1	CTSB	-0.225528743935719	0.69045919129725	0.8812670259125959
IFNB	IFNAR1	HAP1	RFX5		0.0380269484990236	0.22492839890957447
IFNB	IFNAR1	HAP1	LAMP1	-0.005968026759519	0.501969975436567	0.7840226459183097
IFNB	IFNAR1	HAP1	LAMP2	-0.195120381374547	0.0755696529589948	0.33298937326830613
IFNB	IFNAR1	HT29	STAT1	-1.24472975537122	0.0	0.0
IFNB	IFNAR1	HT29	B2M	-1.11213314331907	6.55545010002334e-79	1.3561156114811441e-76
IFNB	IFNAR1	HT29	TAP2	-1.09959543737544	8.40361245893933e-78	1.6938666035826172e-75
IFNB	IFNAR1	HT29	NLRC5	-1.60943027190547	3.97663295688196e-70	7.442931350964069e-68
IFNB	IFNAR1	HT29	GBP1	-1.24149011389899	6.91690413583098e-29	6.630949196556991e-27
IFNB	IFNAR1	HT29	IRF1	-0.830420104873725	1.71938352328337e-41	2.2908599790729785e-39
IFNB	IFNAR1	HT29	LAMP3	-1.40838184344691	2.78899376334394e-14	1.3533506156572046e-12
IFNB	IFNAR1	HT29	TAP1	-1.43507405321789	2.01861837229761e-29	1.9835448780789388e-27
IFNB	IFNAR1	HT29	CTSS		1.86708872022543e-09	5.966335134021181e-08
