pathway	perturbation	transition_suppression_score	n_modules_with_data	n_modules_suppressed	mean_cell_type_negative_fraction	total_sig_negative_gene_celltype	total_sig_positive_gene_celltype	gilt_lysosomal_apc_mean_log2fc	hla_ii_apc_mean_log2fc	ifn_apc_mean_log2fc	mif_cd74_receptor_state_mean_log2fc
IFNG	IFNGR1	2.4857773851641185	4	4	0.9583333333333334	75	4	-0.2660490451060047	-1.6048674956447038	-1.4917831002528577	-0.5340726119642376
IFNG	IFNGR2	2.3762225957724135	4	4	0.9375	75	4	-0.2347488732497372	-1.54640615835212	-1.4506621607640675	-0.5151258078118607
IFNG	JAK2	1.9497505248456886	4	4	0.9583333333333334	74	3	-0.237541685147043	-1.2506661986314591	-1.1486735888503004	-0.4486465428475825
IFNG	STAT1	1.8999421413281312	4	4	0.9375	72	4	-0.1806019229510205	-1.10728318762707	-1.2526083903684944	-0.2815758414691626
IFNG	JAK1	1.5908191761290909	4	4	0.9375	75	4	-0.2008165677081681	-1.213636521992566	-0.8774987577820106	-0.316583384705911
IFNB	TYK2	1.1131052072384235	4	2	0.45833333333333337	49	4	-0.3211525137953055	0.0445702602441309	-0.968586576030536	0.2453318945039896
IFNB	IFNAR1	1.0025460553220091	4	3	0.6833333333333333	52	2	-0.1753450138110887	-0.0237317624330505	-0.9120257369244986	0.1290032093637602
TNFA	TNFRSF1A	0.598661076876754	4	2	0.6333333333333334	24	6	0.0333473777998676	-0.864973721811842	-0.4674212732728252	-0.0387413978639385
IFNG	RFX5	0.5010993757509019	4	3	0.625	12	1	0.0316084522950787	-0.7056800000439202	-0.0498128556828418	-0.5727040200987046
IFNB	STAT1	0.4984076468538804	4	2	0.375	31	9	-0.0035999466992701	0.351761596154161	-0.5969227934940929	0.0641256887800326
TNFA	CHUK	0.45423134001519794	4	4	0.8166666666666667	17	0	-0.0546809979920247	-0.3768472668195129	-0.3383916231848449	-0.0658204453018501
IFNB	JAK1	0.3870414227095423	4	2	0.38333333333333336	35	14	-0.0296583810730072	0.185913469832017	-0.4537726900651681	0.13964600541501
TNFA	IKBKB	0.3307645136921392	4	3	0.7833333333333334	5	0	0.0090016229835736	-0.2307128465350446	-0.2938795442926697	-0.1905863142489815
IFNG	IRF1	0.2885739340118403	4	3	0.875	45	1	0.0161530655594346	-0.1087304831660803	-0.2018921523269299	-0.0612671193864635
TNFA	IRF1	0.25869841989666	4	3	0.6416666666666666	25	0	-0.018118199622856	-0.0632458306023762	-0.2453110963450609	0.0358505806452815
TNFA	MAP3K7	0.23058341187555514	4	4	0.8666666666666667	15	0	-0.0451708581374619	-0.140940454423014	-0.1683841938962402	-0.0644072853925426
IFNB	IRF1	0.1061518431802386	4	1	0.33333333333333337	23	4	0.033936725496253	0.1653260108903996	-0.1273822118162863	0.1929769380220816
TNFA	IKBKG	0.08010189928273453	3	1	0.3333333333333333	8	0	0.0081493942277441	0.1482387912490075	-0.1201528489241018	
TNFA	RELB	0.010227279200011865	4	1	0.43333333333333335	3	0	0.0217113009440923	0.043589059135292	-0.0131644510163225	-0.0455631711481327
IFNG	NFKB1	0.008869297614204826	4	1	0.3333333333333333	0	2	0.1835242760752384	-0.0197095502537885	0.1250215769385523	0.1405433333382262
TNFA	NFKB1	0.006071672348235912	4	1	0.35	6	8	0.068687023200841	-0.0412948851325754	0.0963056578264598	-0.0139535766540858
IFNB	SOCS1	0.0	4	0	0.04166666666666665	2	13	0.1545527970834758	0.2501900356380601	0.2180745369177814	0.1959641379354294
IFNB	NFKB1	0.0	4	0	0.0833333333333333	0	3	0.1216258273846438	0.290923081172435	0.1141863457734219	0.4683907521339113
IFNG	HLA-DQB1	0.0	4	0	0.18749999999999997	0	4	0.0787853427351147	0.1035438650552901	0.0692038570777262	0.1198331140646579
