pathway	perturbation	module	n_cell_types	mean_module_log2fc_across_cell_types	median_module_log2fc_across_cell_types	cell_type_negative_fraction	total_sig_negative_gene_celltype	total_sig_positive_gene_celltype	mean_genes_present	cell_types
IFNB	TYK2	gilt_lysosomal_apc	6	-0.32115251379530557	-0.3233070010446609	0.8333333333333334	11	1	4.5	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNB	IFNAR1	gilt_lysosomal_apc	6	-0.17534501381108877	-0.17698771498758556	0.8333333333333334	12	0	5.5	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNB	JAK1	gilt_lysosomal_apc	6	-0.02965838107300726	-0.015849161618291065	0.5	6	4	5.5	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNB	STAT1	gilt_lysosomal_apc	6	-0.0035999466992701207	-0.014312585162073812	0.5	6	2	4.5	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNB	IRF1	gilt_lysosomal_apc	6	0.03393672549625302	0.021906773175754488	0.5	3	2	5.5	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNB	NFKB1	gilt_lysosomal_apc	6	0.12162582738464388	0.12770803918619053	0.16666666666666666	0	0	5.666666666666667	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNB	SOCS1	gilt_lysosomal_apc	6	0.15455279708347583	0.18404191729688774	0.0	2	3	5.833333333333333	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNB	IFNAR1	hla_ii_apc	2	-0.0237317624330505	-0.0237317624330505	0.5	1	0	1.0	A549,MCF7
IFNB	TYK2	hla_ii_apc	1	0.0445702602441309	0.0445702602441309	0.0	0	1	1.0	MCF7
IFNB	IRF1	hla_ii_apc	3	0.16532601089039964	0.188655579540688	0.0	0	0	1.0	A549,HAP1,MCF7
IFNB	JAK1	hla_ii_apc	2	0.185913469832017	0.185913469832017	0.0	0	0	1.0	A549,MCF7
IFNB	SOCS1	hla_ii_apc	3	0.25019003563806014	0.236376841667512	0.0	0	0	1.0	A549,HAP1,MCF7
IFNB	NFKB1	hla_ii_apc	1	0.290923081172435	0.290923081172435	0.0	0	0	1.0	MCF7
IFNB	STAT1	hla_ii_apc	2	0.351761596154161	0.351761596154161	0.0	0	0	1.0	A549,MCF7
IFNB	TYK2	ifn_apc	6	-0.9685865760305359	-0.9341330748679202	1.0	38	0	6.333333333333333	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNB	IFNAR1	ifn_apc	6	-0.9120257369244986	-0.798366178658418	1.0	38	0	6.333333333333333	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNB	STAT1	ifn_apc	6	-0.5969227934940929	-0.5778150167997732	0.8333333333333334	25	4	6.333333333333333	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNB	JAK1	ifn_apc	6	-0.4537726900651681	-0.37354523369058734	0.8333333333333334	29	8	6.333333333333333	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNB	IRF1	ifn_apc	6	-0.12738221181628634	-0.14661310934746102	0.8333333333333334	20	1	6.333333333333333	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNB	NFKB1	ifn_apc	6	0.1141863457734219	0.13491155696841123	0.16666666666666666	0	2	6.333333333333333	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNB	SOCS1	ifn_apc	6	0.21807453691778145	0.17115601295085664	0.0	0	9	6.833333333333333	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNB	STAT1	mif_cd74_receptor_state	6	0.06412568878003264	0.164656266092124	0.16666666666666666	0	3	1.0	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNB	IFNAR1	mif_cd74_receptor_state	5	0.12900320936376022	0.154146863430056	0.4	1	2	1.0	A549,BXPC3,HT29,K562,MCF7
IFNB	JAK1	mif_cd74_receptor_state	5	0.13964600541501002	0.179968267320498	0.2	0	2	1.0	A549,BXPC3,HT29,K562,MCF7
IFNB	IRF1	mif_cd74_receptor_state	5	0.1929769380220816	0.180575572592238	0.0	0	1	1.0	A549,BXPC3,HT29,K562,MCF7
IFNB	SOCS1	mif_cd74_receptor_state	6	0.1959641379354294	0.1573940603025952	0.16666666666666666	0	1	1.0	A549,BXPC3,HAP1,HT29,K562,MCF7
IFNB	TYK2	mif_cd74_receptor_state	5	0.2453318945039896	0.183071846342528	0.0	0	2	1.0	A549,BXPC3,HT29,K562,MCF7
IFNB	NFKB1	mif_cd74_receptor_state	5	0.4683907521339113	0.119354190494883	0.0	0	1	1.0	A549,BXPC3,HT29,K562,MCF7
