probe	gene
ILMN_1651354	SPP1
ILMN_1659753	LAMP2
ILMN_1665132	CD36
ILMN_1666733	CXCL8
ILMN_1671509	CCL3
ILMN_1673282	LAMP2
ILMN_1674038	CTSD
ILMN_1674563	CCL4
ILMN_1684585	ACSL1
ILMN_1688231	TREM1
ILMN_1689655	HLA-DRA
ILMN_1690105	STAT1
ILMN_1691364	STAT1
ILMN_1694400	MSR1
ILMN_1696302	FABP5
ILMN_1696360	CTSB
ILMN_1701114	GBP1
ILMN_1701248	TREM2
ILMN_1708375	IRF1
ILMN_1714861	CD68
ILMN_1715169	HLA-DRB1
ILMN_1718063	LIPA
ILMN_1720048	CCL2
ILMN_1728106	TNF
ILMN_1736567	CD74
ILMN_1737918	C1QA
ILMN_1740938	APOE
ILMN_1741200	RFX5
ILMN_1743032	CTSS
ILMN_1743301	MSR1
ILMN_1749070	HLA-DPB1
ILMN_1752351	LAMP2
ILMN_1761464	CD74
ILMN_1770610	MERTK
ILMN_1772218	HLA-DPA1
ILMN_1773154	NFKBIA
ILMN_1773363	CIITA
ILMN_1775501	IL1B
ILMN_1777325	STAT1
ILMN_1778625	CD44
ILMN_1780546	OSM
ILMN_1782292	LAMP1
ILMN_1784863	CD36
ILMN_1785902	C1QC
ILMN_1786444	LPL
ILMN_1791759	CXCL10
ILMN_1796094	CD36
ILMN_1796409	C1QB
ILMN_1801077	PLIN2
ILMN_1801205	GPNMB
ILMN_1801584	CXCR4
ILMN_1803429	CD44
ILMN_1807277	IFI30
ILMN_1917290	LAMP2
ILMN_2138589	MERTK
ILMN_2138765	PLIN2
ILMN_2146761	FABP5
ILMN_2146766	FABP5
ILMN_2148785	GBP1
ILMN_2157441	HLA-DRA
ILMN_2170813	LAMP3
ILMN_2170814	LAMP3
ILMN_2184373	CXCL8
ILMN_2243687	LAMP2
ILMN_2246410	CXCR4
ILMN_2267914	CD68
ILMN_2279961	LAMP2
ILMN_2320888	CXCR4
ILMN_2348788	CD44
ILMN_2359742	CTSB
ILMN_2359907	CD68
ILMN_2363843	RFX5
ILMN_2373285	MSR1
ILMN_2374449	SPP1
ILMN_2379644	CD74
ILMN_2407389	GPNMB
