gene	source	query	count	top_hits	status	mode	url	raw_path
FAP	EuropePMC	FAP fibroblast activation protein autoimmune multiple sclerosis psoriasis IBD	100	41624867: Fibroblasts as a ruler of the immune microenvironment: measurement and modulation in tissue homeostasis and disease. (2025) | 40411492: Therapeutic potential of Janus kinase inhibitors for the management of fibrosis in inflammatory bowel disease. (2025) | 41583443: Immunological mechanisms underlying fibrotic diseases via single-cell technologies. (2025) | 41530536: Neutrophils as critical orchestrators of chronic inflammation. (2026) | 41758637: The impact of inflammation, neuromodulation, and gut microbiota on developing cardiac fibrosis and hypertension. (2026)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=FAP+fibroblast+activation+protein+autoimmune+multiple+sclerosis+psoriasis+IBD&format=json&pageSize=5&resultType=lite	results_v3/wave51_reachable_stromal_surface_audit/raw_api/europepmc_FAP_fibroblast_activation_protein_autoimmune_multiple_sclerosis_psoriasis_IBD.json
FAP	EuropePMC	FAPI imaging autoimmune disease inflammation	218	41859079: Expanding horizons: radiolabeled FAPI in imaging of autoimmune diseases. (2026) | 41969812: Dual-tracer PET/CT imaging with &lt;sup&gt;68&lt;/sup&gt;Ga-DOTATATE and Al&lt;sup&gt;18&lt;/sup&gt;F-NOTA-FAPI for dynamic evaluation of myocardial inflammation and fibrosis in antimitochondrial antibody-positive myositis. (2026) | 41781161: [&lt;sup&gt;18&lt;/sup&gt;F]FAPI PET/CT-based scoring systems for patient assessment in IgG4-related disease. (2026) | 41476968: Commentary: Targeting fibroblast activation protein in rheumatoid arthritis: from molecular imaging to precision therapeutics. (2025) | 41365508: FAPI PET in the Diagnosis and Management of Inflammatory Diseases: Clinical Value and Future Perspectives. (2026)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=FAPI+imaging+autoimmune+disease+inflammation&format=json&pageSize=5&resultType=lite	results_v3/wave51_reachable_stromal_surface_audit/raw_api/europepmc_FAPI_imaging_autoimmune_disease_inflammation.json
FAP	ClinicalTrials.gov	FAP autoimmune	5	NCT07393217: Correlation Between Circulating Fibroblast Activation Protein (FAP) and Fibrosis in Two Diseases (Rheumatoid Arthritis and Systemic Sclerosis) | NCT07385495: OJO-miR: microRNA Expression in Allergic Conjunctivitis. | NCT03735654: Multi-joint Muscle Fatigability and Gait Performance in People With Multiple Sclerosis | NCT05845151: Fibroblast Activating Protein Inhibitor PET Imaging in Lupus Nephritis | NCT04284735: Lysophosphatidic Acid / Autotaxin Axis in Rheumatoid Lung Disease	200	live	https://clinicaltrials.gov/api/v2/studies?query.term=FAP+autoimmune&pageSize=5	results_v3/wave51_reachable_stromal_surface_audit/raw_api/clinicaltrials.gov_FAP_autoimmune.json
FXYD5	EuropePMC	FXYD5 autoimmune inflammatory bowel psoriasis multiple sclerosis	0		200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=FXYD5+autoimmune+inflammatory+bowel+psoriasis+multiple+sclerosis&format=json&pageSize=5&resultType=lite	results_v3/wave51_reachable_stromal_surface_audit/raw_api/europepmc_FXYD5_autoimmune_inflammatory_bowel_psoriasis_multiple_sclerosis.json
FXYD5	EuropePMC	FXYD5 antibody inhibitor inflammation	101	41630949: The functions of FXYD family members in human health and disease. (2026) | PMC12910405: SIX2‐Mediated Microglial M2 Polarization and Exosomal miR‐3470b Delivery Protect Dopaminergic Neurons in Parkinson's Disease (2026) | 41541696: Ambient temperature exposure on inflammatory blood proteins-A longitudinal self-sampling survey in young Swedish adults. (2026) | 41953848: Pathophysiology of chronic subdural hematoma-new insights. (2026) | 39613801: The dysadherin/MMP9 axis modifies the extracellular matrix to accelerate colorectal cancer progression. (2024)	200	live	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=FXYD5+antibody+inhibitor+inflammation&format=json&pageSize=5&resultType=lite	results_v3/wave51_reachable_stromal_surface_audit/raw_api/europepmc_FXYD5_antibody_inhibitor_inflammation.json
FXYD5	ClinicalTrials.gov	FXYD5 autoimmune	0		200	live	https://clinicaltrials.gov/api/v2/studies?query.term=FXYD5+autoimmune&pageSize=5	results_v3/wave51_reachable_stromal_surface_audit/raw_api/clinicaltrials.gov_FXYD5_autoimmune.json
