comparator	module	n_paired_donors	donors	mean_active_minus_comparator	n_positive	n_negative	inferential_status
MS_periplaque_white_matter	receptor_cd44_cxcr4	2	09_034;12_078	1.640233388674419	2	0	descriptive_n_lt_3
MS_periplaque_white_matter	hla_regulatory	2	09_034;12_078	0.3786358509305331	1	1	descriptive_n_lt_3
MS_periplaque_white_matter	ifn_apc_unique	2	09_034;12_078	0.14686037382552558	1	1	descriptive_n_lt_3
MS_periplaque_white_matter	lysosomal_unique	2	09_034;12_078	-0.45091355144741463	0	2	descriptive_n_lt_3
MS_periplaque_white_matter	complement_phagocytosis	2	09_034;12_078	0.4873906909435284	1	1	descriptive_n_lt_3
MS_periplaque_white_matter	lipid_repair	2	09_034;12_078	1.04356200454893	2	0	descriptive_n_lt_3
MS_lesion_core	receptor_cd44_cxcr4	1	13_047	3.278774489217903	1	0	descriptive_n_lt_3
MS_lesion_core	hla_regulatory	1	13_047	0.21476097090819618	1	0	descriptive_n_lt_3
MS_lesion_core	ifn_apc_unique	1	13_047	-0.23072510186618334	0	1	descriptive_n_lt_3
MS_lesion_core	lysosomal_unique	1	13_047	1.9249400391986367	1	0	descriptive_n_lt_3
MS_lesion_core	complement_phagocytosis	1	13_047	1.7915753277860977	1	0	descriptive_n_lt_3
MS_lesion_core	lipid_repair	1	13_047	2.4797893692888113	1	0	descriptive_n_lt_3
