module	n_requested	n_present	n_variable	present_genes	absent_genes	dataset
receptor_cd44_cxcr4	2	2	2	CD44;CXCR4		GSE180759
hla_regulatory	2	2	2	CIITA;RFX5		GSE180759
ifn_apc_unique	4	4	4	STAT1;IRF1;CXCL10;GBP1		GSE180759
lysosomal_unique	6	6	5	CTSS;CTSB;LAMP1;LAMP2;LAMP3		GSE180759
complement_phagocytosis	8	8	8	C1QA;C1QB;C1QC;C3;ITGAM;ITGB2;TYROBP;AIF1		GSE180759
lipid_repair	8	8	8	APOE;LPL;TREM2;ABCA1;ABCG1;SPP1;LGALS3;GPNMB		GSE180759
receptor_cd44_cxcr4	2	2	2	CD44;CXCR4		GSE279972
hla_regulatory	2	2	2	CIITA;RFX5		GSE279972
ifn_apc_unique	4	4	4	STAT1;IRF1;CXCL10;GBP1		GSE279972
lysosomal_unique	6	6	6	CTSS;CTSB;CTSD;LAMP1;LAMP2;LAMP3		GSE279972
complement_phagocytosis	8	8	8	C1QA;C1QB;C1QC;C3;ITGAM;ITGB2;TYROBP;AIF1		GSE279972
lipid_repair	8	8	8	APOE;LPL;TREM2;ABCA1;ABCG1;SPP1;LGALS3;GPNMB		GSE279972
b_apc_composition	6	6	6	CD79A;MS4A1;CD74;HLA-DRA;HLA-DPA1;HLA-DPB1		GSE279972
