seed	module	n_wild_replicates	wild_p	max_t_fwer_p
54101	receptor_cd44_cxcr4	100000	0.9111008889911101	1.0
54101	hla_regulatory	100000	0.5399646003539964	0.989730102698973
54101	ifn_apc_unique	100000	0.46772532274677253	0.9569904300956991
54101	lysosomal_unique	100000	0.0045899541004589955	0.05012949870501295
54101	complement_phagocytosis	100000	0.9719602803971961	1.0
54101	lipid_repair	100000	0.024699753002469977	0.22171778282217178
54102	receptor_cd44_cxcr4	100000	0.9125208747912521	1.0
54102	hla_regulatory	100000	0.5429445705542945	0.9892701072989271
54102	ifn_apc_unique	100000	0.46599534004659954	0.956770432295677
54102	lysosomal_unique	100000	0.0045899541004589955	0.04937950620493795
54102	complement_phagocytosis	100000	0.972330276697233	1.0
54102	lipid_repair	100000	0.025249747502524976	0.22379776202237978
54103	receptor_cd44_cxcr4	100000	0.912470875291247	1.0
54103	hla_regulatory	100000	0.5402445975540244	0.989060109398906
54103	ifn_apc_unique	100000	0.46504534954650456	0.9570104298957011
54103	lysosomal_unique	100000	0.004389956100438995	0.05049949500504995
54103	complement_phagocytosis	100000	0.9714102858971411	1.0
54103	lipid_repair	100000	0.024879751202487976	0.22316776832231677
