seed	cluster_size	within_cluster_correlation	beta_shape	n_sequences	cluster_arrivals	maximum_p_ever_crossing	maximum_p_final_e_q90	bonferroni_ever_crossing	bonferroni_final_e_q90	bonferroni_minus_maximum_crossing
57151	2	0.25	1.0	50000	6	4e-05	0.3020721013111535	0.0054	0.8816230015507394	0.00536
57151	2	0.25	0.5	50000	6	0.02154	2.145898789554671	0.38856	575.7452342529178	0.36702
57151	2	0.25	0.25	50000	6	0.3987	878.091297289063	0.95022	34493930894.21372	0.55152
57151	2	0.5	1.0	50000	6	0.00012	0.3881043616674292	0.00398	0.7864479042516844	0.00386
57151	2	0.5	0.5	50000	6	0.04834	4.229959693266025	0.33976	315.1855056648687	0.29142
57151	2	0.5	0.25	50000	6	0.5136	7454.113210045004	0.92252	10024433182.193592	0.40892000000000006
57151	2	0.75	1.0	50000	6	0.00074	0.5423336387927499	0.00392	0.6288986119690303	0.0031799999999999997
57151	2	0.75	0.5	50000	6	0.10366	11.28908495313005	0.27768	134.0193738534886	0.17401999999999998
57151	2	0.75	0.25	50000	6	0.63792	132779.5257208971	0.87664	1297590966.6077962	0.23871999999999993
57151	3	0.25	1.0	50000	4	0.0	0.3087156372064134	0.0044	0.9923440217924059	0.0044
57151	3	0.25	0.5	50000	4	0.00164	0.869182317291635	0.31296	244.979704974689	0.31132000000000004
57151	3	0.25	0.25	50000	4	0.10048	13.082702957814798	0.9115	655556429.6520534	0.81102
57151	3	0.5	1.0	50000	4	0.0	0.39223044688788755	0.00348	0.8449762216902067	0.00348
57151	3	0.5	0.5	50000	4	0.00988	1.573786159282533	0.25894	130.05932457317593	0.24906
57151	3	0.5	0.25	50000	4	0.20752	73.47990964782919	0.85146	118947266.17013974	0.64394
57151	3	0.75	1.0	50000	4	0.00022	0.5502135658323616	0.00284	0.6748646123822629	0.00262
57151	3	0.75	0.5	50000	4	0.03766	3.7193959186503944	0.1907	48.63863703214019	0.15304
57151	3	0.75	0.25	50000	4	0.36118	985.050215941313	0.75968	15207385.732211085	0.3985
57151	4	0.25	1.0	50000	3	0.0	0.3438127516201217	0.00306	1.0849444090017244	0.00306
57151	4	0.25	0.5	50000	3	0.0002	0.6823416437487916	0.25932	132.74892107447704	0.25912
57151	4	0.25	0.25	50000	3	0.03088	3.519861404355302	0.87044	39643457.97866337	0.83956
57151	4	0.5	1.0	50000	3	0.0	0.4278997291119559	0.00264	0.9262761098520114	0.00264
57151	4	0.5	0.5	50000	3	0.00342	1.1194759694478333	0.20378	66.44744299035007	0.20035999999999998
57151	4	0.5	0.25	50000	3	0.09534	13.067617344939045	0.78222	8699525.848320654	0.68688
57151	4	0.75	1.0	50000	3	0.00016	0.5827729757699427	0.00198	0.7366181769832829	0.00182
57151	4	0.75	0.5	50000	3	0.01846	2.383365782109681	0.1428	27.207210925221414	0.12434
