disease	module	contrast	n_a	n_b	mean_a	mean_b	delta	hedges_g	welch_p
multiple sclerosis	hla_ii_only	3rd trimester - before pregnancy	28	13	-0.04012431798280447	0.19711234429332322	-0.2372366622761277	-0.25524400329789704	0.4173934219547913
multiple sclerosis	hla_ii_only	postpartum - 3rd trimester	26	28	-0.15611853113098048	-0.04012431798280447	-0.11599421314817601	-0.1347808980139276	0.6141086883175029
multiple sclerosis	hla_ii_only	postpartum - before pregnancy	26	13	-0.15611853113098048	0.19711234429332322	-0.3532308754243037	-0.4616166629678539	0.19703170249650978
multiple sclerosis	ifn_apc	3rd trimester - before pregnancy	28	13	0.0516989946495484	-0.030831308903807843	0.08253030355335625	0.11054038575480594	0.7472263368329753
multiple sclerosis	ifn_apc	postpartum - 3rd trimester	26	28	-0.05144949913040256	0.0516989946495484	-0.10314849377995096	-0.1276272410312533	0.6391311163301064
multiple sclerosis	ifn_apc	postpartum - before pregnancy	26	13	-0.05144949913040256	-0.030831308903807843	-0.020618190226594717	-0.02393510939607589	0.9406495154724408
multiple sclerosis	lysosomal_apc	3rd trimester - before pregnancy	28	13	0.018637561480401972	0.17879557965040943	-0.16015801817000747	-0.20503538474118935	0.49695508400793986
multiple sclerosis	lysosomal_apc	postpartum - 3rd trimester	26	28	-0.14204129890193282	0.018637561480401972	-0.16067886038233478	-0.209293194855586	0.4359436429296104
multiple sclerosis	lysosomal_apc	postpartum - before pregnancy	26	13	-0.14204129890193282	0.17879557965040943	-0.3208368785523422	-0.47335159589577824	0.15532258754275108
multiple sclerosis	mif_cd74_receptor_state	3rd trimester - before pregnancy	28	13	-0.03109040013903572	0.07071734404680738	-0.1018077441858431	-0.15327801999010318	0.6126888910327701
multiple sclerosis	mif_cd74_receptor_state	postpartum - 3rd trimester	26	28	-0.11485161065405608	-0.03109040013903572	-0.08376121051502036	-0.13578698209258053	0.6108469491965408
multiple sclerosis	mif_cd74_receptor_state	postpartum - before pregnancy	26	13	-0.11485161065405608	0.07071734404680738	-0.18556895470086346	-0.3562346432746521	0.30903223409525865
multiple sclerosis	monocyte_cd64	3rd trimester - before pregnancy	28	13	0.07546731916977246	-0.010450018136103955	0.08591733730587642	0.14711573062102914	0.6049018601346262
multiple sclerosis	monocyte_cd64	postpartum - 3rd trimester	26	28	-0.1063457312592375	0.07546731916977246	-0.18181305042900997	-0.29387643719536105	0.27719301225642345
multiple sclerosis	monocyte_cd64	postpartum - before pregnancy	26	13	-0.1063457312592375	-0.010450018136103955	-0.09589571312313355	-0.17607846613356512	0.5555693788517113
multiple sclerosis	regulatory_pregnancy	3rd trimester - before pregnancy	28	13	-0.09242026633539975	0.0023943446136035123	-0.09481461094900326	-0.1987295235687202	0.5573204527731118
multiple sclerosis	regulatory_pregnancy	postpartum - 3rd trimester	26	28	0.020150022309645466	-0.09242026633539975	0.11257028864504522	0.24120816092720027	0.3727768453666867
multiple sclerosis	regulatory_pregnancy	postpartum - before pregnancy	26	13	0.020150022309645466	0.0023943446136035123	0.017755677696041954	0.03744027071160894	0.9128295928213922
multiple sclerosis	trafficking_th	3rd trimester - before pregnancy	28	13	-0.09097610970219025	0.10220946369224909	-0.19318557339443934	-0.3433987567286821	0.2993709764974957
multiple sclerosis	trafficking_th	postpartum - 3rd trimester	26	28	0.21104958919761854	-0.09097610970219025	0.3020256988998088	0.5685553671142366	0.03795138383060487
multiple sclerosis	trafficking_th	postpartum - before pregnancy	26	13	0.21104958919761854	0.10220946369224909	0.10884012550536945	0.21312804835393542	0.5428042961948636
normal	hla_ii_only	postpartum - 3rd trimester	20	20	0.22085335746851492	-0.17707956439055697	0.3979329218590719	0.4594498482234861	0.14650078016778414
normal	ifn_apc	postpartum - 3rd trimester	20	20	0.0524919130734655	0.09781882310867061	-0.045326910035205115	-0.06997516845025877	0.8226782726330664
normal	lysosomal_apc	postpartum - 3rd trimester	20	20	0.1253262952756748	-0.01866986314567856	0.14399615842135335	0.24896175397794845	0.4268486804591536
normal	mif_cd74_receptor_state	postpartum - 3rd trimester	20	20	0.1752814625088402	-0.004677992839124326	0.1799594553479645	0.323512132162242	0.3033633749624271
normal	monocyte_cd64	postpartum - 3rd trimester	20	20	0.014267359509433317	0.2011440053787891	-0.1868766458693558	-0.288645468421273	0.3579316388256148
normal	regulatory_pregnancy	postpartum - 3rd trimester	20	20	0.07753259711186455	0.12722785520278085	-0.049695258090916294	-0.10835999944956265	0.7286304266778052
normal	trafficking_th	postpartum - 3rd trimester	20	20	-0.09293833470545539	-0.05327667947002429	-0.039661655235431095	-0.08945190259684652	0.7745563849970061
