disease	timepoint	cell_type_short	stimulus	module	n	mean	sd
multiple sclerosis	before pregnancy	CD4-positive	resting	hla_ii_only	5	0.6892725154098793	0.7004408086138358
multiple sclerosis	before pregnancy	CD4-positive	resting	ifn_apc	5	-0.33471668017649137	0.453774090682878
multiple sclerosis	before pregnancy	CD4-positive	resting	lysosomal_apc	5	0.30498159093322297	0.6090310138455338
multiple sclerosis	before pregnancy	CD4-positive	resting	mif_cd74_receptor_state	5	0.38589069556453576	0.4289682358322246
multiple sclerosis	before pregnancy	CD4-positive	resting	monocyte_cd64	5	-0.01617176113230301	0.4418453586469687
multiple sclerosis	before pregnancy	CD4-positive	resting	regulatory_pregnancy	5	0.27943842861785717	0.3727603203539688
multiple sclerosis	before pregnancy	CD4-positive	resting	trafficking_th	5	0.4413905180190413	0.5799207159424082
multiple sclerosis	before pregnancy	CD8-positive	resting	hla_ii_only	3	-0.36046537899426284	0.7961356688277608
multiple sclerosis	before pregnancy	CD8-positive	resting	ifn_apc	3	-0.7304984352000332	0.6332519422703531
multiple sclerosis	before pregnancy	CD8-positive	resting	lysosomal_apc	3	-0.1906790497017106	0.2955491957743079
multiple sclerosis	before pregnancy	CD8-positive	resting	mif_cd74_receptor_state	3	-0.3392710240700921	0.7205090259655368
multiple sclerosis	before pregnancy	CD8-positive	resting	monocyte_cd64	3	-0.3587724930386627	0.15458989795373954
multiple sclerosis	before pregnancy	CD8-positive	resting	regulatory_pregnancy	3	-0.6098074629561926	0.39101125387665053
multiple sclerosis	before pregnancy	CD8-positive	resting	trafficking_th	3	0.2154251337652567	0.13499380741723474
multiple sclerosis	before pregnancy	activated CD4-positive	activated	hla_ii_only	3	0.4914756325167145	0.5252034644011174
multiple sclerosis	before pregnancy	activated CD4-positive	activated	ifn_apc	3	1.026245269580208	0.24856784582661065
multiple sclerosis	before pregnancy	activated CD4-positive	activated	lysosomal_apc	3	0.7030699380028144	0.7271694847608787
multiple sclerosis	before pregnancy	activated CD4-positive	activated	mif_cd74_receptor_state	3	0.13829152767060307	0.48099135643921215
multiple sclerosis	before pregnancy	activated CD4-positive	activated	monocyte_cd64	3	0.3126473060070912	0.4812225277755957
multiple sclerosis	before pregnancy	activated CD4-positive	activated	regulatory_pregnancy	3	-0.061208672155010115	0.23874618381035298
multiple sclerosis	before pregnancy	activated CD4-positive	activated	trafficking_th	3	-0.21945079082894525	0.38224457832371467
multiple sclerosis	before pregnancy	activated CD8-positive	activated	hla_ii_only	2	-0.6384664309017745	0.556617218483388
multiple sclerosis	before pregnancy	activated CD8-positive	activated	ifn_apc	2	0.19276794099621525	0.016357853170943848
multiple sclerosis	before pregnancy	activated CD8-positive	activated	lysosomal_apc	2	-0.368869042057052	0.2911324898846509
multiple sclerosis	before pregnancy	activated CD8-positive	activated	mif_cd74_receptor_state	2	-0.20359475800785795	0.281767299603948
multiple sclerosis	before pregnancy	activated CD8-positive	activated	monocyte_cd64	2	0.041692065493439005	0.14705061405161385
multiple sclerosis	before pregnancy	activated CD8-positive	activated	regulatory_pregnancy	2	0.323491371110584	0.24336663225695135
multiple sclerosis	before pregnancy	activated CD8-positive	activated	trafficking_th	2	-0.4330762954524512	0.5174602742189848
multiple sclerosis	1st trimester	CD4-positive	resting	hla_ii_only	8	0.4403353899340753	0.7018528678099285
multiple sclerosis	1st trimester	CD4-positive	resting	ifn_apc	8	-0.2864256360146018	0.41204273417801
multiple sclerosis	1st trimester	CD4-positive	resting	lysosomal_apc	8	0.28935065930428666	0.5436259607258963
multiple sclerosis	1st trimester	CD4-positive	resting	mif_cd74_receptor_state	8	0.29922349620587146	0.3987524020509661
multiple sclerosis	1st trimester	CD4-positive	resting	monocyte_cd64	8	0.043343147956107914	0.5101174506758548
multiple sclerosis	1st trimester	CD4-positive	resting	regulatory_pregnancy	8	0.24645253137860357	0.245627022142383
multiple sclerosis	1st trimester	CD4-positive	resting	trafficking_th	8	0.23519537240924757	0.31253481480357426
multiple sclerosis	1st trimester	CD8-positive	resting	hla_ii_only	9	-0.18749159671085444	0.9767856939064664
multiple sclerosis	1st trimester	CD8-positive	resting	ifn_apc	9	-0.5315261303737286	0.6492041383285952
multiple sclerosis	1st trimester	CD8-positive	resting	lysosomal_apc	9	-0.3732754154546814	1.3346164827622846
multiple sclerosis	1st trimester	CD8-positive	resting	mif_cd74_receptor_state	9	-0.3307404528667888	0.5157412241177841
multiple sclerosis	1st trimester	CD8-positive	resting	monocyte_cd64	9	-0.4368586742272976	0.4582378099831443
multiple sclerosis	1st trimester	CD8-positive	resting	regulatory_pregnancy	9	-0.48497512852935426	0.4136731677396188
multiple sclerosis	1st trimester	CD8-positive	resting	trafficking_th	9	-0.030837850768831124	0.3534623897258346
multiple sclerosis	1st trimester	activated CD4-positive	activated	hla_ii_only	7	0.43049815092000937	0.7471195876495154
multiple sclerosis	1st trimester	activated CD4-positive	activated	ifn_apc	7	1.1242488546011418	0.6188490415927126
multiple sclerosis	1st trimester	activated CD4-positive	activated	lysosomal_apc	7	0.24205694208782497	0.6394122272022538
multiple sclerosis	1st trimester	activated CD4-positive	activated	mif_cd74_receptor_state	7	0.07256411815679345	0.3446474341750103
multiple sclerosis	1st trimester	activated CD4-positive	activated	monocyte_cd64	7	0.46708985919382123	0.7338502599323805
multiple sclerosis	1st trimester	activated CD4-positive	activated	regulatory_pregnancy	7	0.20193559171532496	0.2700614971359258
multiple sclerosis	1st trimester	activated CD4-positive	activated	trafficking_th	7	-0.12569577598305026	0.9198781143667797
multiple sclerosis	1st trimester	activated CD8-positive	activated	hla_ii_only	3	-0.6733016543654742	0.8159386655898639
multiple sclerosis	1st trimester	activated CD8-positive	activated	ifn_apc	3	0.11994811366986878	0.12091813928252382
multiple sclerosis	1st trimester	activated CD8-positive	activated	lysosomal_apc	3	-0.513313573782555	0.45281459416018915
multiple sclerosis	1st trimester	activated CD8-positive	activated	mif_cd74_receptor_state	3	-0.24031517057564242	0.22699560336522143
multiple sclerosis	1st trimester	activated CD8-positive	activated	monocyte_cd64	3	-0.3885444298079648	0.26802223687431215
multiple sclerosis	1st trimester	activated CD8-positive	activated	regulatory_pregnancy	3	0.17019798806445144	0.032373813582578174
multiple sclerosis	1st trimester	activated CD8-positive	activated	trafficking_th	3	0.07171502095887262	0.1546791085562196
multiple sclerosis	2nd trimester	CD4-positive	resting	hla_ii_only	7	0.08261722010679771	0.5580569075453651
multiple sclerosis	2nd trimester	CD4-positive	resting	ifn_apc	7	-0.30477372706363864	0.3569265627064644
multiple sclerosis	2nd trimester	CD4-positive	resting	lysosomal_apc	7	0.13289892690929767	0.3731695999864157
multiple sclerosis	2nd trimester	CD4-positive	resting	mif_cd74_receptor_state	7	0.1899272194257558	0.3369802565069547
multiple sclerosis	2nd trimester	CD4-positive	resting	monocyte_cd64	7	0.10810104602059732	0.5243182323201976
multiple sclerosis	2nd trimester	CD4-positive	resting	regulatory_pregnancy	7	0.2923379046056408	0.24108017369825266
multiple sclerosis	2nd trimester	CD4-positive	resting	trafficking_th	7	0.2564176530370779	0.22724057624741406
multiple sclerosis	2nd trimester	CD8-positive	resting	hla_ii_only	9	-0.19440549751674815	0.7744015877861505
multiple sclerosis	2nd trimester	CD8-positive	resting	ifn_apc	9	-0.431502305197107	0.5342399209833796
multiple sclerosis	2nd trimester	CD8-positive	resting	lysosomal_apc	9	-0.20405072229627047	0.5915555775223853
multiple sclerosis	2nd trimester	CD8-positive	resting	mif_cd74_receptor_state	9	-0.28155030430562417	0.4032726063465334
multiple sclerosis	2nd trimester	CD8-positive	resting	monocyte_cd64	9	-0.26342721353436793	0.44870491555025493
multiple sclerosis	2nd trimester	CD8-positive	resting	regulatory_pregnancy	9	-0.42772648626062	0.2031793446025632
multiple sclerosis	2nd trimester	CD8-positive	resting	trafficking_th	9	-0.09234139141088218	0.2927721989940552
multiple sclerosis	2nd trimester	activated CD4-positive	activated	hla_ii_only	5	-0.27073670437227276	0.5117589526012726
multiple sclerosis	2nd trimester	activated CD4-positive	activated	ifn_apc	5	0.7638244902831944	0.2266169116432979
multiple sclerosis	2nd trimester	activated CD4-positive	activated	lysosomal_apc	5	-0.06549999266014957	0.4350611686460505
multiple sclerosis	2nd trimester	activated CD4-positive	activated	mif_cd74_receptor_state	5	-0.21463624357167035	0.2098732935086656
multiple sclerosis	2nd trimester	activated CD4-positive	activated	monocyte_cd64	5	0.2627060129876672	0.3420846712528373
multiple sclerosis	2nd trimester	activated CD4-positive	activated	regulatory_pregnancy	5	0.07768820601085316	0.38581463453035836
multiple sclerosis	2nd trimester	activated CD4-positive	activated	trafficking_th	5	0.08001571989411098	0.2607938482193779
multiple sclerosis	2nd trimester	activated CD8-positive	activated	hla_ii_only	2	-1.2007963551986927	0.607671689197885
multiple sclerosis	2nd trimester	activated CD8-positive	activated	ifn_apc	2	-0.09245156162435536	0.25997150731448604
multiple sclerosis	2nd trimester	activated CD8-positive	activated	lysosomal_apc	2	-0.7516899548048839	1.0787214910981837
