module	n_genes	present	missing
ifn_apc	7	STAT1,IRF1,CXCL10,GBP1,ISG15,CD74,HLA-DRA	
mif_cd74_receptor_state	6	MIF,CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1	
hla_ii_only	7	CD74,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1	
lysosomal_apc	8	CTSS,CTSB,LAMP1,LAMP2,IFI30,TYROBP	APOE,TREM2
monocyte_cd64	8	FCGR1A,JAK2,STAT1,CXCL2,CD38	FCGR1B,IL8,PTX3
trafficking_th	5	CXCR3,CCR6,ITGA4,SELL,S1PR1	
regulatory_pregnancy	6	FOXP3,TGFB1,IL2RA,CTLA4,IKZF2	IL10
