gene	modules	n_primary_contexts	n_primary_overlap_groups	nonresponse_high_contexts	responder_high_contexts	nominal_nonresponse_contexts_p_lt_0_05	fdr10_nonresponse_contexts	weighted_mean_hedges_g_responder_minus_non	median_auc_high_score_nonresponse	min_p	best_context	best_context_p	best_context_effect	meta_rank_score	call	system	n_patients	n_responders	n_nonresponders	covariates	effect_responder_minus_non	hedges_g_responder_minus_non	auc_high_score_response	auc_high_score_nonresponse	p	nonresponse_high_direction	fdr_ra	gse282122_cell_states_tested	gse282122_min_raw_p	gse282122_min_raw_fdr	gse282122_best_cell_state	gse282122_best_raw_p	gse282122_best_raw_fdr	gse282122_best_raw_delta_remission_minus_non	ra_replication_call	cross_system_call
CD44	mif_cd74_receptor_state	4	4	4	0	3	3	-1.3047727761355623	0.7994791666666667	0.000517497213761	GSE16879_Crohn_colitis_Leuven_baseline	0.000517497213761	-1.6218720608535788	24.10425194280223	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	0.7554774253834361	1.0944632564181695	0.7834821428571429	0.2165178571428571	0.0017362914664571676	False	0.02613595888114986	2	0.0706601517954887	1.0	DC	0.0706601517954887	1.0	-0.3887213685516343	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
LAMP2	lysosomal_apc	4	4	3	1	3	3	-1.0678931204417523	0.8350074404761905	0.0002690595842235	GSE12251_UC_ACT1_baseline	0.0002690595842235	-1.4048683498865857	18.902900560917946	PARK_DIRECTIONAL_NONRESPONSE_GENE	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	0.7758963799341309	1.0454817579416398	0.7723214285714286	0.2276785714285714	0.004363215930667114	False	0.0263830925992527	2	0.1138888909145505	1.0	DC	0.1138888909145505	1.0	-0.4031798667723646	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
NFKBIA	inflammatory_nfkb	4	4	4	0	1	1	-0.6614932551524805	0.66875	0.0079130200120331	GSE12251_UC_ACT1_baseline	0.0079130200120331	-1.1419381442433003	16.330243255152478	PARK_DIRECTIONAL_NONRESPONSE_GENE	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	0.7345529800597882	1.0611362114001073	0.7633928571428571	0.2366071428571429	0.004796925927136855	False	0.0263830925992527	2	0.3299123364229473	1.0	DC	0.3299123364229473	1.0	-0.2529713466168071	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
STAT1	ifn_apc	4	4	4	0	2	1	-0.6551686375677531	0.64453125	0.0348639091691701	GSE14580_UC_Leuven_baseline	0.0348639091691701	-0.9198802796023724	18.299699887567755	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	0.5443056500454782	0.7345488854784136	0.7098214285714286	0.2901785714285714	0.01124571028241394	False	0.04174579279724211	2	0.0085258434246952	0.7116587995678715	Mono_macro	0.0085258434246952	0.7116587995678715	-1.532275862776634	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
CCL2	inflammatory_nfkb	4	4	4	0	3	2	-1.4102593044201093	0.825	0.0001606271969653	GSE16879_Crohn_colitis_Leuven_baseline	0.0001606271969653	-1.6562136579545157	22.735259304420108	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	0.8437063008322958	0.9691896011669343	0.7276785714285714	0.2723214285714286	0.011385216217429666	False	0.04174579279724211	2	0.6764265896798521	1.0	Mono_macro	0.6764265896798521	1.0	-0.3765663302624795	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
TREM1	inflammatory_nfkb	4	4	4	0	3	3	-1.6287105832711166	0.8826264880952381	3.486426152596833e-05	GSE12251_UC_ACT1_baseline	3.486426152596833e-05	-1.541134024247048	24.511337071366352	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	0.4831979474209772	0.7035904905500889	0.6696428571428571	0.3303571428571429	0.037125265117003904	False	0.09946644601311011	2	0.0179751719061446	0.7761417814158196	Mono_macro	0.0179751719061446	0.7761417814158196	-0.9046037899715124	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
CTSB	lysosomal_apc	4	4	4	0	1	1	-0.7231919653792506	0.6583333333333333	0.008665911503524	GSE16879_Crohn_colitis_Leuven_baseline	0.008665911503524	-1.2363795666700663	16.381525298712585	PARK_DIRECTIONAL_NONRESPONSE_GENE	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	0.5670242535562842	0.7488564307109002	0.6852678571428571	0.3147321428571429	0.039104697833099104	False	0.09946644601311011	2	0.0102044497783238	0.7417124806231342	DC	0.0102044497783238	1.0	-0.8140858868199328	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
CTSS	lysosomal_apc	4	4	3	1	1	1	-0.3122179821290525	0.5363095238095239	0.0070185963236003	GSE12251_UC_ACT1_baseline	0.0070185963236003	-1.0877524921276471	10.848527505938575	PARK_DIRECTIONAL_NONRESPONSE_GENE	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	0.4552035096590174	0.6768794428854569	0.6897321428571429	0.3102678571428571	0.05607094655353401	False	0.1233560824177748	2	0.0002883660558297	0.4604516784712918	Mono_macro	0.0002883660558297	0.4604516784712918	-0.6599339412520674	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
CXCR4	mif_cd74_receptor_state	4	4	4	0	2	1	-0.7992404720915058	0.7138020833333334	0.0133992745174144	GSE16879_Crohn_colitis_Leuven_baseline	0.0133992745174144	-1.176728350563892	18.51304255542484	GENE_LEVEL_ANTITNF_NONRESPONSE_ANCHOR	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	0.4563400776925882	0.5513507377973503	0.6450892857142857	0.3549107142857143	0.06311946246643496	False	0.12623892493286992	2	0.7153027061089988	1.0	DC	0.7153027061089988	1.0	-0.1105116815110601	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
HLA-DRB1	hla_ii_apc;ifn_apc;mif_cd74_receptor_state	4	4	4	0	1	1	-0.5088992011453852	0.6981770833333334	0.0431810492970931	GSE12251_UC_ACT1_baseline	0.0431810492970931	-0.7991823992753071	16.20707628447872	PARK_DIRECTIONAL_NONRESPONSE_GENE	RA_synovium_GSE198520_baseline	46.0	32.0	14.0	pathotype;biologic;inflammatory_score;das28_score	0.5161875856367066	0.5470463843151552	0.6450892857142857	0.3549107142857143	0.09625157439936581	False	0.17646121973217066	2	0.0015446155305801	0.5873562852590756	Mono_macro	0.0015446155305801	0.5873562852590756	0.6246527133101525	NO_RA_BASELINE_REPLICATION	IBD_RESTRICTED_OR_UNRESOLVED_ANTITNF_RESISTANCE_GENE
