assumed_standardized_effect	target_power	two_sided_alpha	exact_n_per_group	rounded_n_per_group	inflation_for_covariates_attrition	recommended_recruited_n_per_group	recommended_total_n
0.5	0.8	0.05	63.765610588911635	64	1.2	77	154
0.5	0.9	0.05	85.03128411573417	86	1.2	104	208
0.8	0.8	0.05	25.524571854446116	26	1.2	32	64
0.8	0.9	0.05	33.82554234416029	34	1.2	41	82
1.0	0.8	0.05	16.714722446954013	17	1.2	21	42
1.0	0.9	0.05	22.021088441446174	23	1.2	28	56
