check	command	returncode	duration_seconds	pass	stdout_tail	stderr_tail
python_compile	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python -m py_compile scripts/v54_cns_peripheral_identifiability.py scripts/v54_event_time_assumption_reference_check.py scripts/v54_event_time_score_reference_check.py scripts/v54_foamy_donor_estimand_audit.py scripts/v54_foamy_lesion_heterogeneity.py scripts/v54_foamy_state_lesion_stratum_transport.py scripts/v54_lysosomal_morphology_specificity.py scripts/v54_multilineage_progression_review_grounding.py scripts/v54_multilineage_progression_review_ingest.py scripts/v54_oxphos_lysosomal_coupling.py scripts/v54_p2_interaction_reference_check.py scripts/v54_post_result_morphology_multiplicity.py scripts/v54_progression_candidate_role_matrix.py scripts/v54_progression_combined_intake_gate.py scripts/v54_progression_competing_risk_robustness.py scripts/v54_progression_data_inventory.py scripts/v54_progression_endpoint_adjudication.py scripts/v54_progression_event_power_design.py scripts/v54_progression_event_time_assumption_gate.py scripts/v54_progression_event_time_assumption_robustness.py scripts/v54_progression_event_time_power_design.py scripts/v54_progression_evidence_delta.py scripts/v54_progression_intervention_direction_map.py scripts/v54_progression_lesion_module_panel.py scripts/v54_progression_lesion_state.py scripts/v54_progression_outcome_semantic_checker.py scripts/v54_progression_p2_composition_gate.py scripts/v54_progression_p2_interaction_power.py scripts/v54_progression_package_eligibility_validator.py scripts/v54_progression_power_calibration_audit.py scripts/v54_progression_power_label_noise_sensitivity.py scripts/v54_progression_regression_suite.py scripts/v54_progression_visit_schedule_robustness.py scripts/v54_progressive_stage_modules.py scripts/v54_progressive_stage_source_interaction.py scripts/v54_transition_identifiability_audit.py scripts/v54_visit_schedule_breslow_reference_check.py	0	0.169	True	-	-
package_inventory_regression	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python scripts/v54_progression_package_eligibility_validator.py	0	0.399	True	"{   ""purpose"": ""Synthetic regression of V54 progression-package inventory gate"",   ""synthetic"": true,   ""n_role_fixtures"": 6,   ""n_malformed_fixtures"": 8,   ""n_fixtures"": 14,   ""n_expected_pass"": 3,   ""n_expected_fail"": 3,   ""n_regression_pass"": 14,   ""overall_status"": ""PASS"",   ""boundary"": ""Method-behavior test only; fixtures contain no biological data."" }"	-
endpoint_semantic_regression	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python scripts/v54_progression_outcome_semantic_checker.py	0	0.403	True	"{   ""purpose"": ""Synthetic regression of V54 progression endpoint semantic gate"",   ""synthetic"": true,   ""n_fixtures"": 12,   ""n_expected_pass"": 3,   ""n_expected_fail"": 9,   ""n_regression_pass"": 12,   ""overall_status"": ""PASS"",   ""boundary"": ""Method-behavior test only; fixtures contain no biological data."" }"	-
combined_intake_regression	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python scripts/v54_progression_combined_intake_gate.py	0	0.579	True	"{   ""purpose"": ""Synthetic regression of combined V54 progression intake gate"",   ""synthetic"": true,   ""n_fixtures"": 9,   ""n_expected_pass"": 3,   ""n_expected_fail"": 6,   ""n_regression_pass"": 9,   ""overall_status"": ""PASS"",   ""boundary"": ""Synthetic method-behavior test only; no biological data or claim."" }"	-
endpoint_adjudication_regression	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python scripts/v54_progression_endpoint_adjudication.py	0	0.692	True	"{   ""purpose"": ""Synthetic regression of V54 CDP/PIRA adjudication edge cases"",   ""synthetic"": true,   ""n_fixtures"": 11,   ""n_pass"": 11,   ""overall_status"": ""PASS"",   ""boundary"": ""Synthetic endpoint-processing behavior only; not patient data or biological evidence."" }"	-
event_time_receipt_regression	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python scripts/v54_progression_event_time_assumption_gate.py	0	0.327	True	"{   ""purpose"": ""Synthetic regression for the V54 event-time assumption metadata gate"",   ""synthetic"": true,   ""n_fixtures"": 8,   ""n_pass"": 8,   ""overall_status"": ""PASS"",   ""boundary"": ""Synthetic gate behavior only; no patient data or biological evidence."" }"	-
p2_composition_regression	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python scripts/v54_progression_p2_composition_gate.py	0	0.457	True	"{   ""purpose"": ""Synthetic regression for V54 P2 composition measurement eligibility"",   ""synthetic"": true,   ""n_fixtures"": 9,   ""n_pass"": 9,   ""overall_status"": ""PASS"",   ""boundary"": ""Synthetic gate behavior only; no patient data or biological evidence."" }"	-
candidate_role_matrix	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python scripts/v54_progression_candidate_role_matrix.py	0	0.296	True	"{   ""purpose"": ""V54 metadata-only progression candidate role matrix; no score access or biological claim"",   ""n_candidates"": 10,   ""P1_eligible"": 0,   ""P2_eligible"": 0,   ""P3_eligible"": 0,   ""n_source_artifacts_verified_present"": 5,   ""verdict"": ""NO_KNOWN_CANDIDATE_CURRENTLY_ELIGIBLE_FOR_P1_P2_OR_P3"",   ""boundary"": ""Metadata and semantic eligibility only. No expression values, quarantined packages, or molecular scores were read."" }"	-
cox_reference	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python scripts/v54_event_time_score_reference_check.py	0	0.759	True	"{   ""purpose"": ""Independent implementation check of V54 Cox score test"",   ""synthetic"": true,   ""reference"": ""statsmodels.duration.hazard_regression.PHReg score and Hessian at beta=0"",   ""n_fixtures"": 4,   ""n_pass"": 4,   ""maximum_absolute_difference"": 2.6645352591003757e-15,   ""overall_status"": ""PASS"",   ""boundary"": ""Synthetic numerical method check only; no biological evidence."" }"	-
event_assumption_reference	/Users/soeren.leibach/Projects/ms-auto-research/.venv/bin/python scripts/v54_event_time_assumption_reference_check.py	0	0.78	True	"{   ""purpose"": ""Independent numerical checks for the V54 event-time assumption audit"",   ""synthetic"": true,   ""references"": [     ""scalar piecewise inversion"",     ""direct probability equations"",     ""statsmodels.PHReg""   ],   ""n_checks"": 4,   ""n_pass"": 4,   ""maximum_absolute_difference"": 2.942091015256665e-15,   ""overall_status"": ""PASS"",   ""boundary"": ""Synthetic numerical method checks only; no biological evidence."" }"	-
