analysis	status	n_rows
ibd_crohn_myeloid	completed	1068
ibd_uc_myeloid	completed	1068
ibd_crohn_epithelial	completed	1068
ibd_uc_epithelial	completed	1068
ibd_crohn_stromal	completed	1068
ibd_uc_stromal	completed	1068
psoriasis_skin_apc	completed	474
psoriasis_keratinocyte	completed	474
psoriasis_skin_stromal	completed	474
sjogren_gland_apc	completed	1958
sjogren_gland_epithelial	completed	2225
sjogren_gland_stromal	completed	2136
ra_blood_myeloid	completed	3168
t1d_beta_cell	completed	1958
t1d_ductal_cell	completed	2136
t1d_acinar_cell	completed	2047
t1d_stellate_cell	completed	1869
t1d_endothelial_cell	completed	1958
