gene	approved_name	wave62_score	wave62_call	manual_blocker	prior_context_blocker	max_l2g_score	best_l2g_disease	strong_l2g_disease_count	strong_l2g_diseases	supporting_l2g_disease_count	supporting_l2g_diseases	ms_max_l2g_score	ms_l2g_study_loci	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	relevant_qtl_coloc_disease_count	relevant_qtl_coloc_diseases	myeloid_qtl_coloc_disease_count	max_qtl_h4	ms_max_qtl_h4	ms_max_relevant_qtl_h4	ms_relevant_qtl_biosamples	direction_proxy_values	local_positive_disease_count	local_negative_disease_count	local_positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	in_lipid_lysosomal_myeloid_neighborhood	residual_retained_disease_count	strict_core_covariate_surviving_disease_count	wave34_call	gwas_catalog_trait_count	chembl_target_id	druggable_activity_count	wave34a_call	wave34a_direction	wave34a_route_reason	wave55_score	wave55_genetic_diseases_ge_0_25	wave61_best_call	wave61_best_manual_blocker	wave61_best_target_suppression	wave61_best_selectivity	ms_genetic_anchor
CD58	CD58 molecule	3.448185430270665	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE			0.9513845443725586	MS	1	MS	1	MS	0.9513845443725586	b019fe75b51b088838b09c72216af801;60eccbb51a18714ae52e2d150431c093;255d4d28fee11d6c5a0a4fb1d35becf0	2	Crohn;MS	2	Crohn;MS	1	0.9968008858981062	0.9944626523267264	0.9944626523267264	CD14-positive, CD16-negative classical monocyte;blood plasma;lymphoblastoid cell line	Crohn:blood plasma:0.0326;MS:CD14-positive, CD16-negative classical monocyte:-0;MS:CD14-positive, CD16-negative classical monocyte:-0.0555;MS:blood plasma:-0;MS:blood plasma:-0.0555;MS:lymphoblastoid cell line:-0;MS:lymphoblastoid cell line:-0.0555;MS:lymphoblastoid cell line:0.0555;MS:lymphoblastoid cell line:0.163;MS:lymphoblastoid cell line:0.293	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.1797564428759965	0.3110884246237163	0.9095100064215184	False	0.0	0.0	PARK_GENETIC_CELL_STATE_NOT_CURRENTLY_DRUGGABLE	5.0		0.0				17.0	MS;PBC;SLE			0.0	0.0	True
IFI30	IFI30 lysosomal thiol reductase	1.6470071574432383	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	direct_antigen_processing_host_defense_and_druggability		0.6501023173332214	MS	1	MS	1	MS	0.6501023173332214	d8042fac4818035ae4af8557e0cbf623;de33a8d331b36c85e3316c1161bd8dc3	3	Celiac;Crohn;MS	3	Celiac;Crohn;MS	1	0.9969048401100168	0.9959013728724722	0.9959013728724722	CD14-positive, CD16-negative classical monocyte	Celiac:blood plasma:-0.0106;Celiac:blood plasma:-0.0556;Celiac:blood plasma:-0.176;Crohn:blood plasma:0;MS:CD14-positive, CD16-negative classical monocyte:-0.0182;MS:CD14-positive, CD16-negative classical monocyte:-0.141	3.0	0.0	psoriasis;type 1 diabetes mellitus;ulcerative colitis	0.21016237009791	0.379946954952182	0.9141270983319502	True	1.0	0.0	NO_GO_WAVE34_GENETICS_EXPRESSION_DRUGGABILITY	1.0		0.0				0.0				0.0	0.0	True
SEL1L3	SEL1L family member 3	1.3175021708011627	NO_GO_WAVE62_TARGET_RESOLUTION			0.3175021708011627	RA	0		1	RA	0.0		0		0		0	0.0	0.0	0.0			3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.922501683138024	0.0181382735511015	0.8372898579012464	False	1.0	0.0		0.0		0.0				4.0				0.0	0.0	False
SPNS1	SPNS lysolipid transporter 1, lysophospholipid	1.0555326528847218	NO_GO_WAVE62_TARGET_RESOLUTION			0.0555326528847217	RA	0		0		0.0		0		0		0	0.0	0.0	0.0			4.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus	-0.1044989193858096	0.4834570887940685	0.926038761164836	False	1.0	0.0		0.0		0.0				0.0				0.0	0.0	False
