state_level	cell_state	n	n_remission	n_non_remission	mean_baseline_remission	mean_baseline_non_remission	raw_delta_baseline_remission_minus_non	raw_hedges_g	raw_p	logit_coef_baseline_target	logit_p_baseline_target
major	Mono_macro	43	18	25	-0.17129363373315779	0.03590624809129089	-0.20719988182444868	-0.38734765558900636	0.22965575235386465	-4.088480806349443	0.009857151903175113
fine	CD1Chi DC	28	14	14	-0.06658312310946903	0.12352122487133586	-0.1901043479808049	-0.44737264454610626	0.23374579013431818	-2.0504218563923224	0.16302237449541324
fine	C1Qhi IL1Bhi macro	16	5	11	-0.1323371530927866	0.15951436146302045	-0.29185151455580705	-0.7388642271280391	0.20367628759141007	-2.5931842139104786	0.2283803393563273
major	DC	43	19	24	-0.08645212062430722	-0.058246693029132324	-0.0282054275951749	-0.055764594774238715	0.8544636622441766	-0.6437672377572108	0.4181036567863675
fine	C1Qhi IL1Blo macro	19	6	13	0.1860621795402834	0.08205300655173071	0.10400917298855268	0.20102324548684722	0.6132716165536662		
fine	S100A8 A9hi mono	18	3	15	0.15582229133519557	-0.07695051849069762	0.23277280982589318	0.44899451240080024	0.6265055305838735	-377.0120936898815	
