state_level	cell_state	n	n_remission	n_non_remission	mean_delta_remission	mean_delta_non_remission	raw_delta_remission_minus_non	raw_hedges_g	raw_p	generic_adjusted_delta	generic_adjusted_p
major	Mono_macro	43	18	25	0.5447063473047553	-0.09616286000621603	0.6408692073109713	0.9660751112169504	0.002620378383724315	0.4840720173619233	0.03473492719224309
major	DC	43	19	24	0.3541423281339703	0.0005134700755534729	0.3536288580584168	0.588490436363706	0.046159613088880794	0.1954004175949041	0.21222452353534355
fine	C1Qhi IL1Blo macro	19	6	13	0.1895064724701895	-0.05509805397999897	0.2446045264501885	0.4312859655492616	0.23296010619260288	0.29853523555894357	0.3795196089913666
fine	C1Qhi IL1Bhi macro	16	5	11	0.3489013156673293	-0.16834253583070052	0.5172438514980298	1.0788803451572015	0.026008682540586137	0.1559235577239542	0.4445892333818535
fine	S100A8 A9hi mono	18	3	15	0.4492133621355139	0.09031118489820165	0.3589021772373122	0.5842106064708827	0.4424023115901676	-0.2754581996717169	0.569074682055225
fine	CD1Chi DC	28	14	14	0.334623433559215	-0.04050626825586002	0.375129701815075	0.6854052563066615	0.07405513588661539	0.05266200374231192	0.803147660895758
