samplegroup	module	n_pregnancy_t1_t3	n_nonpreg_or_postpartum	mean_pregnancy_t1_t3	mean_nonpreg_or_postpartum	delta_pregnancy_minus_nonpreg_post	hedges_g	welch_p
SPRA	mif_cd74_receptor_state	44	49	10.971281831865783	11.456334034301655	-0.4850522024358721	-0.5860997928281567	0.006276097402756851
SPRA	hla_ii_only	44	49	11.089008651349936	11.592964989096291	-0.5039563377463558	-0.5521686482759153	0.009608482720167235
SPRA	ifn_apc	44	49	9.949111383511855	10.36476313553267	-0.41565175202081406	-0.4188179134905435	0.04384852719658707
SPRA	lysosomal_apc	44	49	11.442068061853227	11.695257005127464	-0.25318894327423713	-0.3217617259841409	0.12573736801936022
SPRA	hif_nampt_metabolic	44	49	11.600618586725822	11.617237635508602	-0.01661904878277909	-0.02118659165635224	0.9188061476549753
SNRA	mif_cd74_receptor_state	23	25	10.862357316591275	10.812218418523573	0.05013889806770244	0.06416623658577404	0.8222457171259494
SNRA	hla_ii_only	23	25	11.02899644486914	10.977062656223923	0.051933788645216694	0.0628687589793398	0.8254142140684827
SNRA	ifn_apc	23	25	9.744221539280414	9.663891832883445	0.08032970639696835	0.09112221397734642	0.7485128855725333
SNRA	lysosomal_apc	23	25	11.299059885256037	10.993899934036538	0.30515995121949935	0.40536964241339485	0.16295489699050178
SNRA	hif_nampt_metabolic	23	25	11.545741439565866	11.081809651204924	0.4639317883609415	0.5760016302722877	0.04939803386283997
SLE	mif_cd74_receptor_state	50	51	11.081862666674054	10.873831998905887	0.20803066776816692	0.2144484074979875	0.2793293417011363
SLE	hla_ii_only	50	51	11.210438974752007	11.060993554043458	0.14944542070854894	0.1371595969980985	0.48798133130242827
SLE	ifn_apc	50	51	10.728972581213492	10.341824287044128	0.38714829416936425	0.321132181369667	0.10704749924278818
SLE	lysosomal_apc	50	51	11.666369949800888	11.258547464493267	0.4078224853076211	0.4667998699735174	0.019983579752313813
SLE	hif_nampt_metabolic	50	51	11.719477074108982	11.172490115935783	0.5469869581731981	0.6464070940706913	0.0014594275165510694
HEALTHY	mif_cd74_receptor_state	57	36	11.055291337237875	11.353725095216411	-0.2984337579785361	-0.38122298484438255	0.08069577949499085
HEALTHY	hla_ii_only	57	36	11.226140674934017	11.559295503047109	-0.3331548281130914	-0.3907885847652081	0.0709762434260395
HEALTHY	ifn_apc	57	36	9.944312580692765	10.093326240342448	-0.1490136596496825	-0.16277226456523006	0.42605556983798626
HEALTHY	lysosomal_apc	57	36	11.415980256533317	11.466815819456029	-0.050835562922712185	-0.0725646922407853	0.7386982872729739
HEALTHY	hif_nampt_metabolic	57	36	11.634644504004953	11.508694506955784	0.12594999704916887	0.17849922028002266	0.4066435114272287
