samplegroup	outcome	module	n	spearman_rho	spearman_p
SPRA	das28	mif_cd74_receptor_state	90	-0.0031974023225797327	0.9761394042342714
SPRA	das28	hla_ii_only	90	-0.007740205102972234	0.942279872008216
SPRA	das28	ifn_apc	90	0.0454944673327059	0.6702638560370862
SPRA	das28	lysosomal_apc	90	0.08621359353428623	0.41910959864125197
SPRA	das28	hif_nampt_metabolic	90	0.07853152301899725	0.4618897816263128
SNRA	das28	mif_cd74_receptor_state	48	0.18521803151105415	0.20754637092979053
SNRA	das28	hla_ii_only	48	0.1480540115949768	0.3152542159486636
SNRA	das28	ifn_apc	48	0.20366320781697178	0.16500698489510443
SNRA	das28	lysosomal_apc	48	0.13929665785922954	0.345041519198021
SNRA	das28	hif_nampt_metabolic	48	0.2018570036089739	0.16886731736728616
SLE	lai_p	mif_cd74_receptor_state	97	0.08159862517867626	0.42686879132333144
SLE	lai_p	hla_ii_only	97	0.07256897511769528	0.47994671867169025
SLE	lai_p	ifn_apc	97	0.11903535706010193	0.24552051927305923
SLE	lai_p	lysosomal_apc	97	0.13043226393945329	0.2028749738946971
SLE	lai_p	hif_nampt_metabolic	97	0.11861391361137688	0.24720797151267512
RA_COMBINED	das28	mif_cd74_receptor_state	138	0.054184190035440144	0.5279134937064944
RA_COMBINED	das28	hla_ii_only	138	0.044423804207659484	0.6048977267026333
RA_COMBINED	das28	ifn_apc	138	0.09896266612074905	0.24816788557468938
RA_COMBINED	das28	lysosomal_apc	138	0.10254162779521132	0.23138761208707925
RA_COMBINED	das28	hif_nampt_metabolic	138	0.1259108196296828	0.1411488672415739
