state_level	cell_state	timing	feature	n	n_remission	delta_remission_minus_non	welch_p	adjusted_logit_coef	adjusted_logit_p	loocv_auc_univariate
major	DC	pre	ifn_apc	43	19	0.4720866967711532	0.0006445440187792241	3.037319951259347	0.012828937058736613	0.7390350877192983
major	DC	pre	hla_ii_without_cd74	43	19	-0.24837270331683392	0.003253312390829007	-4.943825270748749	0.011296632584457365	0.6798245614035088
major	DC	pre	receptor_only_cd74_cd44_cxcr4	43	19	0.11508406819612312	0.30814362133910084	1.8196458848703643	0.07115667497665139	0.4605263157894737
major	DC	pre	cd74_alone	43	19	0.43861575499830535	0.08329578551025821	0.9367041601901093	0.06266414593103763	0.5394736842105263
major	DC	pre	full_mif_cd74_state	43	19	-0.0956373018980549	0.03171444511871543	-2.562152705126291	0.34556904261941535	0.6228070175438596
major	DC	delta	ifn_apc	43	19	-0.6874907904339285	0.0010487258532171848	-1.91221826391344	0.02072409764542887	0.712719298245614
major	DC	delta	hla_ii_without_cd74	43	19	0.20197028282002477	0.007276149452464587	3.4720866342476793	0.04827555914489942	0.6864035087719298
major	DC	delta	receptor_only_cd74_cd44_cxcr4	43	19	-0.09038746614303243	0.38882235088946865	-0.40905273862719627	0.6990813093942246	0.4144736842105262
major	DC	delta	cd74_alone	43	19	0.3281281002911559	0.09437861346303796	1.1462408096641745	0.07254633636029284	0.5570175438596492
major	DC	delta	full_mif_cd74_state	43	19	0.041976941822979015	0.4231748153873121	0.7992422323984634	0.7141334886278227	0.3837719298245614
major	Mono_macro	pre	ifn_apc	43	18	0.4914960193302896	0.00045587945024735363	4.101486584014734	0.006674463911559161	0.7488888888888888
major	Mono_macro	pre	hla_ii_without_cd74	43	18	-0.3950974027936657	0.0009965364602748824	-4.960991705900602	0.007594365927077014	0.7555555555555555
major	Mono_macro	pre	receptor_only_cd74_cd44_cxcr4	43	18	0.22170669530833642	0.12103687925233463	4.175201028541232	0.005115110650142233	0.5711111111111111
major	Mono_macro	pre	cd74_alone	43	18	0.6341888296521372	0.018188833068745015	2.0949264148017215	0.006194064875821841	0.6511111111111111
major	Mono_macro	pre	full_mif_cd74_state	43	18	-0.10538469125827155	0.06366448197824519	0.41324413616562866	0.853018758229202	0.6133333333333333
major	Mono_macro	delta	ifn_apc	43	18	-0.9260495872128134	0.00017881199925974756	-2.4142975256053374	0.005081653350704693	0.7799999999999999
major	Mono_macro	delta	hla_ii_without_cd74	43	18	0.49146107002316664	0.0011501724707556477	3.0904385637614613	0.01267333009073409	0.7555555555555555
major	Mono_macro	delta	receptor_only_cd74_cd44_cxcr4	43	18	-0.23482858080007848	0.03829519153805712	-2.776050381496686	0.02746135598292543	0.6311111111111112
major	Mono_macro	delta	cd74_alone	43	18	0.4163969562326868	0.08244544891881161	0.500484676586317	0.2858029309679566	0.5688888888888889
major	Mono_macro	delta	full_mif_cd74_state	43	18	0.05066619007123842	0.44457041550166954	1.46107305617883	0.39747625935855735	0.39777777777777773
fine	C1Qhi IL1Bhi macro	pre	ifn_apc	16	5	0.5132692608262667	0.016660068116151665	6.766372011023571	0.1549377630648564	0.6727272727272727
fine	C1Qhi IL1Bhi macro	pre	hla_ii_without_cd74	16	5	-0.2539352457293055	0.1347930594951733	-4.7865045297277895	0.11619819418587793	0.5636363636363637
fine	C1Qhi IL1Bhi macro	pre	receptor_only_cd74_cd44_cxcr4	16	5	0.265829124911265	0.2662445791772751	6.006465738082522	0.12872386952794063	0.45454545454545453
fine	C1Qhi IL1Bhi macro	pre	cd74_alone	16	5	0.5504462720318274	0.17730253515952724	1.4569985903282292	0.14475463980903033	0.49090909090909096
fine	C1Qhi IL1Bhi macro	pre	full_mif_cd74_state	16	5	-0.01467645845629953	0.8521409867362052	3.3290811031283463	0.4399812726732212	0.0
fine	C1Qhi IL1Bhi macro	delta	ifn_apc	16	5	-1.0330137127798729	0.0029873949046017164			0.8909090909090909
fine	C1Qhi IL1Bhi macro	delta	hla_ii_without_cd74	16	5	0.24912352130155668	0.014119319876059999			0.8727272727272728
fine	C1Qhi IL1Bhi macro	delta	receptor_only_cd74_cd44_cxcr4	16	5	-0.04234549685127359	0.7026144971276241	-2.1349935445552086	0.4449882688195317	0.0
fine	C1Qhi IL1Bhi macro	delta	cd74_alone	16	5	0.3733366689898751	0.11960270045041689	2.087980981416216	0.3097022598404964	0.5272727272727273
fine	C1Qhi IL1Bhi macro	delta	full_mif_cd74_state	16	5	0.008065159703520165	0.9290123675998956	-1.8928104351450716	0.5819957554976055	0.0
fine	C1Qhi IL1Blo macro	pre	ifn_apc	19	6	0.49229474193774736	0.052612552817806066	9.131767373729513	0.1521335886113993	0.5512820512820513
fine	C1Qhi IL1Blo macro	pre	hla_ii_without_cd74	19	6	-0.25346322873165494	0.07808546066053694			0.6538461538461539
fine	C1Qhi IL1Blo macro	pre	receptor_only_cd74_cd44_cxcr4	19	6	0.290493888541674	0.5804552879283721			0.14102564102564102
fine	C1Qhi IL1Blo macro	pre	cd74_alone	19	6	0.8255709795615612	0.062487786446082015	4.14004550522536	0.15794735491934542	0.6923076923076923
fine	C1Qhi IL1Blo macro	pre	full_mif_cd74_state	19	6	-0.011908214491529331	0.9457059505962352	1.4837960858366626	0.5648452983432235	0.0
fine	C1Qhi IL1Blo macro	delta	ifn_apc	19	6	-0.8736937558039641	0.03012905529939393	-2.500799327013361	0.11949092852283259	0.7179487179487178
fine	C1Qhi IL1Blo macro	delta	hla_ii_without_cd74	19	6	0.2835483051424559	0.024843524623381456	15.307172236977951	0.29354323132655513	0.7435897435897436
fine	C1Qhi IL1Blo macro	delta	receptor_only_cd74_cd44_cxcr4	19	6	-1.1002636175507154	0.15624071416364008			0.6410256410256411
fine	C1Qhi IL1Blo macro	delta	cd74_alone	19	6	-0.06680604516982269	0.846030698092067	-0.51071978004368	0.6407452277656258	0.0
fine	C1Qhi IL1Blo macro	delta	full_mif_cd74_state	19	6	-0.25060832714781356	0.34723119088380033			0.423076923076923
fine	CD1Chi DC	pre	ifn_apc	28	14	0.5300257982952254	0.004560521415769178	3.093288697877687	0.04182762922518792	0.7193877551020408
fine	CD1Chi DC	pre	hla_ii_without_cd74	28	14	-0.3215749271746193	0.00031319142220295786	-15.439777495350823	0.08361079505079837	0.8214285714285714
fine	CD1Chi DC	pre	receptor_only_cd74_cd44_cxcr4	28	14	0.3045011851936579	0.03681168935103406	7.049898653862228	0.03615227998176412	0.6326530612244898
fine	CD1Chi DC	pre	cd74_alone	28	14	0.7327460558153689	0.03403257925457984	1.8179763948857375	0.033468744595422706	0.6683673469387755
fine	CD1Chi DC	pre	full_mif_cd74_state	28	14	-0.04325513621526104	0.45071971663424015	3.5075662022495186	0.36411308796755204	0.42857142857142855
fine	CD1Chi DC	delta	ifn_apc	28	14	-0.8223901364420141	0.0038865411086750146	-1.785435768424743	0.05384209478957339	0.7551020408163266
fine	CD1Chi DC	delta	hla_ii_without_cd74	28	14	0.21152260912848364	0.0057224799878898775	6.4969069195403195	0.05488078940626417	0.75
fine	CD1Chi DC	delta	receptor_only_cd74_cd44_cxcr4	28	14	-0.13865919091871806	0.25779078631844254	-1.7470051145988152	0.23596665011374773	0.5255102040816327
fine	CD1Chi DC	delta	cd74_alone	28	14	0.3223979955406061	0.26275443057115627	0.9313591090208426	0.20504579143329016	0.4744897959183674
fine	CD1Chi DC	delta	full_mif_cd74_state	28	14	-0.047661738470196696	0.37219686084448017	-7.753684558424659	0.07841183493511004	0.41836734693877553
fine	S100A8 A9hi mono	pre	ifn_apc	18	3	0.24878954949478305	0.06582351368799227			0.5333333333333333
fine	S100A8 A9hi mono	pre	hla_ii_without_cd74	18	3	-0.3590243626385927	0.27155738581174277			0.5555555555555556
fine	S100A8 A9hi mono	pre	receptor_only_cd74_cd44_cxcr4	18	3	0.16510703476766747	0.31906975948000904	295.88422552931036	0.9999999999999986	0.1333333333333333
fine	S100A8 A9hi mono	pre	cd74_alone	18	3	0.4880015553285678	0.21716909005516818			0.17777777777777773
fine	S100A8 A9hi mono	pre	full_mif_cd74_state	18	3	0.15703842788934705	0.5140156651882374	5.392290656474226	0.293647370257049	0.24444444444444446
fine	S100A8 A9hi mono	delta	ifn_apc	18	3	-0.0400262898455063	0.8078505703354918	-3.037172318178575	0.570248355937506	0.0
fine	S100A8 A9hi mono	delta	hla_ii_without_cd74	18	3	0.28307462537583583	0.3979051799507368	2.411647870231435	0.3656264160278252	0.22222222222222224
fine	S100A8 A9hi mono	delta	receptor_only_cd74_cd44_cxcr4	18	3	-0.3094252965102593	0.01317217729022084			0.6666666666666666
fine	S100A8 A9hi mono	delta	cd74_alone	18	3	0.30098215428491437	0.4719861394212321	1.8076279136290803	0.41420327674846136	0.11111111111111108
fine	S100A8 A9hi mono	delta	full_mif_cd74_state	18	3	-0.11666437561313309	0.33677664482168834	-0.7233882327800449	0.7691671964303752	0.1555555555555555
