state_level	cell_state	timing	model	n	loocv_auc	features
fine	CD1Chi DC	pre	all_components	28	0.8214285714285714	pre__ifn_apc;pre__hla_ii_without_cd74;pre__receptor_only_cd74_cd44_cxcr4;pre__cd74_alone;pre__full_mif_cd74_state
fine	CD1Chi DC	delta	ifn_only	28	0.7551020408163266	delta__ifn_apc
fine	CD1Chi DC	delta	hla_only	28	0.75	delta__hla_ii_without_cd74
fine	CD1Chi DC	delta	receptor_only	28	0.5255102040816327	delta__receptor_only_cd74_cd44_cxcr4
fine	CD1Chi DC	delta	ifn_plus_hla	28	0.7806122448979591	delta__ifn_apc;delta__hla_ii_without_cd74
fine	CD1Chi DC	delta	all_components	28	0.75	delta__ifn_apc;delta__hla_ii_without_cd74;delta__receptor_only_cd74_cd44_cxcr4;delta__cd74_alone;delta__full_mif_cd74_state
fine	S100A8 A9hi mono	pre	ifn_only	18	0.5333333333333333	pre__ifn_apc
fine	S100A8 A9hi mono	pre	hla_only	18	0.5555555555555556	pre__hla_ii_without_cd74
fine	S100A8 A9hi mono	pre	receptor_only	18	0.1333333333333333	pre__receptor_only_cd74_cd44_cxcr4
fine	S100A8 A9hi mono	pre	ifn_plus_hla	18	0.5111111111111111	pre__ifn_apc;pre__hla_ii_without_cd74
fine	S100A8 A9hi mono	pre	all_components	18	0.39999999999999997	pre__ifn_apc;pre__hla_ii_without_cd74;pre__receptor_only_cd74_cd44_cxcr4;pre__cd74_alone;pre__full_mif_cd74_state
fine	S100A8 A9hi mono	delta	ifn_only	18	0.0	delta__ifn_apc
fine	S100A8 A9hi mono	delta	hla_only	18	0.22222222222222224	delta__hla_ii_without_cd74
fine	S100A8 A9hi mono	delta	receptor_only	18	0.6666666666666666	delta__receptor_only_cd74_cd44_cxcr4
fine	S100A8 A9hi mono	delta	ifn_plus_hla	18	0.0888888888888889	delta__ifn_apc;delta__hla_ii_without_cd74
fine	S100A8 A9hi mono	delta	all_components	18	0.6	delta__ifn_apc;delta__hla_ii_without_cd74;delta__receptor_only_cd74_cd44_cxcr4;delta__cd74_alone;delta__full_mif_cd74_state
