source_family	diagnosis	n_donors
Amsterdam BB	CTR	8
Amsterdam BB	PPMS	12
Amsterdam BB	RRMS	2
Amsterdam BB	SPMS	12
Edinburgh BB	CTR	18
Edinburgh BB	SPMS	1
UK MS TB	PPMS	9
UK MS TB	SPMS	18
