state_level	cell_state	component	n	raw_delta_baseline_remission_minus_non	raw_hedges_g	raw_p	raw_fdr
major	DC	cd74_alone	43	0.43861575499830535	0.4999498237805214	0.08329578551025821	0.14699256266516156
major	DC	receptor_only_cd74_cd44_cxcr4	43	0.11508406819612312	0.2982600875160154	0.30814362133910084	0.38288371137601085
major	DC	hla_ii_without_cd74	43	-0.2483727033168339	-0.9362544359454391	0.003253312390829014	0.019519874344974087
major	DC	full_mif_cd74_state	43	-0.09563730189805492	-0.6285889890468852	0.03171444511871543	0.10039551641191108
major	DC	ifn_apc	43	0.4720866967711532	1.0515326402145841	0.0006445440187792241	0.00644544018779224
major	Mono_macro	cd74_alone	43	0.6341888296521372	0.6715857949587131	0.018188833068745015	0.0682081240077938
major	Mono_macro	receptor_only_cd74_cd44_cxcr4	43	0.22170669530833645	0.4676915094663623	0.1210368792523347	0.2017281320872245
major	Mono_macro	hla_ii_without_cd74	43	-0.3950974027936657	-1.1247801672635969	0.0009965364602748843	0.007474023452061633
major	Mono_macro	full_mif_cd74_state	43	-0.10538469125827153	-0.5310510705366026	0.0636644819782452	0.1316470273759847
major	Mono_macro	ifn_apc	43	0.4914960193302896	1.062647709860812	0.00045587945024735385	0.00644544018779224
fine	C1Qhi IL1Bhi macro	cd74_alone	16	0.5504462720318274	0.5163047448599554	0.1773025351595271	0.26595380273929065
fine	C1Qhi IL1Bhi macro	receptor_only_cd74_cd44_cxcr4	16	0.265829124911265	0.5044053082909098	0.2662445791772752	0.3542052858414036
fine	C1Qhi IL1Bhi macro	hla_ii_without_cd74	16	-0.25393524572930554	-0.7886737406250923	0.13479305949517315	0.21283114657132604
fine	C1Qhi IL1Bhi macro	full_mif_cd74_state	16	-0.014676458456299522	-0.07824592382530329	0.8521409867362053	0.8815251586926262
fine	C1Qhi IL1Bhi macro	ifn_apc	16	0.5132692608262667	1.0787569276218798	0.01666006811615167	0.0682081240077938
fine	C1Qhi IL1Blo macro	cd74_alone	19	0.8255709795615612	0.7624722086925924	0.062487786446082175	0.1316470273759847
fine	C1Qhi IL1Blo macro	receptor_only_cd74_cd44_cxcr4	19	0.290493888541674	0.26742504460506716	0.5804552879283721	0.6219163799232558
fine	C1Qhi IL1Blo macro	hla_ii_without_cd74	19	-0.25346322873165494	-0.8475135856123268	0.07808546066053694	0.14641023873850675
fine	C1Qhi IL1Blo macro	full_mif_cd74_state	19	-0.011908214491529331	-0.035076955905271975	0.9457059505962352	0.9457059505962352
fine	C1Qhi IL1Blo macro	ifn_apc	19	0.49229474193774736	0.7106438971626776	0.05261255281780596	0.1315313820445149
fine	CD1Chi DC	cd74_alone	28	0.7327460558153689	0.8368652432059109	0.03403257925457984	0.10039551641191108
fine	CD1Chi DC	receptor_only_cd74_cd44_cxcr4	28	0.3045011851936579	0.826966711780032	0.03681168935103406	0.10039551641191108
fine	CD1Chi DC	hla_ii_without_cd74	28	-0.3215749271746193	-1.5410225455186275	0.00031319142220295683	0.00644544018779224
fine	CD1Chi DC	full_mif_cd74_state	28	-0.04325513621526105	-0.28189738736285574	0.45071971663424004	0.5200612115010462
fine	CD1Chi DC	ifn_apc	28	0.5300257982952254	1.1911612051416172	0.004560521415769178	0.02280260707884589
fine	S100A8 A9hi mono	cd74_alone	18	0.4880015553285678	0.425181899471812	0.21716909005516818	0.31024155722166885
fine	S100A8 A9hi mono	receptor_only_cd74_cd44_cxcr4	18	0.16510703476766747	0.3078039165526196	0.31906975948000904	0.38288371137601085
fine	S100A8 A9hi mono	hla_ii_without_cd74	18	-0.3590243626385927	-0.7077143661105673	0.27155738581174277	0.3542052858414036
fine	S100A8 A9hi mono	full_mif_cd74_state	18	0.15703842788934708	0.4697609252303041	0.5140156651882372	0.571128516875819
fine	S100A8 A9hi mono	ifn_apc	18	0.24878954949478305	0.8613308948403898	0.06582351368799234	0.1316470273759847
