state_level	cell_state	component	n	n_remission	n_non_remission	raw_delta_remission_minus_non	raw_hedges_g	raw_p	ifn_adjusted_delta	ifn_adjusted_p	raw_fdr	ifn_adjusted_fdr
major	DC	cd74_alone	43	19	24	0.3281281002911559	0.5085935573666194	0.09437861346303796	0.504732522747395	0.03914121939938758	0.2022398859922242	0.8997148480903072
major	DC	receptor_only_cd74_cd44_cxcr4	43	19	24	-0.09038746614303243	-0.2549355974112815	0.388822350889469	0.02383263607072207	0.8418486335435938	0.5190067564574831	0.9877812110660807
major	DC	hla_ii_without_cd74	43	19	24	0.2019702828200248	0.8099248375288646	0.007276149452464594	-0.05268307746130234	0.4408760796062391	0.03118349765341969	0.8997148480903072
major	DC	full_mif_cd74_state	43	19	24	0.04197694182297901	0.2336689600123305	0.42317481538731233	-0.04739062051972862	0.33429103058445025	0.5289685192341403	0.8997148480903072
major	DC	ifn_apc	43	19	24	-0.6874907904339285	-1.0560312917371324	0.0010487258532171848	-8.326672684688674e-17	0.9118461377032894	0.011501724707556477	0.9877812110660807
major	Mono_macro	cd74_alone	43	18	25	0.4163969562326868	0.5235649940725612	0.08244544891881161	0.27283671042646007	0.4126910191860093	0.19025872827418064	0.8997148480903072
major	Mono_macro	receptor_only_cd74_cd44_cxcr4	43	18	25	-0.23482858080007848	-0.6528959302199949	0.038295191538057154	0.007376665518260614	0.9548551706972114	0.09573797884514287	0.9877812110660807
major	Mono_macro	hla_ii_without_cd74	43	18	25	0.49146107002316664	0.9957102949370042	0.0011501724707556477	0.07146939402819558	0.643745816818418	0.011501724707556477	0.9877812110660807
major	Mono_macro	full_mif_cd74_state	43	18	25	0.05066619007123842	0.22461928375703438	0.44457041550166954	-0.10945607268062686	0.11040910512370553	0.5334844986020034	0.8997148480903072
major	Mono_macro	ifn_apc	43	18	25	-0.9260495872128134	-1.2980738447902214	0.00017881199925974731	4.996003610813204e-16	0.899676227869582	0.00536435997779242	0.9877812110660807
fine	C1Qhi IL1Bhi macro	cd74_alone	16	5	11	0.3733366689898751	0.7037601525347198	0.11960270045041689	0.2525552977599699	0.49511420890021296	0.23920540090083378	0.8997148480903072
fine	C1Qhi IL1Bhi macro	receptor_only_cd74_cd44_cxcr4	16	5	11	-0.04234549685127356	-0.13786423525781988	0.7026144971276242	0.3253486454969583	0.22304845863019548	0.7806827745862491	0.8997148480903072
fine	C1Qhi IL1Bhi macro	hla_ii_without_cd74	16	5	11	0.24912352130155674	1.5799919254785861	0.014119319876059978	0.04103936836504252	0.7620220118786556	0.0470643995868666	0.9877812110660807
fine	C1Qhi IL1Bhi macro	full_mif_cd74_state	16	5	11	0.008065159703520213	0.036442544670698136	0.9290123675998951	-0.08588719278387887	0.498662077257081	0.9290123675998951	0.8997148480903072
fine	C1Qhi IL1Bhi macro	ifn_apc	16	5	11	-1.0330137127798729	-1.8572720162674796	0.0029873949046017156	-3.608224830031759e-16	0.9407968505908145	0.022405461784512866	0.9877812110660807
fine	C1Qhi IL1Blo macro	cd74_alone	19	6	13	-0.06680604516982269	-0.08032117414412411	0.846030698092067	0.32184948746052544	0.42880789455177065	0.8752041704400693	0.8997148480903072
fine	C1Qhi IL1Blo macro	receptor_only_cd74_cd44_cxcr4	19	6	13	-1.1002636175507154	-0.8480650707359495	0.15624071416364008	-0.3097261619383902	0.5398289088541843	0.29295133905682513	0.8997148480903072
fine	C1Qhi IL1Blo macro	hla_ii_without_cd74	19	6	13	0.28354830514245594	1.0399407015709743	0.02484352462338145	0.05304772764908471	0.772262266319774	0.07453057387014435	0.9877812110660807
fine	C1Qhi IL1Blo macro	full_mif_cd74_state	19	6	13	-0.25060832714781356	-0.5904888648440572	0.34723119088380033	-0.267889582005376	0.27763537001639	0.5190067564574831	0.8997148480903072
fine	C1Qhi IL1Blo macro	ifn_apc	19	6	13	-0.8736937558039641	-0.9988521829209605	0.03012905529939393	-4.440892098500626e-16	0.992390607123745	0.08217015081652891	0.992390607123745
fine	CD1Chi DC	cd74_alone	28	14	14	0.3223979955406061	0.4222184294253011	0.26275443057115627	0.5322306480232223	0.17225901081129377	0.43792405095192716	0.8997148480903072
fine	CD1Chi DC	receptor_only_cd74_cd44_cxcr4	28	14	14	-0.13865919091871806	-0.4253897953273128	0.2577907863184425	0.0818298146113607	0.6743003293008806	0.43792405095192716	0.9877812110660807
fine	CD1Chi DC	hla_ii_without_cd74	28	14	14	0.2115226091284837	1.1327272071206285	0.0057224799878898775	-0.053469097658692996	0.5380029246706673	0.028612399939449387	0.8997148480903072
fine	CD1Chi DC	full_mif_cd74_state	28	14	14	-0.047661738470196724	-0.3340735226794507	0.37219686084448006	-0.09906490550452504	0.09088109258056212	0.5190067564574831	0.8997148480903072
fine	CD1Chi DC	ifn_apc	28	14	14	-0.8223901364420141	-1.163235032656881	0.0038865411086750146	-5.967448757360216e-16	0.8477747377590353	0.02331924665205009	0.9877812110660807
fine	S100A8 A9hi mono	cd74_alone	18	3	15	0.30098215428491437	0.36809840340794553	0.4719861394212321	0.7402538495962819	0.19332766318191202	0.5445993916398831	0.8997148480903072
fine	S100A8 A9hi mono	receptor_only_cd74_cd44_cxcr4	18	3	15	-0.3094252965102593	-0.9249407586896872	0.01317217729022085	-0.21632911221052176	0.3517911981990525	0.0470643995868666	0.8997148480903072
fine	S100A8 A9hi mono	hla_ii_without_cd74	18	3	15	0.28307462537583583	0.3465173407768246	0.39790517995073704	0.2813847211899998	0.4541403226562709	0.5190067564574831	0.8997148480903072
fine	S100A8 A9hi mono	full_mif_cd74_state	18	3	15	-0.11666437561313311	-0.3568147000547273	0.33677664482168856	-0.015165763838262347	0.946946467201512	0.5190067564574831	0.9877812110660807
fine	S100A8 A9hi mono	ifn_apc	18	3	15	-0.04002628984550635	-0.0940389515814047	0.8078505703354916	-2.983724378680108e-16	0.23598582804211102	0.8655541825023124	0.8997148480903072
