sample_id	cell_state	state_level	n_cells	cd74_alone	receptor_only_cd74_cd44_cxcr4	hla_ii_without_cd74	full_mif_cd74_state	ifn_apc
CID003352-2	DC	major	54	-1.4903857	-0.35973188	0.58791447	0.32052058	-0.58359796
CID003352-2	Mono_macro	major	171	-1.4203631	-0.14987761	0.2774429	0.3621839	0.08959836
CID003356-1	DC	major	21	-1.3740181	-0.2948499	0.61850715	0.17193672	-0.5743143
CID003356-1	Mono_macro	major	56	-1.0729024	-4.587571e-05	0.27306733	0.24377204	-0.13698539
CID003360-1	Mono_macro	major	97	-0.8596281	-0.11463985	0.5254534	0.2088098	-0.22360204
CID003361-1	Mono_macro	major	59	-0.07214077	0.048088443	0.17622161	0.2255791	0.4300456
CID003363-1	Mono_macro	major	62	-0.5631203	0.010780762	0.16125727	0.23831049	0.39660445
CID003364-1	Mono_macro	major	44	-1.0760634	-0.4911101	0.51064545	0.28871468	-0.12718256
CID003366-1	DC	major	63	0.045940943	0.37471056	0.36769438	0.22360033	-0.18164293
CID003366-1	Mono_macro	major	131	-0.040870428	0.620156	0.04417022	0.30785674	0.27397177
CID003367-2	DC	major	87	-0.41197598	0.058860082	0.18986648	-0.0021636486	0.23332225
CID003367-2	Mono_macro	major	142	-0.745346	-0.19494355	0.20364861	0.03857394	0.48682275
CID003368-1	DC	major	73	-0.077074416	0.4936444	-0.035385143	0.062359378	0.18461111
CID003368-1	Mono_macro	major	122	-0.34664586	0.19934826	0.052398246	0.32698104	0.49574226
CID003370-1	DC	major	45	-0.40345126	-0.048773214	0.47956964	0.19447745	-0.42291635
CID003370-1	Mono_macro	major	60	-0.60451216	0.024992809	0.47441757	0.2808414	-0.35977954
CID003371-2	DC	major	23	-0.50730556	-0.14585924	0.5407972	0.26063967	-1.1554223
CID003371-2	Mono_macro	major	37	-0.06428082	0.07104262	0.4361143	0.46349984	-1.3103763
CID003372-1	DC	major	79	-0.871985	0.11913556	0.43512115	0.16946068	-0.19106068
CID003372-1	Mono_macro	major	82	-0.47946987	0.5855552	-0.012285262	0.3128766	0.15972508
CID003377-1	DC	major	223	-2.2685792	-0.65686274	0.25480124	-0.04850156	0.11846934
CID003377-1	Mono_macro	major	601	-3.3540015	-0.54507285	-1.3295808	-0.7932262	0.52066743
CID003381-1	DC	major	131	-1.4186685	-0.58386165	0.6567147	0.053050056	-1.0607505
CID003381-1	Mono_macro	major	95	-1.4674641	-0.92104226	0.6917314	-0.10909034	-0.7197258
CID003382-1	DC	major	48	-1.2653539	-0.5513885	0.63966376	0.06003309	-0.6315279
CID003382-1	Mono_macro	major	95	-0.58525985	-0.3231085	0.46763888	0.08072675	-0.39631763
CID003386-1	DC	major	138	0.03729239	0.29323825	0.08326111	-0.088783816	0.035365768
CID003386-1	Mono_macro	major	104	-1.3071302	-0.08489055	-0.37059167	-0.34660783	0.4497323
CID003667-1	DC	major	74	-1.9168106	-0.3298041	0.56727415	0.07319108	-0.38624862
CID003667-1	Mono_macro	major	154	-1.9474553	-0.09165426	-0.07488489	0.021823019	0.38662788
CID003669-1	DC	major	58	-1.1298317	-0.17661776	0.26807427	0.05609998	0.0022221464
CID003669-1	Mono_macro	major	328	-1.6088324	0.17796512	-0.6863022	-0.14934248	0.6828286
CID003671-1	DC	major	216	-1.8557755	-0.5777511	0.5723789	0.15376127	-0.06505926
CID003671-1	Mono_macro	major	264	-2.6669405	-0.44490957	0.00017356873	0.03339326	0.47015134
CID003672-1	DC	major	61	-0.58372825	-0.60522085	0.6015102	0.115732506	-0.8549751
CID003672-1	Mono_macro	major	40	-0.85260886	-0.73579985	0.5945608	0.18411534	-0.7684175
CID003674-1	DC	major	145	-1.5810032	-0.79620165	0.744365	0.022908255	-0.61255497
CID003674-1	Mono_macro	major	119	-1.1807063	-0.5711104	0.5009735	0.09544788	0.067313515
CID003675-1	DC	major	64	-1.1759552	-0.68772453	0.7192815	0.065546185	-0.83869916
CID003675-1	Mono_macro	major	44	-0.86851776	-0.95770043	0.64541435	-0.01774089	-1.0775063
CID003677-1	DC	major	74	0.010551622	-0.5889831	0.245831	-0.16253735	-0.15766878
CID003677-1	Mono_macro	major	85	-0.043777175	-0.80534697	0.24691896	-0.17172244	-0.10050277
CID003680-1	DC	major	27	1.232526	-0.12538798	0.007065157	-0.22600886	-0.07804519
CID003680-1	Mono_macro	major	32	1.2058959	-0.2899297	-0.0030546288	-0.60508054	0.23817785
CID004698-1	DC	major	22	0.69657	0.14439826	-0.69658643	-0.10925846	0.81055075
CID004698-1	Mono_macro	major	140	1.3089877	1.003442	-1.3765091	0.16734222	1.1748811
CID004702-1	DC	major	27	1.095055	0.3924234	-0.11008092	0.18647516	-0.30758327
CID004702-1	Mono_macro	major	32	1.840955	0.52900475	-0.451382	0.29696405	-0.15644665
CID004703-1	DC	major	34	0.9880724	0.40295824	-0.0650754	-0.074741684	0.24778448
CID004703-1	Mono_macro	major	144	1.3466125	0.36729535	-0.25864378	-0.039051816	0.40242347
CID004704-1	DC	major	23	1.3151661	0.3939077	-0.15925933	-0.21557	0.21903674
CID004704-1	Mono_macro	major	47	1.0203921	0.36093903	-0.4386218	-0.1553145	0.70482403
CID004706-1	DC	major	68	0.5711888	0.11925546	0.19425589	-0.09944524	-0.19435768
CID004706-1	Mono_macro	major	89	0.59579843	0.2410301	-0.0069642165	0.051799312	0.21741673
CID004707-1	DC	major	53	1.0906167	0.93065006	-0.14044482	0.03325078	-0.109539375
CID004707-1	Mono_macro	major	86	1.4824214	0.61777407	-0.15626183	-0.049658194	0.21423772
CID004709-1	DC	major	55	0.113017716	-0.07262542	-0.0068443418	0.10399997	0.1043696
CID004709-1	Mono_macro	major	88	0.10399767	-0.24741597	-0.20853372	-0.042864405	0.31039172
CID004710-1	DC	major	50	0.7042279	0.24090743	-0.24693756	-0.16834898	0.36924273
CID004710-1	Mono_macro	major	57	0.35815555	0.21319318	-0.3062857	-0.29223028	0.45261523
CID004713-1	DC	major	37	1.2800441	0.24732797	0.19803728	-0.06077817	-1.1746061
CID004713-1	Mono_macro	major	33	1.5902513	0.37084594	0.050407905	-0.08324441	-0.48697495
CID004714-1	DC	major	42	1.3206277	0.4279083	0.07716941	-0.029639542	-1.1467478
CID004714-1	Mono_macro	major	28	1.2946299	0.43474066	0.16175507	0.04905069	-1.4880425
CID004725-1	DC	major	52	-0.033003964	-0.13224773	0.17451243	-0.027360737	0.12856539
CID004726-1	DC	major	104	-0.053520642	0.06739046	0.2115742	-0.08684409	0.09075652
CID004726-1	Mono_macro	major	214	-0.4114872	0.134608	-0.42163643	-0.18469247	0.5396572
CID004728-1	DC	major	29	0.7268236	0.037299514	0.2609249	0.074161604	-1.427308
CID004729-1	DC	major	44	0.09035682	-0.116829775	0.38511515	-0.27587047	-0.71716875
CID004729-1	Mono_macro	major	48	0.7130003	-0.07532296	0.26458815	0.027548023	-1.2445391
CID004731-1	DC	major	139	0.78690726	0.23340718	0.141196	0.11620231	0.014486705
CID004731-1	Mono_macro	major	144	0.44651806	0.04995055	-0.024683395	0.055863243	0.46126518
CID004735-1	DC	major	61	0.9435783	-0.12960356	0.35765877	0.021693103	-0.62841356
CID004735-1	Mono_macro	major	65	1.4976721	-0.12307733	0.096275665	0.045343652	-0.109778285
CID004740-1	DC	major	40	0.6305947	0.07052579	0.04173096	0.1265622	-0.34746677
CID004740-1	Mono_macro	major	64	1.2246138	0.5935022	-0.3216573	0.17724119	0.19426642
CID004742-1	DC	major	35	0.9464199	0.43805686	-0.1329719	0.26720566	-0.4568405
CID004742-1	Mono_macro	major	67	1.574916	0.5516922	-0.37236512	0.24746184	-0.2679152
CID004747-1	DC	major	101	0.11815992	0.07392531	0.04217763	-0.1257829	0.43930128
CID004747-1	Mono_macro	major	244	0.31966397	-0.25785434	0.11290441	-0.20573352	0.42657998
CID004750-1	DC	major	55	-0.0918884	0.09650288	0.25646317	-0.06362659	0.2045281
CID004750-1	Mono_macro	major	116	0.061550044	0.09339238	-0.061811198	0.0061876476	0.63803047
CID004752-1	DC	major	55	0.21112369	0.15239011	-0.1373599	0.023418462	0.5008505
CID004752-1	Mono_macro	major	148	0.14158987	-0.02025432	-0.087022506	0.0941871	0.54068553
CID004753-1	DC	major	46	0.53458726	0.26012954	0.108929455	0.03973186	0.27707127
CID004753-1	Mono_macro	major	124	0.14238498	0.06745609	-0.13544734	-0.018916138	0.38631254
CID004756-1	DC	major	54	0.19082208	0.12478616	0.05320396	0.18509395	0.31919622
CID004756-1	Mono_macro	major	70	0.57043934	-0.022470579	-0.057597365	0.14915037	0.45442817
CID004757-1	DC	major	28	0.75910413	0.17819595	0.1796795	0.119241826	0.0069234967
CID004757-1	Mono_macro	major	53	-0.3014805	-0.11206663	0.059758097	-0.024575904	0.4099681
CID005704-1	DC	major	22	-1.4631757	-0.059108097	0.091433495	-0.041427508	0.07768975
CID005704-1	Mono_macro	major	120	-0.71221817	0.062818885	0.03084298	0.18190306	0.4432369
CID005705-1	Mono_macro	major	104	-0.3616619	-0.011145219	0.43048254	0.021539394	-0.7191753
CID005707-1	DC	major	117	-1.7242941	-0.2918418	0.6008336	0.0065373667	-0.12890401
CID005707-1	Mono_macro	major	177	-0.8712225	0.34757653	0.014269344	0.056415007	0.43588543
CID005708-1	Mono_macro	major	194	-0.31838003	0.60172415	-0.27697352	-0.004627019	0.40992042
CID005713-1	DC	major	51	0.3657483	0.52341205	0.25552264	0.44138885	-0.7109982
CID005713-1	Mono_macro	major	69	0.44647896	0.75793976	0.056140732	0.52211195	-0.04710481
CID005715-1	DC	major	37	0.9250038	0.7613705	0.03413744	0.30094105	-0.39901367
CID005715-1	Mono_macro	major	36	0.82194465	0.4175013	0.21498883	0.3357849	-0.33214313
CID005716-1	DC	major	20	0.7926556	0.2956065	0.16567673	-0.09825375	-0.7901948
CID005716-1	Mono_macro	major	29	1.0480517	0.1709954	0.1838932	0.28472355	-0.13781048
CID005718-1	DC	major	34	1.2205535	0.55578107	0.12202901	0.19881281	-0.7628053
CID005718-1	Mono_macro	major	28	1.1669937	0.551667	0.1034816	0.34187707	-0.01914679
CID005720-1	DC	major	55	-0.080294	0.39702213	-0.008240621	0.14579117	0.16432188
CID005720-1	Mono_macro	major	124	0.6310118	0.5746491	-0.45580888	0.058205605	0.57311183
CID005721-1	DC	major	34	0.010942664	0.43594447	0.04330832	-0.06497778	-0.17398259
CID005721-1	Mono_macro	major	95	0.47625682	0.6817836	-0.54641384	0.07808523	0.50561386
CID005723-1	DC	major	33	-0.48903087	0.25341788	0.24368258	0.085675	-0.8118682
CID005723-1	Mono_macro	major	31	0.67808676	0.34328702	0.07043146	0.12441783	-0.668788
CID005724-1	DC	major	46	0.55840176	0.28435603	0.13504517	0.069050364	-0.3362717
CID005724-1	Mono_macro	major	55	0.45761713	0.15302752	0.022497049	0.043588065	0.0336037
CID005742-1	DC	major	30	1.4257724	0.4275671	0.025122166	0.22832692	-1.0248514
CID005742-1	Mono_macro	major	54	2.05696	0.81650066	-0.2687951	0.17609547	-0.81029665
CID005743-1	DC	major	53	1.4862472	0.850167	-0.11555052	0.2747447	-0.3592507
CID005743-1	Mono_macro	major	150	1.586608	0.6861694	-0.22308612	0.28746724	0.058145974
CID005745-1	DC	major	83	-0.058884438	0.3196667	-0.33847913	0.0045677386	0.22635056
CID005745-1	Mono_macro	major	156	0.42884946	0.43359694	-0.5947452	-0.011150025	0.7017497
CID005746-1	DC	major	101	0.8243104	0.38400054	-0.4423969	-0.027872983	0.27448007
CID005746-1	Mono_macro	major	166	0.6472335	0.34386623	-0.7173421	-0.09739691	0.67266417
CID005747-1	DC	major	81	0.79221237	0.7297787	-0.25796977	-0.04099138	0.3849847
CID005747-1	Mono_macro	major	92	1.0504175	0.76259834	-0.3623775	0.05129753	0.615487
CID005751-1	DC	major	50	1.813758	0.53688437	-0.05861309	-0.036637798	0.21734388
CID005751-1	Mono_macro	major	50	1.782618	0.45130196	-0.11309856	-0.097040966	0.25077996
CID005755-1	DC	major	136	0.38921082	0.011287384	0.014873624	-0.074505895	0.48407465
CID005755-1	Mono_macro	major	208	0.28839362	-0.045520604	-0.23049414	-0.12685475	0.69256604
CID005756-1	DC	major	35	1.0504502	0.54795575	0.21666177	-0.12941715	-0.10799915
CID005757-1	DC	major	455	-0.31342685	0.11522168	-0.0029938023	-0.0005258657	0.63956994
CID005757-1	Mono_macro	major	1087	-1.373236	0.22037394	-1.0926248	-0.36984316	1.0072455
CID005758-1	DC	major	21	0.7429411	0.4115049	0.37786767	0.09030579	-1.1012721
CID005759-1	DC	major	315	-0.72001296	-0.62508196	0.2238728	-0.25485092	0.2477461
CID005759-1	Mono_macro	major	326	-0.4170791	-0.507926	-0.07920254	-0.33483687	0.5697281
CID005761-1	DC	major	145	0.19042452	-0.059955776	0.13473494	0.015247185	0.104369536
CID005761-1	Mono_macro	major	248	0.4624074	-0.08145697	0.0037543476	0.017645087	0.3372428
CID005763-1	DC	major	62	-0.4875449	0.004664237	0.24826813	0.015250102	-0.36627787
CID005763-1	Mono_macro	major	233	0.019213207	0.13369651	0.20003729	0.139159	-0.097529925
CID005764-1	DC	major	84	0.7413574	0.50053614	-0.19677699	0.06423673	0.20248377
CID005764-1	Mono_macro	major	295	0.04170465	0.61434287	-0.7490325	-0.06047274	0.77760994
CID005766-1	DC	major	51	1.1903651	0.35264668	-0.23972207	-0.07519669	0.02054383
CID005766-1	Mono_macro	major	144	0.82848155	0.34121946	-0.15974677	-0.08035691	0.40044662
CID005767-1	DC	major	40	-0.32381552	-0.5052414	0.10050309	-0.22108516	-0.23108819
CID005767-1	Mono_macro	major	110	0.27062726	-0.3527287	0.016547343	-0.19319595	-0.14298926
CID005768-1	DC	major	72	0.43813673	-0.014298618	-0.103626184	-0.10963809	0.29899618
CID005768-1	Mono_macro	major	84	0.23463835	0.2095768	-0.35091868	-0.11624597	0.6362601
CID005770-1	DC	major	33	0.88277775	0.22788279	0.04530986	-0.11406703	-1.2318308
CID005770-1	Mono_macro	major	30	1.188664	0.038973406	0.060959995	-0.052053623	-0.7754159
CID005771-1	DC	major	192	-0.1377055	0.04142062	0.08357101	0.112800755	0.3607715
CID005771-1	Mono_macro	major	293	0.06270362	0.1729387	-0.2824438	0.1128736	0.71796215
CID005773-1	DC	major	61	0.07481941	-0.17134489	0.25556922	0.11012033	0.13727777
CID005773-1	Mono_macro	major	67	0.52275175	-0.2553697	0.21033712	0.06895277	-0.06464456
CID006558-1	DC	major	89	0.79032886	0.5257273	0.035228193	0.056841847	0.26215714
CID006558-1	Mono_macro	major	81	0.4182848	0.21665978	0.088166885	0.17910269	0.24747682
CID006559-1	DC	major	95	0.11016311	-0.12907878	0.37236404	0.046450727	0.20652103
CID006559-1	Mono_macro	major	74	0.018320328	-0.3181455	0.46675643	0.118655145	0.0017653874
CID006563-1	DC	major	21	0.040244758	-0.1942901	0.41293335	0.23529461	-1.6100514
CID006565-1	DC	major	55	1.0761547	0.21840817	-0.06274263	0.052900873	-0.09367715
CID006566-1	DC	major	30	0.38746417	0.2932676	0.016608238	0.3002594	-0.11142435
CID006566-1	Mono_macro	major	50	-0.4992827	-0.14169307	0.22053437	0.17166963	0.058062077
CID006567-1	DC	major	30	0.7726342	0.36652994	-0.041941304	0.061873935	-0.10070278
CID006567-1	Mono_macro	major	34	0.05715082	-0.9167369	0.27180687	0.008483902	-0.22771788
CID006568-1	DC	major	64	-0.031361584	0.1848855	-0.11071507	0.07158979	0.43357554
CID006568-1	Mono_macro	major	40	-0.5210507	-0.24180442	-0.42639375	-0.088391125	0.74313694
