component	present	missing	n_present
cd74_alone	CD74		1
receptor_only_cd74_cd44_cxcr4	CD74,CD44,CXCR4		3
hla_ii_without_cd74	HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1		6
full_mif_cd74_state	MIF,CD74,CD44,CXCR4,HLA-DRA,HLA-DRB1,HLA-DPA1,HLA-DPB1		8
ifn_apc	STAT1,IRF1,CXCL10,GBP1,ISG15,CD74,HLA-DRA		7
