gene	source	query	hit_count	url	top_examples	status	error
VSIR	EuropePMC	"(VSIR OR ""VISTA checkpoint"" OR ""V-domain Ig suppressor"") autoimmune"	641	https://europepmc.org/search?query=%28VSIR+OR+%22VISTA+checkpoint%22+OR+%22V-domain+Ig+suppressor%22%29+autoimmune	"[{""doi"": ""10.1016/bs.apcsb.2026.01.001"", ""id"": ""42177071"", ""source"": ""MED"", ""title"": ""VISTA as a Double-Edged immune checkpoint molecule in cancer and autoimmunity."", ""year"": ""2026""}, {""doi"": ""10.1111/febs.70071"", ""id"": ""40145147"", ""source"": ""MED"", ""title"": ""Decreased expression of the immune checkpoint regulator VISTA on neutrophils correlates with disease activity in autoimmune uveitis."", ""year"": ""2025""}, {""doi"": ""10.1016/j.bbcan.2025.189351"", ""id"": ""40350098"", ""source"": ""MED"", ""title"": ""VISTA as a context-dependent immune checkpoint: Implications for tumor immunity and autoimmune pathogenesis."", ""year"": ""2025""}]"	ok	
VSIR	PubMed	"(VSIR OR ""VISTA checkpoint"" OR ""V-domain Ig suppressor"") autoimmune"	55	https://pubmed.ncbi.nlm.nih.gov/?term=%28VSIR+OR+%22VISTA+checkpoint%22+OR+%22V-domain+Ig+suppressor%22%29+autoimmune	"[{""pmid"": ""42177071""}, {""pmid"": ""41949720""}, {""pmid"": ""41842954""}]"	ok	
VSIR	EuropePMC_preprint	"((VSIR OR ""VISTA checkpoint"" OR ""V-domain Ig suppressor"") autoimmune) AND SRC:PPR"	7	https://europepmc.org/search?query=%28%28VSIR+OR+%22VISTA+checkpoint%22+OR+%22V-domain+Ig+suppressor%22%29+autoimmune%29+AND+SRC%3APPR	"[{""doi"": ""10.1101/2025.07.01.25330014"", ""id"": ""PPR1045612"", ""source"": ""PPR"", ""title"": ""Immune Cell-Based Transcriptomic Mendelian Randomization and Colocalization Study on Type 1 Diabetes"", ""year"": ""2025""}, {""doi"": ""10.1101/2022.08.21.22279031"", ""id"": ""PPR534926"", ""source"": ""PPR"", ""title"": ""Neutrophil proteomics identifies temporal changes and hallmarks of delayed recovery in COVID19"", ""year"": ""2022""}, {""doi"": ""10.1101/2024.04.27.24306475"", ""id"": ""PPR844834"", ""source"": ""PPR"", ""title"": ""Integrative Mendelian Randomization approaches for therapeutic target prioritisation in immune-mediated diseases"", ""year"": ""2024""}]"	ok	
VSIR	ClinicalTrials.gov	VSIR VISTA autoimmune	0	https://clinicaltrials.gov/search?term=VSIR+VISTA+autoimmune	[]	ok	
VSIR	Google Patents	VSIR VISTA agonist autoimmune disease		https://patents.google.com/?q=VSIR+VISTA+agonist+autoimmune+disease	[]	query_url_only	Google Patents has no unauthenticated count API used in this script
LILRB4	EuropePMC	(LILRB4 OR ILT3 OR CD85K) autoimmune	780	https://europepmc.org/search?query=%28LILRB4+OR+ILT3+OR+CD85K%29+autoimmune	"[{""doi"": ""10.1002/cai2.153"", ""id"": ""39444949"", ""source"": ""MED"", ""title"": ""Leukocyte immunoglobulin-like receptor B4: A keystone in immune modulation and therapeutic target in cancer and beyond."", ""year"": ""2024""}, {""doi"": ""10.7150/thno.116951"", ""id"": ""40860159"", ""source"": ""MED"", ""title"": ""Inhibitory leukocyte immunoglobulin-like receptors, subfamily B (LILRBs) in human diseases: structure, roles, mechanisms, and clinical applications."", ""year"": ""2025""}, {""doi"": ""10.1093/immadv/ltaf009"", ""id"": ""40385641"", ""source"": ""MED"", ""title"": ""Therapeutic targeting of tumour-associated macrophage receptors."", ""year"": ""2025""}]"	ok	
LILRB4	PubMed	(LILRB4 OR ILT3 OR CD85K) autoimmune	43	https://pubmed.ncbi.nlm.nih.gov/?term=%28LILRB4+OR+ILT3+OR+CD85K%29+autoimmune	"[{""pmid"": ""40791842""}, {""pmid"": ""39842553""}, {""pmid"": ""39444949""}]"	ok	
LILRB4	EuropePMC_preprint	((LILRB4 OR ILT3 OR CD85K) autoimmune) AND SRC:PPR	13	https://europepmc.org/search?query=%28%28LILRB4+OR+ILT3+OR+CD85K%29+autoimmune%29+AND+SRC%3APPR	"[{""doi"": ""10.1101/2023.07.25.23293146"", ""id"": ""PPR698303"", ""source"": ""PPR"", ""title"": ""Plasma proteomic profiles of UK Biobank participants with Multiple Sclerosis"", ""year"": ""2023""}, {""doi"": ""10.1101/2023.07.27.23293253"", ""id"": ""PPR703186"", ""source"": ""PPR"", ""title"": ""Cytokines as Potential Novel Therapeutic Targets in Severe Inflammatory Cardiomyopathy"", ""year"": ""2023""}, {""doi"": ""10.1101/2020.06.22.20137216"", ""id"": ""PPR179126"", ""source"": ""PPR"", ""title"": ""Proteomic blood profiling in mild, severe and critical COVID-19 patients"", ""year"": ""2020""}]"	ok	
LILRB4	ClinicalTrials.gov	LILRB4 ILT3 autoimmune	0	https://clinicaltrials.gov/search?term=LILRB4+ILT3+autoimmune	[]	ok	
LILRB4	Google Patents	LILRB4 ILT3 agonist autoimmune disease		https://patents.google.com/?q=LILRB4+ILT3+agonist+autoimmune+disease	[]	query_url_only	Google Patents has no unauthenticated count API used in this script
