gene	gse162463_gene	gse162463_mhcii_median_low_vs_high_log2	gse162463_mhcii_rank_required_low_vs_high	gse162463_cd40_median_low_vs_high_log2	gse162463_pdl1_median_low_vs_high_log2	geneformer_sources	geneformer_total_contexts_with_token	geneformer_total_disease_cells_with_token	geneformer_total_support_contexts	geneformer_total_strong_support_contexts	geneformer_best_mean_cosine_z	geneformer_best_source	wave18_foundation_call
VSIR	Vsir	-0.6283974317811112	9671.0	0.7114313646465715	0.020795356328474804		0	0	0	0			
LILRB4							0	0	0	0			
LAIR1	Lair1	1.3190184126308964	997.0	-0.41347787821101684	-0.08875287696350083		0	0	0	0			
CD200R1	Cd200r1	-0.24831585802075395	7953.0	-0.03737592815874424	0.13268774909755593		0	0	0	0			
SIGLEC10							0	0	0	0			
LILRB3							0	0	0	0			
LILRB5							0	0	0	0			
HAVCR2	Havcr2	0.43830250071209886	4007.0	0.781207311016641	-1.0267064044963208		0	0	0	0			
TIGIT							0	0	0	0			
BTLA							0	0	0	0			
CD300A	Cd300a	-1.0570830884604125	10763.0	-0.2814324430491453	-1.0584356503943337		0	0	0	0			
CD300LF	Cd300lf	0.6306443856723214	3122.0	-0.13991546139079003	-1.040203339273031	results_v3/geneformer_pivot_panel_delete/geneformer_pivot_panel_gene_summary.tsv;results_v3/wave18_foundation_rescue/geneformer_source_gene_summary.tsv	4	14	2	2	0.05119679104641928	results_v3/geneformer_pivot_panel_delete/geneformer_pivot_panel_gene_summary.tsv	present
CD274	Cd274	-0.05968761887243351	6946.0	0.3053378462496274	6.198837990381747		0	0	0	0			
PDCD1LG2	Pdcd1lg2	0.4143687680763445	4134.0	-0.19222775418673718	0.16658030994517864		0	0	0	0			
CD24							0	0	0	0			
CD200							0	0	0	0			
LILRB1							0	0	0	0			
LILRB2							0	0	0	0			
SIRPA	Sirpa	0.7221273347942825	2709.0	-0.4682314257904179	0.10337560753031652		0	0	0	0			
CD47	Cd47	1.221964163179058	1189.0	0.3500846612888502	0.08593298710996183		0	0	0	0			
VSIG4							0	0	0	0			
CLEC12A	Clec12a	1.1265628805895558	1422.0	-0.09829926643950851	0.5744984901250871		0	0	0	0			
FCGR2B	Fcgr2b	-1.3756868130373363	11216.0	0.15619582863828377	-0.43370564121525107		0	0	0	0			
SIGLEC5							0	0	0	0			
SIGLEC7							0	0	0	0			
SIGLEC9							0	0	0	0			
PVR	Pvr	0.838921402041153	2273.0	-0.5678857504432328	-0.5339903630940916		0	0	0	0			
NECTIN2	Nectin2	-0.7765438915882972	10137.0	0.2906360254826429	0.28388046255666965		0	0	0	0			
PILRA	Pilra	-0.9946631531172274	10637.0	-1.4434119112087158	-0.45683792220418656		0	0	0	0			
