query	status	mode	hit_count	top_titles	url
"""CTSB"" autoimmune therapeutic target"	200	live	687	Lysosomal dysfunction in diabetes and diabetic complications. || Alternative polyadenylation and splicing regulation in refractory juvenile dermatomyositis: CELF2 at the crossroads. || Identification of immune-mediated aging genes associated with cervical spondylosis through single-cell eQTL Mendelian randomization.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22CTSB%22+autoimmune+therapeutic+target&format=json&pageSize=3
"""CTSB"" multiple sclerosis remyelination"	200	live	89	A comparative transcriptomic analysis of mouse demyelination models and multiple sclerosis lesions. || Microglia in Brain Aging and Age-Related Diseases: Friends or Foes? || Mechanism of action and clinical application of autophagy in multiple sclerosis (Review).	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22CTSB%22+multiple+sclerosis+remyelination&format=json&pageSize=3
"""CTSB"" inhibitor autoimmune"	200	live	676	Lysosomal dysfunction in diabetes and diabetic complications. || Inhibition of Cathepsin B protects against vandetanib-induced hepato-cardiotoxicity by restoring lysosomal damage. || Peripheral immune cell-specific genes in Parkinson's disease uncovered by multi-omics with therapeutic implications.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22CTSB%22+inhibitor+autoimmune&format=json&pageSize=3
"""ASAH1"" autoimmune therapeutic target"	200	live	151	Exploring the hub gene CERS6 as a therapeutic target in type 1 diabetes through a bioinformatics and network analyst approach. || Decoding the Sphingolipid Landscape of Clear Cell Renal Cell Carcinoma: A Single-Cell-Guided Prognostic Model Built With 101 Machine Learning. || Sphingolipids in human disease: organ-specific pathologies, chain-length-dependent effects, and translational implications.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22ASAH1%22+autoimmune+therapeutic+target&format=json&pageSize=3
"""ASAH1"" multiple sclerosis remyelination"	200	live	31	Spatial lipidomics reveals demyelination and remyelination dynamics in the mouse brain. || High Prevalence of GALC Gene Variants in Adults With Neurodegenerative Conditions. || Impacts of hnRNP A1 Splicing Inhibition on the Brain Remyelination Proteome.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22ASAH1%22+multiple+sclerosis+remyelination&format=json&pageSize=3
"""ASAH1"" inhibitor autoimmune"	200	live	171	Exploring the hub gene CERS6 as a therapeutic target in type 1 diabetes through a bioinformatics and network analyst approach. || Hormone-sensitive lipase drives pro-resolving macrophage polarization and enhances efferocytosis. || Decoding the Sphingolipid Landscape of Clear Cell Renal Cell Carcinoma: A Single-Cell-Guided Prognostic Model Built With 101 Machine Learning.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22ASAH1%22+inhibitor+autoimmune&format=json&pageSize=3
"""HEXB"" autoimmune therapeutic target"	200	live	14125	The EGR1/ZFP36 axis governs glycosphingolipid metabolic reprogramming in monocyte-derived macrophages in guillain-barré syndrome || Targeting Macrophage Folate Receptor-β for Diagnosis and Treatment of Autoimmune Myocarditis || INPP5D/SHIP1 is a dual regulator of endo-lysosome function and selective phagocytosis in human microglia	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22HEXB%22+autoimmune+therapeutic+target&format=json&pageSize=3
"""HEXB"" multiple sclerosis remyelination"	200	live	1320	Raloxifene Beyond Osteoporosis: Unlocking Neurorestoration Through Remyelination, Inflammatory Regulation, and Neuroimmune Modulation in CNS Pathologies. || Multiple sclerosis pathophysiology: a comprehensive review of genetic, environmental, and immunological drivers. || Zuo Gui Wan Promotes Remyelination in Multiple Sclerosis by Attenuating MAPK-Mediated Microglial M1 Polarization, an Integrated Network Pharmacology and Experim	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22HEXB%22+multiple+sclerosis+remyelination&format=json&pageSize=3
"""HEXB"" inhibitor autoimmune"	200	live	16129	Simultaneous inhibition of ID1 and ID3 mitigates fibroblast activation via cell cycle and MEK/ERK pathways in pulmonary fibrosis. || Targeting Macrophage Folate Receptor-β for Diagnosis and Treatment of Autoimmune Myocarditis || Oxymatrine regulates microglia to produce IFN-β by activating the STING/TBK1/IRF3 pathway against experimental autoimmune encephalomyelitis.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22HEXB%22+inhibitor+autoimmune&format=json&pageSize=3
"""HEXA"" autoimmune therapeutic target"	200	live	601	The EGR1/ZFP36 axis governs glycosphingolipid metabolic reprogramming in monocyte-derived macrophages in guillain-barré syndrome || Immunization with detoxified TNFα elicits neutralizing antibodies and ameliorates inflammatory shock and autoimmune arthritis in mice. || PI3K/AKT signaling in parasites and parasite diseases: Role and therapeutic potential.	https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%22HEXA%22+autoimmune+therapeutic+target&format=json&pageSize=3
