gene	target_chembl_id	target_name	target_type	activity_rows	best_nM	mechanism_rows	mechanism_molecules	target_status	activity_status	mechanism_status	target_mode	activity_mode	mechanism_mode
CTSB	CHEMBL4072	Cathepsin B	SINGLE PROTEIN	100	1.0	0		200	200	200	live	live	live
ASAH1	CHEMBL5463	Acid ceramidase	SINGLE PROTEIN	100	0.8	0		200	200	200	live	live	live
HEXB	CHEMBL5877	Beta-hexosaminidase subunit beta	SINGLE PROTEIN	68	54.7	0		200	200	200	live	live	live
HEXA	CHEMBL1250415	Beta-hexosaminidase subunit alpha	SINGLE PROTEIN	10	100.0	0		200	200	200	live	live	live
CTSS	CHEMBL2954	Cathepsin S	SINGLE PROTEIN	99	0.1	1	CHEMBL4297638	200	200	200	live	live	live
CTSD	CHEMBL2581	Cathepsin D	SINGLE PROTEIN	100	3.0	0		200	200	200	live	live	live
PSAP	CHEMBL3580523	Prosaposin	SINGLE PROTEIN	2	6900.0	0		200	200	200	live	live	live
LIPA	CHEMBL4184	Lysosomal acid lipase/cholesteryl ester hydrolase	SINGLE PROTEIN	12	68.0	0		200	200	200	live	live	live
GALC	CHEMBL3713095	Galactocerebrosidase	SINGLE PROTEIN	100	79.4	0		200	200	200	live	live	live
GBA1	CHEMBL4106172	Glucocerebrosidase GBA1/GBA2	PROTEIN FAMILY	1	180000.0	0		200	200	200	live	live	live
SMPD1	CHEMBL2760	Sphingomyelin phosphodiesterase	SINGLE PROTEIN	100	5011.9	0		200	200	200	live	live	live
