seed	n_requested	latent_event_probability	molecular_progression_hr_per_latent_sd	visit_interval_years	attendance_mechanism	analysis_route	achieved_missing_visit_probability	n_simulated_cohorts	n_valid_fits	valid_fit_rate	significant_count	significant_probability	significant_probability_ci_low	significant_probability_ci_high	positive_call_probability	negative_call_probability	median_score_z	median_one_step_log_hr	median_usable_n	median_analyzed_events	median_latent_events	median_unconfirmed_latent_events	median_detection_delay
54941	120	0.15	1.0	0.25	complete	full_latent_time_oracle	0.0	400	386	0.965	11	0.0275	0.015423636260295411	0.048565481885614784	0.02	0.0075	0.048753549025605	0.013047960344368201	108.0	16.0	16.0	2.0	0.1242162189920909
54941	120	0.15	1.0	0.25	complete	ascertained_latent_time_oracle	0.0	400	370	0.925	12	0.03	0.017243020965143054	0.05169853570909567	0.0225	0.0075	0.07817137409526417	0.02372528138618001	108.0	14.0	16.0	2.0	0.1242162189920909
54941	120	0.15	1.0	0.25	complete	detected_visit_time	0.0	400	370	0.925	12	0.03	0.017243020965143054	0.05169853570909567	0.0225	0.0075	0.08739858688497051	0.024336014051350146	108.0	14.0	16.0	2.0	0.1242162189920909
54941	120	0.15	1.0	0.25	complete	midpoint_imputed_time	0.0	400	370	0.925	12	0.03	0.017243020965143054	0.05169853570909567	0.0225	0.0075	0.08739858688497051	0.024336014051350146	108.0	14.0	16.0	2.0	0.1242162189920909
54941	120	0.15	1.0	0.25	independent_20pct	full_latent_time_oracle	0.19947135416666661	400	388	0.97	14	0.035	0.02096129419797776	0.057885139532918004	0.01	0.025	-0.02072501861659984	-0.00556111742677945	108.0	16.0	16.0	2.0	0.15449259669777965
54941	120	0.15	1.0	0.25	independent_20pct	ascertained_latent_time_oracle	0.19947135416666661	400	351	0.8775	9	0.0225	0.011881583530495034	0.04220265755875813	0.0075	0.015	0.03985614173052814	0.01108761523013192	108.0	13.0	16.0	2.0	0.15449259669777965
54941	120	0.15	1.0	0.25	independent_20pct	detected_visit_time	0.19947135416666661	400	351	0.8775	9	0.0225	0.011881583530495034	0.04220265755875813	0.0075	0.015	0.02874868786244835	0.008265126927455685	108.0	13.0	16.0	2.0	0.15449259669777965
54941	120	0.15	1.0	0.25	independent_20pct	midpoint_imputed_time	0.19947135416666661	400	351	0.8775	12	0.03	0.017243020965143054	0.05169853570909567	0.01	0.02	0.047064179639545935	0.013392578567747048	108.0	13.0	16.0	2.0	0.15449259669777965
54941	120	0.15	1.0	0.25	score_dependent_20pct	full_latent_time_oracle	0.19913541666666668	400	394	0.985	20	0.05	0.03259742983714726	0.07596363506371961	0.035	0.015	-0.08031735010239968	-0.02125975110025452	108.0	17.0	17.0	3.0	0.14783973112143517
54941	120	0.15	1.0	0.25	score_dependent_20pct	ascertained_latent_time_oracle	0.19913541666666668	400	350	0.875	13	0.0325	0.01908984237880045	0.0548041528237668	0.01	0.0225	-0.34649888302269816	-0.10491702901991906	108.0	13.0	17.0	3.0	0.14783973112143517
54941	120	0.15	1.0	0.25	score_dependent_20pct	detected_visit_time	0.19913541666666668	400	350	0.875	11	0.0275	0.015423636260295411	0.048565481885614784	0.01	0.0175	-0.33537227775732026	-0.10241004387048123	108.0	13.0	17.0	3.0	0.14783973112143517
54941	120	0.15	1.0	0.25	score_dependent_20pct	midpoint_imputed_time	0.19913541666666668	400	350	0.875	11	0.0275	0.015423636260295411	0.048565481885614784	0.01	0.0175	-0.338688033148832	-0.10387034172511407	108.0	13.0	17.0	3.0	0.14783973112143517
54941	120	0.15	1.0	0.25	joint_score_progression_risk_20pct	full_latent_time_oracle	0.20096875000000003	400	388	0.97	21	0.0525	0.034591528357920405	0.07892197507127496	0.035	0.0175	0.061291414953635354	0.015686390944998862	108.0	16.0	16.0	4.5	0.14450934471860585
