report	safe_class	check	status	detail
analysis/v46_safe_class_report_template_readiness/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	safe_class_cited	PASS	safe class literal found
analysis/v46_safe_class_report_template_readiness/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	required_boundary:locked rule is unchanged	PASS	found
analysis/v46_safe_class_report_template_readiness/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	required_boundary:no post-hoc	PASS	found
analysis/v46_safe_class_report_template_readiness/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_score_language:\bAUC\b	PASS	absent
analysis/v46_safe_class_report_template_readiness/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_score_language:\bHedges\b	PASS	absent
analysis/v46_safe_class_report_template_readiness/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_score_language:\beffect[- ]size\b	PASS	absent
analysis/v46_safe_class_report_template_readiness/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_score_language:\bp[- ]?value\b	PASS	absent
analysis/v46_safe_class_report_template_readiness/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_score_language:\bpermutation\b	PASS	absent
analysis/v46_safe_class_report_template_readiness/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_score_language:\bconfidence interval\b	PASS	absent
analysis/v46_safe_class_report_template_readiness/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_score_language:\blocked_rule_metrics\.tsv\b	PASS	absent
analysis/v46_safe_class_report_template_readiness/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_score_language:\bvalidation (?:pass|fail|passed|failed)\b	PASS	absent
analysis/v46_safe_class_report_template_readiness/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_score_language:\b(?:pass|fail|passed|failed) validation\b	PASS	absent
analysis/v46_safe_class_report_template_readiness/fixtures/below_v45_planning_floor.md	BELOW_V45_PLANNING_FLOOR	forbidden_score_language:\bclean pre-registered pass\b	PASS	absent
