query	rank	accession	type	title	author	release_date	isPublic	files	links	url	content_sample
multiple sclerosis dimethyl fumarate response transcriptome PBMC	1	S-EPMC8108088	study	Effectiveness and safety of dimethyl fumarate in progressive multiple sclerosis.	Moreira Ferreira VF Liu Y Healy BC Stankiewicz JM	2021-01-01	True	1	4	https://www.ebi.ac.uk/biostudies/studies/S-EPMC8108088	S-EPMC8108088 PMC8108088 Effectiveness and safety of dimethyl fumarate in progressive multiple sclerosis. <h4>Background</h4>There is limited data analyzing the safety and effectiveness of dimethyl fumarate (DMF) in the progressive multiple sclerosis (PMS) population.<h4>Objective</h4>To analyze
multiple sclerosis dimethyl fumarate response transcriptome PBMC	2	S-EPMC7227148	study	Effect of dimethyl fumarate on lymphocyte subsets in patients with relapsing multiple sclerosis.	Buckle G Bandari D Greenstein J Gudesblatt M Khatri B Kita M Repovic P Riser E Weinstock-Guttman B Thrower B Loring S Riester K Everage N Prada C Koulinska I Mann M	2020-01-01	True	0	4	https://www.ebi.ac.uk/biostudies/studies/S-EPMC7227148	S-EPMC7227148 PMC7227148 Effect of dimethyl fumarate on lymphocyte subsets in patients with relapsing multiple sclerosis. <h4>Background</h4>In patients treated with dimethyl fumarate, absolute lymphocyte count decline typically occurs during the first year and then plateaus; early drops have been
multiple sclerosis dimethyl fumarate response transcriptome PBMC	3	S-EPMC7914245	study	Comparative analysis of dimethyl fumarate and fingolimod in relapsing-remitting multiple sclerosis.	Lorscheider J Benkert P Lienert C Hanni P Derfuss T Kuhle J Kappos L Yaldizli O	2021-01-01	True	1	3	https://www.ebi.ac.uk/biostudies/studies/S-EPMC7914245	S-EPMC7914245 PMC7914245 Comparative analysis of dimethyl fumarate and fingolimod in relapsing-remitting multiple sclerosis. <h4>Background</h4>Dimethyl fumarate and fingolimod are oral disease modifying treatments (DMTs) that reduce relapse activity and slow disability worsening
multiple sclerosis dimethyl fumarate response transcriptome PBMC	4	S-EPMC9351505	study	High-dimensional immune profiling identifies a biomarker to monitor dimethyl fumarate response in multiple sclerosis.	Diebold M Galli E Kopf A Sanderson NSR Callegari I Benkert P Gonzalo Nunez N Ingelfinger F Herms S Cichon S Kappos L Kuhle J Becher B Claassen M Derfuss T	2022-01-01	True	1	4	https://www.ebi.ac.uk/biostudies/studies/S-EPMC9351505	S-EPMC9351505 PMC9351505 High-dimensional immune profiling identifies a biomarker to monitor dimethyl fumarate response in multiple sclerosis. Dimethyl fumarate (DMF) is an immunomodulatory treatment for multiple sclerosis (MS). Despite its wide clinical use, the mechanisms underlying clinical
multiple sclerosis dimethyl fumarate response transcriptome PBMC	5	S-EPMC4094574	study	Design of oral agents for the management of multiple sclerosis: benefit and risk assessment for dimethyl fumarate.	Nicholas JA Boster AL Imitola J O'Connell C Racke MK	2014-01-01	True	0	4	https://www.ebi.ac.uk/biostudies/studies/S-EPMC4094574	S-EPMC4094574 PMC4094574 Design of oral agents for the management of multiple sclerosis: benefit and risk assessment for dimethyl fumarate. Dimethyl fumarate (DMF) is the most recent oral disease-modifying therapy approved by the US Food and Drug Administration and is indicated for the treatment
multiple sclerosis dimethyl fumarate response transcriptome PBMC	6	S-EPMC10663978	study	Dimethyl fumarate for multiple sclerosis.	Xu Z Zhang F Sun F Gu K Dong S He D	2015-01-01	True	0	6	https://www.ebi.ac.uk/biostudies/studies/S-EPMC10663978	S-EPMC10663978 PMC10663978 Dimethyl fumarate for multiple sclerosis. null The Cochrane database of systematic reviews CD011076 2015 Apr DOI DOI PMC PMID Xu Z o1 Zhang F o2 Sun F o3 Gu K o4 Dong S o2 He D o5 Affiliated Hospital of Guiyang Medical College Department of Neurology No. 28, Gui Yi Street
multiple sclerosis dimethyl fumarate response transcriptome PBMC	7	S-EPMC6558550	study	Efficacy and safety of dimethyl fumarate in treatment-naive Japanese patients with multiple sclerosis: Interim analysis of the randomized placebo-controlled study.	Mori M Ohashi T Onizuka Y Hiramatsu K Hase M Yun J Matta A Torii S	2019-01-01	True	1	4	https://www.ebi.ac.uk/biostudies/studies/S-EPMC6558550	S-EPMC6558550 PMC6558550 Efficacy and safety of dimethyl fumarate in treatment-naive Japanese patients with multiple sclerosis: Interim analysis of the randomized placebo-controlled study. <h4>Background</h4>The use of dimethyl fumarate has not been reported in treatment-naïve Japanese patients
multiple sclerosis dimethyl fumarate response transcriptome PBMC	8	S-EPMC4286944	study	Dimethyl fumarate in the treatment of relapsing-remitting multiple sclerosis: an overview.	Bomprezzi R	2015-01-01	True	0	7	https://www.ebi.ac.uk/biostudies/studies/S-EPMC4286944	S-EPMC4286944 PMC4286944 Dimethyl fumarate in the treatment of relapsing-remitting multiple sclerosis: an overview. Multiple sclerosis (MS) shares an immune-mediated origin with psoriasis. Long-term safety and efficacy data generated in Europe from usage of fumaric acid formulations in the latter
multiple sclerosis dimethyl fumarate response transcriptome PBMC	9	S-EPMC4935836	study	Dimethyl fumarate in multiple sclerosis: latest developments, evidence and place in therapy.	Linker RA Haghikia A	2016-01-01	True	0	5	https://www.ebi.ac.uk/biostudies/studies/S-EPMC4935836	S-EPMC4935836 PMC4935836 Dimethyl fumarate in multiple sclerosis: latest developments, evidence and place in therapy. Dimethyl fumarate (DMF) is one of the newer additions to the armamentarium of potent immunomodulators for the treatment of relapsing-remitting multiple sclerosis (RRMS). After more
multiple sclerosis dimethyl fumarate response transcriptome PBMC	10	S-EPMC6050818	study	DNA methylation changes in CD4<sup>+</sup> T cells isolated from multiple sclerosis patients on dimethyl fumarate.	Maltby VE Lea RA Ribbons KA Sanders KA Kennedy D Min M Scott RJ Lechner-Scott J	2018-01-01	True	1	3	https://www.ebi.ac.uk/biostudies/studies/S-EPMC6050818	S-EPMC6050818 PMC6050818 DNA methylation changes in CD4<sup>+</sup> T cells isolated from multiple sclerosis patients on dimethyl fumarate. <h4>Background</h4>Dimethyl fumarate is an oral treatment for multiple sclerosis, whose mechanism of action is not fully understood.<h4>Objective</h4>To
