query	europepmc_hit_count
"""FADS1"" AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR ""lupus"" OR ""IBD"" OR ""psoriasis"")"	796
"""FADS2"" AND (""autoimmune"" OR ""multiple sclerosis"" OR ""rheumatoid arthritis"" OR ""lupus"" OR ""IBD"" OR ""psoriasis"")"	861
"""delta-5 desaturase inhibitor"" AND (""autoimmune"" OR ""inflammatory bowel"" OR ""rheumatoid"" OR ""multiple sclerosis"")"	0
"""FADS1 inhibitor"" AND (""autoimmune"" OR ""inflammatory bowel"" OR ""rheumatoid"" OR ""multiple sclerosis"")"	1
"""FADS1"" AND ""TMEM258"" AND (""Crohn"" OR ""inflammatory bowel"" OR ""rheumatoid"")"	23
