gene	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood	ms_wm_delta_log2	ms_wm_hedges_g	ms_wm_p	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	opentargets_max_overall	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_channels_present	existing_priority_score	existing_weighted_evidence_score	existing_ms_anchor_score	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	existing_prior_flag	ms_positive_nominal	ms_positive_trend	genetic_or_target_db_breadth	discovery_priority_score
FADS2	17	3	0	1	0	2	0	Crohn disease;ulcerative colitis		0.0006770173460368	0.0789352505154614	2.652290600237123	1.9090610214250865			ibd_crohn_epithelial:2.65,p=0.00068;ibd_uc_stromal:1.19,p=0.0093;ibd_uc_epithelial:2.21,p=0.048	False	-1.511731792716413	-0.7218449381655944	0.1303764679615833	0.8989378106274888															False	False	0.0	11.0
FADS1	17	2	0	0	0	2	0	psoriasis;ulcerative colitis		0.006434480633229	0.1829280880022899	1.4350432602561671	2.0648620661321937			ibd_uc_stromal:1.09,p=0.0064;psoriasis_skin_stromal:1.44,p=0.03	False	-0.5582998002248747	-0.970155074246452	0.0302817182679143	0.8506970233122761															False	False	0.0	8.0
FADS3	17	0	1	0	0	0	1		type 1 diabetes mellitus					0.0047656774991141	-0.6383222985236889		False	-0.4647765054188522	-0.5214136307751966	0.2561536269226456	0.9037679420388188															False	False	0.0	-4.0
