proxy_call	n_genes	top_genes	max_overall_proxy_score	median_genetics_ready_score	median_module_state_score
COLOC_NEEDED_NOT_CLAIMABLE	1	PTPN2	16.0	9.0	5.0
MODULE_MARKER_NOT_GENETICALLY_ANCHORED	14	SEC61A1;TMSB10;IL15;NLRC5;POMP;PPIA;PSME2;HLA-DRB1;CARD16;CD82	7.8	0.0	5.0
NO_GO_CAUSAL_PROXY	191	TNFAIP3;CD74;CBX3;SQLE;IRF5;CLEC16A;STAT1;ATOX1;SH2B3;TPM4	7.4	0.0	3.5
