gene	n_patients	mean_post_minus_pre	sd_post_minus_pre	t	p	fdr
AXL	46	-0.07560423625592336	0.8695848653109626	-0.5896754863902426	0.5583575207092594	0.6476947240227409
BLK	46	-0.09618119385173754	1.0114929299308468	-0.6449205679747279	0.5222531649780228	0.6310559076817776
BTK	46	-0.2122754790928653	0.5953097098866503	-2.4184425730397563	0.019695820067691747	0.0519253438148237
CD300A	46	-0.2250193692695781	1.084268012000737	-1.4075446274255288	0.16613637918953272	0.253576578762971
CD300LF	46	-0.2820975379012959	1.028498078997326	-1.8602646213389284	0.069391095144858	0.12577135995005512
CYBA	46	-0.5761614488975212	1.3171631452062602	-2.9667676963180054	0.00480492954412143	0.03217595761109428
CYBB	46	-0.49176401201132697	1.570338004587327	-2.1239413384527306	0.03920521566831792	0.08745778879855537
FCGR2A	46	-0.3714750320026234	0.8065404225091456	-3.12379414251273	0.0031201524316979085	0.030161473506413117
FCGR2B	46	-0.3082294369150671	0.597778663383588	-3.4971367827650592	0.0010704552310992078	0.02244082010350089
GAS6	46	-0.4050896034685941	1.390298375499203	-1.9761595150183975	0.05428631362373556	0.11245022107773794
INPP5D	46	-0.38643820871545326	0.7775615903677073	-3.370731633434461	0.0015476427657586818	0.02244082010350089
LAIR1	46	-0.31739435662642773	0.9929760629152592	-2.1679004578440524	0.035494175509178466	0.08577759081384796
LILRB1	46	-0.011846348301633045	0.0803458432767109	-0.9999999999999999	0.3226576522499616	0.4455748531070899
LILRB2	46	-0.13589639002208728	0.6231131882080523	-1.4791761402063954	0.14606001425998216	0.2353189118633046
LILRB3	46	-0.015831590019784455	0.332522610671626	-0.32291057577966126	0.7482586578097404	0.8036852250549065
LILRB4	46	-0.02908840486047986	0.22942548210695068	-0.8599182559614301	0.39439232016445225	0.5198807856713235
LYN	46	-0.24114371824712133	0.6635841363869942	-2.4646705381093525	0.01759702701070417	0.05103137833104209
MERTK	46	-0.18165490770809695	0.6492172742663043	-1.8977368224264224	0.06415731646719307	0.12403747850323993
NCF1	46	-0.6650992789819012	1.61865053352467	-2.7868416858154363	0.007766610457850343	0.03217595761109428
NCF2	46	-0.2249226127649575	0.5869718034098107	-2.598931280134381	0.012599913213705044	0.040599720355271804
PIK3CD	46	-0.40124209417689055	0.9613024343409696	-2.830905434764191	0.006915205335261654	0.03217595761109428
PIK3CG	46	-0.014057034681935445	0.5280408319312513	-0.1805531732241785	0.8575290077019111	0.8881550436912651
PROS1	46	-0.050676400658654225	0.4946997946425934	-0.6947730226416935	0.4907694925550936	0.6187963166999007
PTPN11	46	0.054420959859243306	0.33519443376789476	1.1011546451257193	0.27668464296072515	0.4011927322930514
PTPN6	46	-0.6027040944393774	1.5018813606718189	-2.721744977805726	0.009203202454005827	0.033361608895771125
SH2D1B	46	0.009282923882826333	1.1764140741911124	0.05351844589657181	0.9575557244527813	0.9575557244527813
SIGLEC10	46	-0.2152426310488029	0.9567431617542695	-1.5258499967037273	0.13404561911423182	0.22866605613604254
SYK	46	-0.2327874275591148	0.5457626505876881	-2.8929080213324565	0.0058631854574898125	0.03217595761109428
TYRO3	46	0.0786351835374431	0.9630268620940317	0.553805697459853	0.5824534172990261	0.6496595808335291
