gene	contrast	n_true	n_false	mean_true	mean_false	delta_true_minus_false	p	fdr
AXL	good_vs_other	19	27	-0.04573736006996931	-0.09662166764603917	0.05088430757606986	0.8486202955675366	0.9286788140173041
AXL	modgood_vs_none	32	14	-0.19149853873377845	0.18929702655060257	-0.380795565284381	0.13220798419077207	0.5008505893713576
BLK	good_vs_other	19	27	-0.4027720301960384	0.11956791320536311	-0.5223399434014016	0.10335720647526715	0.47305595879621687
BLK	modgood_vs_none	32	14	-0.11937318519452281	-0.04317092792537114	-0.07620225726915167	0.7839520854279669	0.9093844190964416
BTK	good_vs_other	19	27	-0.29947604504848024	-0.15091211786483982	-0.14856392718364042	0.4192347110747904	0.7368367649193285
BTK	modgood_vs_none	32	14	-0.24491691727186748	-0.13766647754086003	-0.10725043973100745	0.5701033531484972	0.8393448445542239
CD300A	good_vs_other	19	27	-0.45569075032720446	-0.06269506408087805	-0.3929956862463264	0.2548181070856943	0.7368367649193285
CD300A	modgood_vs_none	32	14	-0.25645833202103147	-0.15315888298054184	-0.10329944904048963	0.7346956436138661	0.9066456878639199
CD300LF	good_vs_other	19	27	-0.3453610198888006	-0.23757879131749618	-0.1077822285713044	0.7337227827573141	0.9066456878639199
CD300LF	modgood_vs_none	32	14	-0.295921098294761	-0.2505008284305184	-0.04542026986424258	0.8794071895897059	0.944548462892647
CYBA	good_vs_other	19	27	-0.8104894382206671	-0.4112639749293815	-0.3992254632912856	0.30190935148117876	0.7368367649193285
CYBA	modgood_vs_none	32	14	-0.8008396689361696	-0.06261123166632473	-0.7382284372698449	0.04940616247065755	0.4133345233220192
CYBB	good_vs_other	19	27	-1.1573046206343598	-0.023420620758081552	-1.1338839998762782	0.024188414274557788	0.28058560558487033
CYBB	modgood_vs_none	32	14	-0.8447545773628853	0.31507156593509184	-1.159826143297977	0.00535347103791278	0.14134196064293006
FCGR2A	good_vs_other	19	27	-0.8012532122634021	-0.06903853478207535	-0.7322146774813267	0.004852480397277894	0.14134196064293006
FCGR2A	modgood_vs_none	32	14	-0.5498985690800888	0.036350195603012114	-0.5862487646831009	0.007310791067737762	0.14134196064293006
FCGR2B	good_vs_other	19	27	-0.34924872024373266	-0.2793640153134134	-0.06988470493031923	0.7111682354406258	0.9066456878639199
FCGR2B	modgood_vs_none	32	14	-0.3141373482773695	-0.29472563951551856	-0.019411708761850943	0.9053929108294837	0.9516217273408114
GAS6	good_vs_other	19	27	-0.2918851885992123	-0.48475196948778876	0.19286678088857645	0.6455054484967282	0.8706817677397729
GAS6	modgood_vs_none	32	14	-0.6245139304448875	0.09645171533436193	-0.7209656457792494	0.06689558269945092	0.4463191823700098
INPP5D	good_vs_other	19	27	-0.501988675533964	-0.30512491725057517	-0.1968637582833888	0.40179297153845095	0.7368367649193285
INPP5D	modgood_vs_none	32	14	-0.4509281397626349	-0.23903265203618057	-0.21189548772645433	0.3270220718489536	0.7368367649193285
LAIR1	good_vs_other	19	27	-0.11670329592932267	-0.45862139933920537	0.3419181034098827	0.2915281475427979	0.7368367649193285
LAIR1	modgood_vs_none	32	14	-0.1586466772233112	-0.6802461952621227	0.5215995180388115	0.08112915777295861	0.4463191823700098
LILRB1	good_vs_other	19	27	-0.028680632730269474	0.0	-0.028680632730269474	0.33056493127818415	0.7368367649193285
LILRB1	modgood_vs_none	32	14	-0.0170291256835975	0.0	-0.0170291256835975	0.32505273272353347	0.7368367649193285
LILRB2	good_vs_other	19	27	-0.13596791713615927	-0.13584605612699954	-0.00012186100915972942	0.9994404590713268	0.9994404590713268
LILRB2	modgood_vs_none	32	14	-0.07595935675139481	-0.27289532321224136	0.19693596646084655	0.3094076800472696	0.7368367649193285
LILRB3	good_vs_other	19	27	-0.04418865299756109	0.004123380223836144	-0.04831203322139724	0.5933299763228134	0.8393448445542239
LILRB3	modgood_vs_none	32	14	-0.01674530732880964	-0.013743093313441162	-0.0030022140153684786	0.9847510163219402	0.9994404590713268
