analysis	marker_compartment	module	n_genes_present	genes_present
gse315138_celiac_marker	b_plasma_like	hla_ii_apc	2	CIITA,RFX5
gse315138_celiac_marker	b_plasma_like	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
gse315138_celiac_marker	b_plasma_like	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
gse315138_celiac_marker	b_plasma_like	mif_cd74_receptor_state	2	CD44,CXCR4
gse315138_celiac_marker	epithelial_like	hla_ii_apc	2	CIITA,RFX5
gse315138_celiac_marker	epithelial_like	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
gse315138_celiac_marker	epithelial_like	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
gse315138_celiac_marker	epithelial_like	mif_cd74_receptor_state	2	CD44,CXCR4
gse315138_celiac_marker	myeloid_apc_like	hla_ii_apc	2	CIITA,RFX5
gse315138_celiac_marker	myeloid_apc_like	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
gse315138_celiac_marker	myeloid_apc_like	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
gse315138_celiac_marker	myeloid_apc_like	mif_cd74_receptor_state	2	CD44,CXCR4
gse315138_celiac_marker	stromal_endothelial_like	hla_ii_apc	2	CIITA,RFX5
gse315138_celiac_marker	stromal_endothelial_like	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
gse315138_celiac_marker	stromal_endothelial_like	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
gse315138_celiac_marker	stromal_endothelial_like	mif_cd74_receptor_state	2	CD44,CXCR4
gse315138_celiac_marker	t_cell_like	hla_ii_apc	2	CIITA,RFX5
gse315138_celiac_marker	t_cell_like	ifn_apc	4	STAT1,IRF1,CXCL10,GBP1
gse315138_celiac_marker	t_cell_like	lysosomal_apc	6	CTSS,CTSB,CTSD,LAMP1,LAMP2,LAMP3
gse315138_celiac_marker	t_cell_like	mif_cd74_receptor_state	2	CD44,CXCR4
