analysis	disease_name	compartment	module	metric	n_case_donors	n_control_donors	mean_case	mean_control	delta_case_minus_control	hedges_g	welch_t	p	fdr
gse315138_celiac_marker	celiac disease	b_plasma_like	hla_ii_apc	mean_score	4	2	0.30641637328120463	-0.00031655450932685167	0.30673292779053146	0.6902818079148121	1.4831585122928421	0.2315878545220843	0.9799064622820887
gse315138_celiac_marker	celiac disease	b_plasma_like	hla_ii_apc	high_fraction	4	2	0.13355952135579507	0.03862123424292925	0.09493828711286582	0.6728623035056258	1.4489078268567903	0.24101729162920743	0.9799064622820887
gse315138_celiac_marker	celiac disease	b_plasma_like	ifn_apc	mean_score	4	2	0.037279919156611586	0.0014111818358238035	0.03586873732078778	0.19780923199856307	0.25445312767825173	0.8277882609529169	0.9799064622820887
gse315138_celiac_marker	celiac disease	b_plasma_like	ifn_apc	high_fraction	4	2	0.26181393676688425	0.2512007223916183	0.010613214375265967	0.06822637129225255	0.08599617846617269	0.9412209218745561	0.9870984876933312
gse315138_celiac_marker	celiac disease	b_plasma_like	lysosomal_apc	mean_score	4	2	0.021950687718984195	0.0005490527828405992	0.021401634936143596	0.28732974618383433	0.3825548120684511	0.7438658640743272	0.9799064622820887
gse315138_celiac_marker	celiac disease	b_plasma_like	lysosomal_apc	high_fraction	4	2	0.24884403311258865	0.25035610749951565	-0.0015120743869269926	-0.03375350591591091	-0.03926320203826331	0.9736465885829643	0.9870984876933312
gse315138_celiac_marker	celiac disease	b_plasma_like	mif_cd74_receptor_state	mean_score	4	2	0.2756783257702027	-0.0004936013996416494	0.27617192716984434	0.6184546966490064	1.314905363447987	0.273517871424961	0.9799064622820887
gse315138_celiac_marker	celiac disease	b_plasma_like	mif_cd74_receptor_state	high_fraction	4	2	0.3941229111336506	0.24983971082973272	0.1442832003039179	0.5762984950807519	1.2439518933081908	0.30072112318677624	0.9799064622820887
gse315138_celiac_marker	celiac disease	epithelial_like	hla_ii_apc	mean_score	4	2	0.26583383689116485	-0.006290331267207766	0.2721241681583726	0.8949120740767988	1.9247081743564358	0.14711680000256405	0.9799064622820887
gse315138_celiac_marker	celiac disease	epithelial_like	hla_ii_apc	high_fraction	4	2	0.22188758886818627	0.12147817264306801	0.10040941622511826	0.7786872414048622	1.666163579883225	0.18944962589625972	0.9799064622820887
gse315138_celiac_marker	celiac disease	epithelial_like	ifn_apc	mean_score	4	2	0.38310162655870217	0.08651251981570934	0.2965891067429928	0.6239077738954268	0.9467864096687436	0.43021502987401755	0.9799064622820887
gse315138_celiac_marker	celiac disease	epithelial_like	ifn_apc	high_fraction	4	2	0.4589253398134866	0.31995974901028196	0.13896559080320464	0.4878868496736131	0.6217617249055214	0.6114913144090945	0.9799064622820887
gse315138_celiac_marker	celiac disease	epithelial_like	lysosomal_apc	mean_score	4	2	0.08180601527748707	0.044912121755942676	0.036893893521544395	0.2685994019641359	0.2790572805906285	0.8214072957229251	0.9799064622820887
gse315138_celiac_marker	celiac disease	epithelial_like	lysosomal_apc	high_fraction	4	2	0.2714252939570283	0.27769860553465564	-0.0062733115776273385	-0.06351788017471807	-0.07394015321799925	0.9504190957011436	0.9870984876933312
gse315138_celiac_marker	celiac disease	epithelial_like	mif_cd74_receptor_state	mean_score	4	2	0.15354598312532058	0.04420420323234949	0.10934177989297109	0.7668715059274747	0.8296221771397264	0.5371129103605157	0.9799064622820887
gse315138_celiac_marker	celiac disease	epithelial_like	mif_cd74_receptor_state	high_fraction	4	2	0.23822721447521764	0.18101561532974242	0.05721159914547522	0.7501082681110789	0.687353104820898	0.6138566815202483	0.9799064622820887
gse315138_celiac_marker	celiac disease	myeloid_apc_like	hla_ii_apc	mean_score	4	2	0.19775338448706434	-0.000911174583992425	0.19866455907105676	0.7957347610744528	1.7196665673421274	0.18318695594739906	0.9799064622820887
gse315138_celiac_marker	celiac disease	myeloid_apc_like	hla_ii_apc	high_fraction	4	2	0.2012488483702265	0.07625246251333208	0.12499638585689442	0.806561353952411	1.744652124686808	0.1789887276025483	0.9799064622820887
gse315138_celiac_marker	celiac disease	myeloid_apc_like	ifn_apc	mean_score	4	2	0.08782852795247519	0.023669164504534976	0.06415936344794021	0.24857391027193662	0.295595170192682	0.8052398233063892	0.9799064622820887
gse315138_celiac_marker	celiac disease	myeloid_apc_like	ifn_apc	high_fraction	4	2	0.3513815845047765	0.2663679026287722	0.08501368187600433	0.4018925999765043	0.5334412531951346	0.6545865071640141	0.9799064622820887
