analysis	disease_name	donor_id	disease	group	marker_compartment	module	n_cells	mean_score	high_fraction
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	b_plasma_like	hla_ii_apc	2626	0.027545607642099294	0.04607768469154608
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	b_plasma_like	ifn_apc	2626	-0.12279673805287379	0.14127951256664129
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	b_plasma_like	lysosomal_apc	2626	-0.047776898086502755	0.21477532368621477
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	b_plasma_like	mif_cd74_receptor_state	2626	0.04295168789424311	0.2597105864432597
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	epithelial_like	hla_ii_apc	8719	0.011506029744365591	0.1315517834614061
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	epithelial_like	ifn_apc	8719	-0.15824534257023692	0.1220323431586191
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	epithelial_like	lysosomal_apc	8719	-0.08215150949209533	0.1993347860993233
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	epithelial_like	mif_cd74_receptor_state	8719	-0.08085661241226856	0.09840578047941277
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	myeloid_apc_like	hla_ii_apc	2250	0.006737746088729005	0.07288888888888889
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	myeloid_apc_like	ifn_apc	2250	-0.17502334170159292	0.12844444444444444
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	myeloid_apc_like	lysosomal_apc	2250	-0.06432065790684181	0.20622222222222222
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	myeloid_apc_like	mif_cd74_receptor_state	2250	-0.07752872533496424	0.08711111111111111
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	stromal_endothelial_like	hla_ii_apc	103	-0.03650422374857181	0.06796116504854369
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	stromal_endothelial_like	ifn_apc	103	-0.39459327343835954	0.06796116504854369
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	stromal_endothelial_like	lysosomal_apc	103	-0.1993652319167461	0.18446601941747573
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	stromal_endothelial_like	mif_cd74_receptor_state	103	-0.07310790087823141	0.20388349514563106
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	t_cell_like	hla_ii_apc	4720	-0.02409772542651003	0.042584745762711866
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	t_cell_like	ifn_apc	4720	-0.12288209323294513	0.15635593220338984
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	t_cell_like	lysosomal_apc	4720	-0.055329488591009064	0.20042372881355933
gse315138_celiac_marker	celiac disease	Healthy1	normal	control	t_cell_like	mif_cd74_receptor_state	4720	-0.11997800331327672	0.19427966101694916
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	b_plasma_like	hla_ii_apc	2567	-0.028178716660752997	0.031164783794312426
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	b_plasma_like	ifn_apc	2567	0.1256191017245214	0.3611219322165952
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	b_plasma_like	lysosomal_apc	2567	0.04887500365218395	0.2859368913128165
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	b_plasma_like	mif_cd74_receptor_state	2567	-0.04393889069352641	0.23996883521620568
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	epithelial_like	hla_ii_apc	4165	-0.024086692278781123	0.1114045618247299
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	epithelial_like	ifn_apc	4165	0.3312703822016556	0.5178871548619448
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	epithelial_like	lysosomal_apc	4165	0.17197575300398069	0.356062424969988
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	epithelial_like	mif_cd74_receptor_state	4165	0.16926501887696754	0.26362545018007205
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	myeloid_apc_like	hla_ii_apc	1771	-0.008560095256713855	0.07961603613777526
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	myeloid_apc_like	ifn_apc	1771	0.22236167071066287	0.40429136081309996
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	myeloid_apc_like	lysosomal_apc	1771	0.08171738017526484	0.30547713156408807
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	myeloid_apc_like	mif_cd74_receptor_state	1771	0.09849781592527927	0.19367588932806323
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	stromal_endothelial_like	hla_ii_apc	371	0.01013459581159806	0.1105121293800539
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	stromal_endothelial_like	ifn_apc	371	0.10955015408126956	0.3018867924528302
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	stromal_endothelial_like	lysosomal_apc	371	0.05534937705505346	0.2695417789757412
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	stromal_endothelial_like	mif_cd74_receptor_state	371	0.0202968026696977	0.2641509433962264
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	t_cell_like	hla_ii_apc	1241	0.09165291217818484	0.08783239323126511
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	t_cell_like	ifn_apc	1241	0.4673678324411773	0.6051571313456889
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	t_cell_like	lysosomal_apc	1241	0.21043931196580415	0.4383561643835616
gse315138_celiac_marker	celiac disease	Healthy2	normal	control	t_cell_like	mif_cd74_receptor_state	1241	0.45632246223905437	0.46172441579371476
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	b_plasma_like	hla_ii_apc	4502	-0.05232168755991561	0.02154597956463794
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	b_plasma_like	ifn_apc	4502	-0.12303068404614352	0.13527321190581965
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	b_plasma_like	lysosomal_apc	4502	-0.0016268953683345163	0.24566859173700578
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	b_plasma_like	mif_cd74_receptor_state	4502	-0.05714468310957782	0.21590404264771212
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	epithelial_like	hla_ii_apc	7460	-0.11728875106582477	0.05361930294906166
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	epithelial_like	ifn_apc	7460	-0.12255161292493702	0.15067024128686327
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	epithelial_like	lysosomal_apc	7460	0.024416462082577597	0.2592493297587131
gse315138_celiac_marker	celiac disease	celiac1	celiac disease	case	epithelial_like	mif_cd74_receptor_state	7460	0.14414243451384007	0.23498659517426274
