analysis	dataset_path	disease_name	compartment	role	c15orf48_delta	ndufa4_delta	c15orf48_fdr	ndufa4_fdr	c15orf48_hedges_g	ndufa4_hedges_g	c15orf48_mean_case_log2_cpm	ndufa4_mean_case_log2_cpm	c15orf48_mean_control_log2_cpm	ndufa4_mean_control_log2_cpm	c15orf48_n_case_donors	ndufa4_n_case_donors	c15orf48_n_control_donors	ndufa4_n_control_donors	c15orf48_p	ndufa4_p	switch_delta_c15_minus_ndufa4	switch_call
sjogren_gland_apc	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland APC	myeloid_apc	0.6006238207308918	0.6427734530578366	0.941417255008202	0.941417255008202	0.64471453240683	1.1248098934618282	7.668165235252717	9.563100960534838	7.067541414521825	8.920327507477001	9	9	13	13	0.0964145479568358	0.0064756380121086	-0.0421496323269448	both_up_not_switch
ibd_uc_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon myeloid	myeloid_apc	4.446094548919012	-0.0882135354429074	0.0287473526150427	0.86216163686315	3.847759567355839	-0.2650732790717465	10.328874666144609	9.181625126776828	5.882780117225597	9.269838662219737	6	6	6	6	2.9480144785423246e-05	0.6297594376501122	4.5343080843619195	c15_up_no_ndufa4_up
t1d_endothelial_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic endothelial cell	tissue_resident	3.2089257678507717	0.0264966548466958	0.1204697420210957	0.9034961676992216	1.5142067384236677	0.1025246220822459	6.0935162414853625	9.282611844489823	2.884590473634591	9.256115189643127	5	5	17	17	0.0013719310891858	0.7359067182100624	3.182429113004076	c15_up_no_ndufa4_up
t1d_stellate_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic stellate cell	tissue_resident	3.093471529702463	0.1499394512736795	0.3164364198714402	0.6713892017455977	1.6156827888092162	0.5723654394225698	5.3592682849474365	9.389210594622536	2.2657967552449736	9.239271143348857	4	4	17	17	0.0154343048339554	0.2156197280342772	2.9435320784287833	c15_up_no_ndufa4_up
t1d_ductal_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic ductal cell	tissue_resident	1.6036534888155112	0.0865499418271475	0.5095768187996199	0.5628291228151133	0.9029928950290896	0.3650786705508733	6.563774778320166	9.579733729681148	4.960121289504655	9.493183787854	5	5	19	19	0.0901157137204279	0.1706217424346688	1.5171035469883636	c15_up_no_ndufa4_up
t1d_acinar_cell	data/raw_v3/cell_state/t1d_hpap_islet.h5ad	type 1 diabetes mellitus	pancreatic acinar cell	tissue_resident	1.4920622946127595	0.0754600275547492	0.603627784518603	0.6947640154040341	0.9238426209485474	0.3043975108629383	8.986534455013267	9.60954240589068	7.494472160400507	9.534082378335931	5	5	18	18	0.0972956322227546	0.3479476622293339	1.4166022670580103	c15_up_no_ndufa4_up
ibd_crohn_myeloid	data/raw_v3/cell_state/ibd_human_10x.h5ad	Crohn disease	colon myeloid	myeloid_apc	3.8815724931805544	-0.2923595592966865	0.084811487980697	0.4565153077291944	2.769099615621702	-1.0518105449585953	9.764352610406153	8.977479102923049	5.882780117225597	9.269838662219737	6	6	6	6	0.0006135142886959	0.0793559522372529	4.173932052477241	canonical_switch_c15_up_ndufa4_down
ibd_uc_stromal	data/raw_v3/cell_state/ibd_human_10x.h5ad	ulcerative colitis	colon stromal	tissue_resident	1.2311289634937392	0.3891796551875508	0.6101556791049706	0.4530753094106944	0.7360918441442662	1.0333434657789826	3.081546851371878	9.80117037915866	1.8504178878781383	9.41199072397111	6	6	6	6	0.2109280927257035	0.0863304582353826	0.8419493083061884	ndufa4_up_without_c15
sjogren_gland_stromal	data/raw_v3/cell_state/sjogren_salivary.h5ad	Sjogren syndrome	salivary gland stromal/endothelial	tissue_resident	0.476068296403747	0.5752519818820474	0.8977501225891201	0.8414957034907469	0.3979900689196039	0.8470529587066337	1.515165856077237	9.47011141626258	1.03909755967349	8.894859434380532	10	10	14	14	0.3632007899145169	0.02688217173375	-0.09918368547830042	ndufa4_up_without_c15
psoriasis_keratinocyte	data/raw_v3/cell_state/psoriasis_skin.h5ad	psoriasis	skin keratinocyte	tissue_resident	-1.3953822292508071	0.7468885078923773	0.6796008793691151	0.4335424254367574	-0.6489518363474329	1.5133709157754076	1.7026944089870275	8.692515490298684	3.098076638237835	7.945626982406306	3	3	3	3	0.3863397119115232	0.0818318509543529	-2.1422707371431846	ndufa4_up_without_c15
