module	pathology	cell_type	n_nuclei	mean_score	present_genes
efflux_lxr	MS_lesion_core	astrocytes	1687	0.29021932424422053	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	MS_lesion_core	immune	651	0.37695852534562213	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	MS_lesion_core	lymphocytes	24	0.025000000000000005	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	MS_lesion_core	neurons	1367	0.07110460863204096	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	MS_lesion_core	oligodendrocytes	19	0.12631578947368424	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	MS_lesion_core	opc	132	0.1893939393939394	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	MS_lesion_core	vascular_cells	459	0.33725490196078434	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	MS_periplaque_white_matter	astrocytes	469	0.9799573560767592	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	MS_periplaque_white_matter	immune	772	0.48238341968911924	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	MS_periplaque_white_matter	lymphocytes	81	0.05679012345679012	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	MS_periplaque_white_matter	neurons	120	0.04000000000000001	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	MS_periplaque_white_matter	oligodendrocytes	17563	0.09346922507544268	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	MS_periplaque_white_matter	opc	645	0.15441860465116278	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	MS_periplaque_white_matter	vascular_cells	120	0.3233333333333333	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	chronic_active_MS_lesion_edge	astrocytes	4046	0.7025704399406821	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	chronic_active_MS_lesion_edge	immune	2873	0.7179951270449009	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	chronic_active_MS_lesion_edge	lymphocytes	219	0.05388127853881279	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	chronic_active_MS_lesion_edge	neurons	364	0.04560439560439561	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	chronic_active_MS_lesion_edge	oligodendrocytes	12658	0.07623637225470059	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	chronic_active_MS_lesion_edge	opc	567	0.15908289241622575	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	chronic_active_MS_lesion_edge	vascular_cells	795	0.2860377358490567	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	chronic_inactive_MS_lesion_edge	astrocytes	1681	0.4506841165972636	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	chronic_inactive_MS_lesion_edge	immune	847	0.3409681227863046	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	chronic_inactive_MS_lesion_edge	lymphocytes	66	0.0393939393939394	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	chronic_inactive_MS_lesion_edge	neurons	918	0.05250544662309368	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	chronic_inactive_MS_lesion_edge	oligodendrocytes	11193	0.07120521754668097	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	chronic_inactive_MS_lesion_edge	opc	536	0.16119402985074627	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	chronic_inactive_MS_lesion_edge	vascular_cells	269	0.2743494423791822	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	control_white_matter	astrocytes	328	0.5439024390243904	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	control_white_matter	immune	289	0.871280276816609	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	control_white_matter	lymphocytes	16	0.037500000000000006	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	control_white_matter	neurons	34	0.03529411764705883	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	control_white_matter	oligodendrocytes	4264	0.10239212007504692	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	control_white_matter	opc	295	0.09084745762711866	ABCA1;ABCG1;APOE;NR1H3;CH25H
efflux_lxr	control_white_matter	vascular_cells	65	0.15076923076923077	ABCA1;ABCG1;APOE;NR1H3;CH25H
cholesterol_synthesis	MS_lesion_core	astrocytes	1687	0.0796285319106896	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	MS_lesion_core	immune	651	0.06579621095750127	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
cholesterol_synthesis	MS_lesion_core	lymphocytes	24	0.11805555555555554	HMGCR;HMGCS1;SQLE;SREBF2;LDLR;INSIG1
