variant	n_rows	n_patients	quadratic_age	region_interaction	disease_beta	wild_cluster_two_sided_p	disease_by_region_beta	disease_by_region_hc3_p
patient_equal_linear_age	21	21	False	False	0.7741987928241236	0.004389956100438995	nan	nan
patient_equal_quadratic_age	21	21	True	False	0.7961958927729273	0.0025799742002579973	nan	nan
patient_equal_common_age_support	19	19	False	False	0.822990142406234	0.0034799652003479967	nan	nan
sample_level_region_interaction	31	21	False	True	0.8216962738181093	0.15643843561564386	-0.1566343382071903	0.814296877795766
