geo_accession	module	score	n_genes_present	genes_present	title	state
GSM434730	hla_ii_only	11.805328924500001	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	RP4 GRA9p	month9_pregnancy_ms
GSM434731	hla_ii_only	11.495698932	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	SDC4 GRA9p	month9_pregnancy_ms
GSM434732	hla_ii_only	11.692849853666667	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	SF4 GRA9p	month9_pregnancy_ms
GSM434733	hla_ii_only	11.389556265666666	4	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1	VB4 GRA9p	month9_pregnancy_ms
GSM434504	ifn_apc	10.161118257095238	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	DD1 preMS	pre_pregnancy_ms
GSM434505	ifn_apc	9.85388962597619	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	RP1 preMS	pre_pregnancy_ms
GSM434506	ifn_apc	8.800728139809523	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	SDC1 preMS	pre_pregnancy_ms
GSM434507	ifn_apc	8.543547253404762	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	SF1 preMS	pre_pregnancy_ms
GSM434509	ifn_apc	8.569535977357143	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	VB1 preMS	pre_pregnancy_ms
GSM434513	ifn_apc	9.062986204738095	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	01 preMS	pre_pregnancy_ms
GSM434514	ifn_apc	9.121102046357143	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	06 preMS	pre_pregnancy_ms
GSM434516	ifn_apc	8.701065456357144	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	11 preMS	pre_pregnancy_ms
GSM434725	ifn_apc	9.757538370642859	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	04_CP4 GRA9p	month9_pregnancy_ms
GSM434726	ifn_apc	10.62867496545238	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	09_MA4 GRA9p	month9_pregnancy_ms
GSM434727	ifn_apc	9.483954160309525	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	14_AR4 GRA9p	month9_pregnancy_ms
GSM434728	ifn_apc	8.794585289095238	7	STAT1;IRF1;CXCL10;GBP1;ISG15;CD74;HLA-DRA	19_LL4 GRA9p	month9_pregnancy_ms
