probe_id	symbol
200650_s_at	LDHA
200737_at	PGK1
200738_s_at	PGK1
200766_at	CTSD
200821_at	LAMP2
200838_at	CTSB
200839_s_at	CTSB
200887_s_at	STAT1
200989_at	HIF1A
201137_s_at	HLA-DPB1
201249_at	SLC2A1
201250_s_at	SLC2A1
201422_at	IFI30
201551_s_at	LAMP1
201552_at	LAMP1
201553_s_at	LAMP1
202269_x_at	GBP1
202270_at	GBP1
202531_at	IRF1
202901_x_at	CTSS
202902_s_at	CTSS
203041_s_at	LAMP2
203042_at	LAMP2
204489_s_at	CD44
204490_s_at	CD44
204533_at	CXCL10
204670_x_at	HLA-DRB1
205483_s_at	ISG15
208306_x_at	HLA-DRB1
208894_at	HLA-DRA
209201_x_at	CXCR4
209619_at	CD74
209835_x_at	CD44
209969_s_at	STAT1
210916_s_at	CD44
210982_s_at	HLA-DRA
211919_s_at	CXCR4
211990_at	HLA-DPA1
211991_s_at	HLA-DPA1
212014_x_at	CD44
212063_at	CD44
213274_s_at	CTSB
213275_x_at	CTSB
213537_at	HLA-DPA1
213728_at	LAMP1
216056_at	CD44
217028_at	CXCR4
217356_s_at	PGK1
217383_at	PGK1
217523_at	CD44
217738_at	NAMPT
217739_s_at	NAMPT
AFFX-HUMISGF3A/M97935_3_at	STAT1
AFFX-HUMISGF3A/M97935_5_at	STAT1
AFFX-HUMISGF3A/M97935_MA_at	STAT1
AFFX-HUMISGF3A/M97935_MB_at	STAT1
