label	status	returncode	elapsed_ms	command	stderr_tail
status_freshness	PASS	0	54	['/opt/homebrew/opt/python@3.14/bin/python3.14', 'scripts/v50_status_freshness_linter.py', 'lint', '--outdir', '/Users/soeren.leibach/Projects/ms-auto-research/analysis/v50_public_guards/status_freshness', '--fail-on-error']	
non_opengwas_routes	PASS	0	3357	['/opt/homebrew/opt/python@3.14/bin/python3.14', 'scripts/v50_check_non_opengwas_routes.py', 'check', '--outdir', '/Users/soeren.leibach/Projects/ms-auto-research/analysis/v50_public_guards/non_opengwas_routes', '--fail-on-error']	
